Title	uuid
Drivers Of The Integration Of Virtual Reality Into Construction Safety Training In Ghana	22c5b5e9-593c-4449-9ea3-a68eeb14eda1
Knowledge Calibration Fusion And Label Space Graph Regularization-Based Multi-Center Fuzzy Systems	a0ce1896-88bb-458b-9d68-ac4cda4ff27a
Multiscreen Technology’S Impact On Workplace Learning And Performance	e00ed4bb-576c-4d33-b285-66aecc27db60
How To Know Your Customers? Towards A Novel Framework For Online Customer Knowledge Absorptive Capacity	aae615f3-a6f1-4747-97a1-917ac7f2714c
Design And Application Evaluation Of The Nursing Informatics Intelligent Question-Answering System Based On Generative Artificial Intelligence	18b12690-ee09-462f-9cb9-d8c52d615cb5
Ict Adoption And Use As Drivers Of Knowledge Acquisition, Organizational Performance, And Corporate Entrepreneurship: Evidence From Tourism Smes In Colombia	e327f913-0d8f-4869-a5bb-5d81bd34683c
Integrating Knowledge Management, Project Management, And Human Resource Management For Organisational Resilience In The Construction Industry	935a841c-5502-4bd8-acfa-5e76e0920bc4
Effective Knowledge Governance At Technology Business Incubators: A Process View	59c80cdb-3f3e-49b2-8716-fd45f7bbf8cd
Distributed Data Systems In Knowledge Management For Higher Education Decision Making	13a09e2d-3153-4a12-b9a6-54dca0ed1d19
How Knowledge Sharing And Protection In Strategic Alliances Affects Technological Innovation In High-Tech Manufacturing Firms	a8ae335a-afc3-4db6-b347-0fed66f82c30
Ai-Powered Knowledge Ecosystems: How Knowledge Management Systems Drive Business Intelligence And Marketing Capabilities In Gulf Cooperation Council Enterprises	1a901e6d-d3e3-4b0b-9cfe-a42816fc3725
How Can Generative Artificial Intelligence Empower Circular Supply Chain Practices? Evidence From Chinese Companies	1fee803c-48b7-4b81-a162-20e489503a6b
How Does Knowledge Creation Really Promote Dynamic Capabilities? The Lens Of Routine Renewal And Technological Turbulence	671592ac-07fd-4cdf-9303-f18c92fa1a76
The Effects Of Integrated Stem Education On K12 Students’ Achievements: A Meta-Analysis	50f86aa0-d337-4f72-9a30-55063e03ecd0
Beyond The One-Size-Fits-All: A Systematic Review Of Personalized And Gamified E-Learning For Neurodivergent Learners	a42c16de-4acc-4f11-af9e-27dabfb5d8b7
Assessment Of The Effectiveness Of Basic Life Support Training For Dental Faculty Residents	e143f918-9d93-4014-819e-c42dbd0d5a42
Blended Learning In Practice-Intensive Medical Education: A Qualitative Exploration Of Undergraduate Medical Imaging Technology Students’ Experiences	adcc11b7-3e77-4440-b60c-2f6fce9fecb6
The Effect Of Education 4.0 Tools On 7Th Grade Students’ Learning Outcomes And Attitudes In The Electrical Circuits Unit	4435f049-72b6-498e-8bfb-1dcd407674ba
The Effects Of Game-Based Virtual Reality In Nursing Education: A Scoping Review	c0d46c51-510d-4025-b63f-f27995cf1b12
Does U.S. Entity List Impel Chinese Ai Enterprises To Exploratory Innovation? An External Knowledge Acquisition Perspective	c04c9120-c22a-44f1-a577-0c7af8a9a765
Knowledge Management In The Age Of Generative Artificial Intelligence – From Seci To Grai	a0f4741f-d1c2-4dd7-ab37-cb94cd3ff82d
Research On The Characteristics And Distance–Proximity Influencing Factors Of Interregional Technology Transfer In China	a23301bc-3635-4b2e-a383-61ca6c310476
Teaching Of The Subject ‘Biomolecules In Living Organisms’ Using 3D Printing Models	ff2b8d39-5fe5-48dc-a22f-1bdbad9191b0
Empowering Early Learners: Unveiling The “Play And Learn” Mobile Adventure For Little Explorers	dff6925d-e541-48e9-9a3f-0d0fd4065976
A Wearable-Supported Contextual Learning Model For On-The-Move Knowledge Acquisition	4bda5386-0a35-42b8-a907-aeaab8ee5a0d
Research On Construction Method Of Information Knowledge Map Of Penetration And Explosion In Open-Pit Mining	b633d1dc-b865-4fac-8acd-879d6b4043cf
Research On A Virtual Teacher Personalized Interaction Model Integrating Affective Computing And Multi-Agent Systems	16261321-a81f-43cf-ae94-cb46bb554a64
Modern Board Games As A Proposal For Teaching Physics With A Focus On Science,Technology And Society (Sts)	3a90405b-f54a-46fb-84d8-298840c9028c
“We Aren’T Very Sophisticated”: An Ethnographic Study Of Knowledge Management In Community Social Services	2de139e3-f737-44e1-a331-8cc430ff5e8a
Rapid Inversion Of Molybdenum Content In Low-Grade Molybdenum Ores Based On Multi-Source Hyperspectral Feature-Level Fusion	26e2c865-3a26-4535-966c-44c06febaa34
Using Machine Learning Algorithms With Extreme Learning To Identify Instances Of Malicious Activity In Data Collection	a3af3709-16ee-4c87-91d5-a096f78a338a
Advancement In Fast Measurement And Processing Techniques Of Distributed Brillouin Optical Time-Domain Analysis Fiber Sensors: Methods, Challenges, And Future Directions	e54edafa-280c-4ce8-8433-8f01643cfe0f
'How Do You Know That Stuff?': Barriers To Expertise Sharing Among Spreadsheet Users	bcd81b3d-e455-46a4-85fe-b6585d83df25
Enhancing Ict Retention Through Indigenous Pedagogy	6ef2abda-f033-47de-9067-6ec8d5fbc5d8
Federated Slicing Resource Management In Edge Computing Networks Based On Gan-Assisted Multi-Agent Reinforcement Learning	c242ce76-d230-4a9b-b8b0-85765379f512
Energy Storage Efficiency Modeling Of High-Entropy Dielectric Capacitors Using Extreme Learning Machine And Swarm-Based Hybrid Support Vector Regression Computational Methods	7d61ae54-4cf8-4418-b55f-f01192238313
From Knowledge Repositories To Knowledge Infrastructure How Ai-Enabled And Radical Knowledge Management Reduce Cost, Risk, And Knowledge Loss	7adde5db-931e-4db0-a538-eb795e1ee2cb
Scenario Generation For Built Environment Decision Support Under Uncertainty: Case Studies Of Airflow Modeling And Climate-Resilient Infrastructure System Design	92db91a6-21cd-4308-ad1c-1647e897aa95
Miiam: An Algorithmic Model For Predicting Multimedia Effectiveness In Elearning Systems	f0483c70-fdc9-4fce-b952-ec10321bfea7
Where To Invest? Effects Of Technological Capabilities On Corporate Venture Capital Investments	0be01157-03a7-40b7-b025-bdeb2ae83709
How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities	eae3afa9-3d08-4e43-b42d-e9bc52ce91a2
Learning About Abstract Systems: Understanding Children'S Journey In Grasping Internet Principles Across Age Groups In A Mixed-Methods Experimental Study	3706010a-2c89-44ed-8131-9a04afc046f5
Urban Traffic Monitoring Through Distributed Acoustic Sensing: Trial Analysis Of A Potent Monitoring Tool	157e8aad-2e2d-4c88-8d57-ef288cdc4326
A Novel Bayesian Knowledge Tracing Model For College Students In Language Learning	f83b6f91-8e0c-4930-82c6-90c77c5afeb5
Enhancing Pedagogical Practice Through Immersive Technology With The Transformation Of Classrooms With Ar	55110361-428c-4650-a9ed-5f80b8f6aae4
Navigating Institutional And Capability Barriers In Agentic Artificial Intelligence Adoption: Evidence From Small And Medium Enterprises In Bangladesh	9a52e70d-8ee2-4328-9b50-1097effd9f21
Generative Ai Based On Deep Knowledge Tracing For Academic Insight And Intelligent Learning Strategy Optimization	e25fddac-0657-4452-a08a-e08e6db51f2b
Responsible Ai In Knowledge Creation: An Exploration Of Generative Ai'S Opportunities And Risks	5446e584-5403-4f37-83f1-e7867e994fbc
The Role Of Augmented Reality In English Language Teaching: Technical Innovations And Application	3d2e88fb-ff28-4601-8017-124eeb92ea82
A Structural-Functional Model Of Learning In Computerized Learning Systems	a0faa309-d9ce-4ab9-b655-1c0eb43aa010
Effects Of Information Technology Platforms And Governance On Relational Value Creation In Digital Supply Chains	10e101b7-3037-487a-8ae0-44336dc20be0
Identification Of Urban Waterlogging Risk Zones Using Analytical Hierarchy Process (Ahp): A Case Of Agartala City	9818d4d5-ec10-4bea-8e9a-189712afa5a3
Mechanisms And Mass Transfer Kinetics Of Anammox During Sludge Enrichment	7d707e60-27d5-4f2f-9aff-19f34f84660d
Immersive Ideological And Political Education Model Integrating Virtual Reality And Artificial Intelligence	aa2ea651-54ff-4ce5-aa96-4e2e806e4c16
Detailed Analysis Of Coke Precursor Formation In Catalytic Perhydro Benzyltoluene Dehydrogenation Processes	82ebbd8b-c110-4210-b4bb-0eb96e1012ee
A Comparative Evaluation Of Augmented Reality And Virtual Reality On Chemistry Experiment Learning In Higher Level Education	a1bd51fd-22b8-449c-a075-1ceda6942947
Disruptive Technologies For Knowledge Management: Bibliometric Review And Patent Analysis	b54177cf-c204-4220-b961-d02977472a26
Factors Affecting Knowledge Sharing In Blockchain Technology In The Chinese Construction Industry	423898f5-1048-4148-ae78-f57cbb2b0e8e
Construction Of Knowledge Graph For Marine Diesel Engine Faults Based On Deep Learning Methods	b6647cdb-055d-406e-be4a-87af86cb2b9b
Ict Knowledge Absorptive Capacity: A Critical Factor For Technology Integration In Schools	127daca6-7e67-44ed-8cba-8e046577b8fc
A Study On Factors Influencing Deep Interaction In Informal Online Learning Communities In The Context Of Educational Informatization	65a0f0f2-910e-4e66-a291-fe9abbb7c118
A Comprehensive Framework For Integrating Modern Educational Technologies With Problem-Based Learning In Medical Education	d34ddebe-cdbf-498d-b851-1fc81cfd0b65
Ai Future Of Augmented Reality In Education: From Concept To Classroom	4a9e7b3f-81b4-44cf-bea2-00768ae46827
Impact Of Personalized Learning Paths Supported By Mobile Technology On Student Academic Achievement	8ffefdea-7664-44d1-8a01-b23dc6710bee
Dikolan-Sk – Development Of A Measurement Instrument For Academic Self-Concept Of Digitalization-Related Competencies In Science Education	ea1801fa-d18c-45ba-bbfd-020a481d6cbf
Promoting Domestic Fire-Safety: Virtual Drills As A Training Tool For Citizens	9bab7f3a-f99a-4248-90cc-855b2b09ecc7
The Interplay Of Digital Transformation, Organizational Agility, And Knowledge Management In Optimizing Construction Project Management	c2f3aa36-7791-4569-a2fb-024930586fd5
Smartread: A Multimodal Ereading Platform Integrating Computing And Gamification To Enhance Student Engagement And Knowledge Retention	0de139df-102b-420a-8fd1-2c0fde228265
Knowledge Sharing Based Fine-Tuning For Large Pre-Trained Model In Wireless Networks	0765ca3b-9603-4713-bfec-5e4fa3b34cb3
A Comparative Study Of Digital And Traditional Methods In Introductory Physics Experiments	246c5d54-5ced-4373-bd26-d6b206c934ad
The Right To Truth In The Digital Age: Disinformation, Democracy, And The Limits Of Legal Protection	23bf3425-8ac0-4d96-bef3-959f8fa5381c
Research On The Application Of Intelligent Media Technology In Science Communication	235352f2-76a8-40e6-91f9-0772f41ecc47
Cyber-Xai-Block: An End-To-End Cyber Threat Detection & Fl-Based Risk Assessment Framework For Iot Enabled Smart Organization Using Xai And Blockchain Technologies	a742306b-9f4c-45ef-ae6a-2de4d5a5367f
Evaluating University Sport Science Students' Perceptions Following A Service-Learning Intervention In High Schools	04db5978-d8cc-403d-b30e-fcbe23ea0dd6
Developing A Knowledge Management Model For A Small It Business	6d8611ac-0205-4238-99ee-d799c9fbadf7
Data-Driven Knowledge Management Frameworks For Effective Risk And Crisis Management: A Cross-Industry Approach	e4813f1b-9c09-41ac-aa65-d09a479126b5
Large Language Model Based System With Causal Inference And Chain-Of-Thoughts Reasoning For Traffic Scene Risk Assessment	24d3a363-6d5e-4f94-9b9b-bc1496d6efc8
Methods Of Improving Software Energy Efficiency: A Systematic Literature Review And The Current State Of Applied Methods In Practice	a3b3a574-a9c0-4c11-af82-7d0ce0cd2f67
The Impact Of Generative Ai Health Knowledge Acquisition On Adolescents’ Physical Activity: The Mediating Role Of Exercise Self-Efficacy And The Moderating Effect Of Health Information Literacy	4d325ce8-07ca-4fda-a985-b020fc32704a
Knowledge Management And Smes’ Digital Transformation: A Systematic Literature Review And Future Research Agenda	2aaee35b-f872-41d1-a1dc-1e5cebcd7caa
Spatial Reality In Education – Approaches From Innovation Experiences In Singapore	4fef697e-3b74-4d39-9d89-9c08f8c816c0
A Comparative Analysis Of Small Group Learning (Sgl) And Problem‑Based Learning (Pbl) Approaches In Digital Museum Sessions	58fbc1c5-ad0c-42d2-8720-7ff108b960ba
Systemic Dynamics Of Knowledge Sharing And Digital Transformation: Evidence From Bhutanese Mses	19a16946-fde5-465b-a2b9-6d6f25d046b4
Marketsim’S Impact On Data-Driven Decision-Making: A Cross-Cultural Study Of Business Education In Latin American Universities	4a01ea49-0ecd-4d32-8e8f-93e8e696c61f
Application Research On Artificial Intelligence-Empowered Library Service Model	546e0db4-4a47-4fae-b8a4-3fad601e9233
The Personalisation Paradox: How Generative Ai Shapes Conservation Intentions Through Emotional And Cognitive Pathways	fa822ada-fc06-4287-bcbb-a31b242ed7cc
Mapping The Trajectories Of Digital Technology Innovation In The Construction Industry: An Integrated Spnp And Louvain Approach	d295bf7b-db95-4218-b60c-9c93cd114540
Capturing And Sharing Know-How Through Visual Process Representations: A Human-Centred Approach To Teacher Workflows	2e9dc1f7-5a44-48e5-8c5b-f6562b91daf7
Generative Artificial Intelligence Empowers The Research Of Digital Textbooks In Vocational Education	77baa740-356b-47f9-b7b2-9af2406056de
Educational Reform In The Era Of Artificial Intelligence: From Autonomous Learning To Competition In Calculation Power	d6000f90-fc75-4ef5-b2e4-55acf85314fb
Redefining Work In The Supply Chain: Combining Digital Technologies And Knowledge Sharing For A Smart Working Environment	aac76a34-cb38-4447-9aa3-cd9d44fe1dd7
Exploring Rural Tourism Innovation Through Statistical Analysis And Model Prediction: Modeling Of Knowledge Sharing And Absorption Capacity In Multi-Agent Collaboration	08fdb206-9bbc-4497-8367-4a86960d481d
Secure And Efficient Data Sharing For Internet Of Vehicles: A Hierarchical Blockchain Enabled Asynchronous Federated Learning Approach	4dbb937a-9846-46de-a638-1fd68491354b
Linking Digital Knowledge Management Practices To Organizational Performance: A Serial Mediation Perspective	b01ad298-c323-4630-854a-e846f5bcf96a
Learning-Based Collaborative Optimization For Multi-Objective Energy-Aware Distributed Assembly Blocking Flow Shop Scheduling	a647377d-45ca-456b-a0fe-30497c6387d6
Exploring Savico’S Journey: Dynamic Capabilities And Industry 4.0 Integration In Organisation–Industry Actor Relationships	04b71f2a-f5cf-45ce-9f6d-a23235b01bbb
Enhancing Supply Chain Innovation Via Generative Ai: Mediating Effects Of Knowledge Sharing And Supply Chain Learning	f7204db1-bdc9-4b5d-9c23-1c38041a0f2b
Moving From Passive Learning To Active Learning: Investigating The Effect Of The Flipped Classroom Pedagogical Approach In A Computer-Based Technology Course In Higher Education	4fd11701-3c65-47e7-a9a2-3b9b80fe05af
Determination Of Various Risk Elements’ Association Causing Fatal Crashes In Heterogeneous Traffic Conditions	583a6750-ba82-4eaa-a910-615bf0ebf142
Interactive Learning In Microelectronics Education: Comparing Pc And Mixed Reality Approaches For Student Engagement And Visual-Spatial Memory	da4e9b4b-e67a-460b-a264-9a7390c3c83b
A Hybrid Cooperative Game And Shapley Value Approach For Knowledge Sharing And Profit Allocation In Technology Supply Chain Strategic Alliance	5b6d2795-de88-433c-b09f-da494089621f
Digital Preservation Of Chongqing Red Culture And Tourism Resource Development In Bayu Traditional Dwellings	250ea939-7782-4a55-ac90-d66a3dd79355
Seismic Tomography Of The Velocity Structure Of The Upper Mantle Of The Earth’S Crust Based On Artificial Intelligence Technology	09cde14f-e1e6-4ecb-8a6f-c81a0f37e796
Harnessing Ai-Metaverse Synergies For Smart Sustainability: A Knowledge Management Perspective On Immersion, Ethics, And Decentralization	0df16fd2-fe6b-4637-a393-7df873fa2274
An Investigation Into The Use Of Virtual Reality Technology In Advanced Mathematics Education	6a833d9b-0432-4b73-bb5a-aa1e6ee80021
Development Of An Open Source Testing Devices For Fuel Cell Vehicles	42c01a12-483e-4b38-9c9e-1766604ed410
Extreme Learning Machines And Van Emde Boas Tree-Based Congestion-Free Model For Social Internet Of Things	402b16a6-eb04-4354-aa2a-49ae7f0702d1
Advancements In Orthopaedic Medical Education: Exploring Novel Teaching Strategies – A Qualitative Systematic Review	2e4a7efc-4dab-4019-9fa9-29c1f2a903e2
Npd Project Portfolio Selection Problem Considering Knowledge Creation And Outsourcing Options	fa90b061-c364-4ec2-8c7e-cf7018935a22
Beyond Instrumental Use: A Tam-Based Study Of Al-Assistedlanguage Learning Among Chinese University Students	64715c00-69f2-449f-8c49-3f3f379814c8
Tcm Academy—Online Platform For Acupuncture And Traditional Chinese Medicine Education: Advancing Global Standards	00f043d7-72dd-427c-87d4-171f65a7d6c9
Knowledge Types Of Pre- And In-Service Chemistry Teachers–A Self-Regulated Learning Perspective	ba492cc8-cbe8-4d64-a640-7dd1850355e9
Analysing Factors Influencing Undergraduates’ Adoption Of Intelligent Physical Education Systems Using An Expanded Tam	9196f9ef-3d80-4d7f-a1d4-8815631fbfb4
Academic Advising Chatbot Powered With Ai Agent	4be87464-49fa-4731-ab29-0f93e4286802
Deep Learning Models For Cultural Pattern Recognition: Preserving Intangible Heritage Of Li Ethnic Subgroups Through Intelligent Documentation Systems	a3b7239a-ce83-4f1e-a38f-5fcd4c915182
How Artificial Intelligence Enhanced Digital Technology Shapes Autonomy And Mindset In Informal Language Learning	ccf162a0-9041-4d6e-ac7a-83f4b28a9891
Socially Embedded Knowledge Sharing In Sme Networks: A Conceptual Model For Territorial Ecosystems	bd35786a-ad32-4228-af20-22b79ba9aa88
Deep Learning: Exploration Of Models, Emerging Challenges And Transformative Applications	9fb744b6-9db4-48c6-aa2a-ab8d2076fd25
Harnessing Model-Based Group Decision Support Systems For More Effective Stakeholder Engagement: Reflections From The Field	966a99d8-fc50-4641-afbe-283887710203
The Relationship Between Knowledge Management And Information Technology Components In Kerman City Telecommunications Company	ca119e57-e375-4175-b864-5e86d8b4d958
Students’ Feedback About “Physiotherapy Of Orthopaedic Diseases” With Full-Time Online Teaching	292668df-e3a3-4b4e-9665-67cfbc08ce7a
Revolutionizing Education Through Augmented Reality (Ar) And Virtual Reality (Vr): Innovations, Challenges And Future Prospects	e2d6479a-e913-428e-b5e4-a57d9b8f58c4
Exploring The Impact Of Virtual Reality On Gen Z Students In Preserving The Cultural Heritage Of Karapan Sapi	2a2e41fa-7d41-4a4b-a243-2a5c44db1a0e
Technology Integration In Indigenous Schools Without Internet Access	52fbf417-30cb-4b53-8548-6dd3c255bb36
Improving Wettability Estimation In Carbonate Formation Using Machine Learning Algorithms: Implications For Underground Hydrogen Storage Applications	53a6c4d5-b3ec-41bf-96bb-cc3f17455c1a
Classroom Assessment Practices Of Practice Teachers And Mentoring Support Of Cooperating Teachers: Inputs For A School-Based Enhancement Program In The Philippines	8f33ff5e-de7a-46d1-9321-c3d800c102f8
Performance Or Governance? Serious Game And Workshop As A Tool For Fostering Awareness Of Responsible Ai	0cdc9830-ca1d-4342-a83c-cd340ff52684
E-Learning Integration And Teaching Strategies To Enhance Knowledge Retention In Higher Education	6c865090-4d0e-47f5-aadc-bcc88e6f4f43
Zero Sample Power Grid Equipment Ontology Defect Grade Idetification Method Based On Knowledge Enhanced Large Language Model	d609e181-f816-4ae9-8470-a2c75bb3c53c
A Reliable Hybrid Extreme Learning Machine-Metaheuristic Framework For Enhanced Strength Prediction Of 3D-Printed Fiber-Reinforced Concrete	87cdf000-50f1-4154-9a52-fdcd37be26ac
Virtual-Physical Alliance In The Metaverse Ecosystem: Business Model Evolution And Optimal Deployment Of Knowledge Management Strategy	d509fd2b-7058-46ad-a967-9578a9610fd4
Effective Enablers And Tools For Inhabitants’ Knowledge Acquisition In Public Policymaking Organizations: A Delphi Study In Gcc Countries	a4e15449-0e5e-496f-be04-cba15158d69e
Augmented Reality And Embodied Learning: Effects Of Embodiment Degrees On Students’ Learning Achievement, Cognitive Load, And Technology Acceptance	4a187045-3e84-4c9b-a586-63917fb7bd77
An Optimized Learning Approach For Enhancing The Security Of Digital Twin-Enabled Industrial Systems From Distributed Denial-Of-Service Attacks	4082dea5-c5d3-4ae5-aeb0-db4ab821cbf0
Community Cricket Coaches Are Ill-Equipped For Technical Coaching Of Pace Bowlers: A Survey Of Australian Coaches	7d71e337-2946-4a08-b0fb-506d8bcbaebc
Quantitative Analysis Of Safflower Seed Oil Adulteration Based On Near-Infrared Spectroscopy Combined With Improved Sparrow Algorithm Optimization Model Issa-Elm	5ae0e0b5-7cb6-4847-af83-7e504017dd37
Application Of Ai Teaching Assistant To College Education Of Principles Of Chemical Engineering	8912f062-fded-4a2b-9cbc-7c18574f2f67
Cloud-Based Optimized Deep Learning Framework For Automated Glaucoma Detection Using Stationary Wavelet Transform And Improved Grey-Wolf-Optimization With Elm Approach	44977ec7-1456-4d71-84a5-4c46dedd2589
Applying Knowledge Management Within The Information Security Domain To Strengthen Policy Development In Developing Countries	fb7f06b0-87c7-4403-aad0-9261f37a193c
Empirical Study On Boundary-Spanning Search And Organizational Agility: Based On Spss Data Analysis Technology And Amos Structural Equation Model	b9ce2ded-d9f3-499b-8bde-08b87bcdff83
Human Action Recognition In Video Data Based On Deep Learning Methods	568e4737-d168-4dda-a415-1aee101a5f88
Health Literacy Through Education: A Document Analysis Of Thailand’S Basic Health Education Curriculum	2f99f98e-a18d-4475-9199-e56569f6356f
A Study Of Impact On English Language Skill Using Content And Language Integrated Learning Approach Adopting Blended Teaching	98440cbf-c58c-47d8-a8ba-27b41dc32dd1
Enhancing Fault Diagnosis: A Hybrid Framework Integrating Improved Sabo With Vmd And Transformer–Telm	1732f4f7-2db1-4658-be69-ad20da684c99
Digital Technologies And Chinese Digital Firms’ Green Innovation	6fe7ab82-c772-48c5-810c-6128ac867ea9
Developing Future Specialists' Competencies Through A Digital Reflective Learning Model At The University	beb5346e-c4b0-40d8-828e-5886f7711f2a
The Effect Of Knowledge Management Capabilities On Organisation Performance: An Empirical Study On Ethiopian Manufacturing Firms	e651f9c1-1b8a-4fbb-9011-17fc6385e417
Job Recommender Systems: A Systematic Literature Review, Applications, Open Issues, And Challenges	11af2d18-b3e2-46fe-b587-f9ca6b7de612
Antecedents And Outcomes Of E-Procurement Adoption: An Extension Of The Delone And Mclean Information Systems Success Model	14151ce9-2c26-427b-b77e-feaa088f918b
Evidence-Based Teaching Interventions For Emergent Multilingual Students In High School Science Classrooms: A Literature Review	94cea0e5-29d2-4481-b318-0160a98e4ace
Boosting Firms’ Absorptive Capacity: The Digital Technologies Edge	1605a158-03c9-4e0f-aa54-b8331240b977
Data-Model Interaction-Driven Transferable Graph Learning Method For Weak-Shot Onsite Ftu Health Condition Assessment	2805d97e-ccbe-43d5-88b8-3a10b0ad3e9a
A Hybrid Approach To Raising Digital Literacy Among Adolescents In Ksa Using A Mobile Application	3bd821b5-c005-469d-ab9e-eaefcd1dbc46
Construction And Practice Of An Aiot Practical Course Based On Agile Teaching Methodology	e1f226cb-e0ba-4be1-87b9-c0a3c41bb2dd
Degree Of University Students’ Awareness Of Using Artificial Intelligence Applications (Chatgpt) In The Educational Process In The Uae	77ba4929-202a-439d-8604-0e48ae1cbbd5
Shareflows: Seamless Knowledge Capture And Proactive Push For Efficient Teacher Workflows In Higher Education	6c6706ac-dc22-4d85-9ac9-459dc09cc9f0
Utilizing Iot Sensors And Spatial Data Mining For Analysis Of Urban Space Actors’ Behavior In University Campus Space Design	f63ba7d9-cc66-4f14-88c3-b2ac58bfdf26
Be A Contributor Or Consumer? Effects Of Subscription On User Engagement In Knowledge-Sharing Communities	b911985e-4c6b-46dc-8af8-46b772ab780e
Toward Profundity And Precision: Reinventing Knowledge Retrieval Capabilities Guided By Human Cognition	090d58c1-d10c-443c-a43f-824ae23f52d1
Observing A Robot Peer’S Failures Facilitates Students’ Classroom Learning	5cab746b-d71e-435f-9ae6-5d87a4e38413
Research On Non-Destructive Prediction Method Of Tomato Quality Indicators Using Hyperspectral Imaging And Extreme Learning Machine	10803624-5b30-48f9-a7af-3b4884b926d6
