Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link
Using a mobile application for psychiatry training in medical students: a quasi-experimental study,"Zolfaghari M, Shirzadi S, Motamed M.","OBJECTIVE: Microlearning and gamification through mobile technology can significantly enhance knowledge acquisition and satisfaction. Roozbehyar application, was designed using microlearning and gamification approaches for psychiatry clerkship training. METHOD: This quasi-experimental study was conducted in Roozbeh Hospital, in 2021. The intervention group was assigned to the Roozbehyar during a 4-week course. Knowledge and satisfaction were assessed after 4 weeks. RESULTS: We recruited 27 (F/M: 19/8) and 35 students (F/M: 22/13) in the intervention and control groups, respectively. Learning through Roozbehyar was associated with higher scores in the final written exam (p value: 0.031). No difference was seen in the final global assessment scores. The satisfaction scores of the students regarding the content and learners' aspect of the application were above average, yet scores in structural and support aspects were below average. CONCLUSIONS: We highlighted the effect of a microlearning mobile application in increasing knowledge and satisfaction in psychiatry training in medical students.",psychiatry training,Australas Psychiatry,England,2023,Journal Article,unknown,10.1177/10398562231159509
New is not always better: Virtual reality does not necessarily enhance mnemonic processing,"Johnsdorf M, Pham KA, Schmidt T, Truong VL, Wohnig A, Kisker J, Gruber T, Schöne B.","Integrating new technologies such as Virtual Reality (VR) can contribute to increasing efficiency in several areas relevant to society. VR can be applied in various contexts and has the potential to improve mnemonic processes and memory performance. However, the specific conditions under which VR is more beneficial than conventional learning methods remain unclear. To further investigate the value of VR for mnemonic processing, participants performed a memory task under three different conditions. For that task, they were presented with rules regarding the spatial arrangement of building blocks with a written text or a video in 2D on a screen or in 3D/360° with a head-mounted display. Following the learning session, memory performance was measured by a recognition test involving a multiple-choice questionnaire, in which participants had to mark the correct arrangement of building blocks, and a construction test, in which they had to arrange five different building blocks according to the rules learned. Additionally, participants had to arrange 38 building blocks according to the rules in a free recall test the following day. Surprisingly, results revealed no superiority effect for learning in VR. Instead, learning the rules with the text yielded the best memory performance results, indicating that prior experience with conventional learning methods facilitates declarative knowledge acquisition. Considering previous findings regarding cognitive processing in VR, our results suggest that in passive learning, processing the more salient and personally relevant virtual stimuli in the surrounding VR environment requires more attentional resources. Therefore, VR impairs focusing on the relevant declarative information and impedes the transfer of the learned knowledge to different contexts. When considering to implement VR, the value to the particular domain and specific learning task should be taken into consideration: For learning basic declarative information without actively involving the students, conventional learning methods seem sufficient and more efficient for mnemonic processing compared to new technologies.",virtual reality,Front Psychol,Switzerland,2023,Journal Article,unknown,10.3389/fpsyg.2023.1089725
Microlearning activities improve student comprehension of difficult concepts and performance in a biochemistry course,"Nowak G, Speed O, Vuk J.","INTRODUCTION: Students must rapidly learn and retain fundamental basic science knowledge in a doctor of pharmacy curriculum. Active learning stimulates engagement, reinforces concept understanding, and promotes retention of knowledge. The purpose this study was to determine if introducing game-based active recall and critical thinking microlearning activities improved student comprehension of challenging concepts, exam performance, and successful completion of a biochemistry course. METHODS: Microlearning activities were generated using Articulate Storyline software. Questions and problems were embedded in gamification-type activities to reinforce challenging biochemistry concepts and improve critical thinking. Activities were published on Blackboard and student performance was recorded. Students were divided into performance groups using their first exam scores. Student's exam scores were related to results from corresponding microlearning. Statistical analysis of results was performed to compare exam results with outcomes of microlearning activities. RESULTS: Student performance on exams and final scores positively correlated with successful completion of microlearning activities. Students who successfully completed more microlearning activities performed significantly better on all exams in comparison with students who completed few microlearning activities. Students who initially struggled with the material but completed more microlearning improved their performance on exams and passed the course with a higher score. In contrast, students who struggled and completed fewer activities failed to improve their exam and course performance. CONCLUSIONS: Active recall and critical thinking microlearning activities enhanced knowledge retention and comprehension of challenging biochemical concepts. Microlearning scores positively correlated with student exam performance in a biochemistry course, especially amongst students struggling with the material.",Technology,Curr Pharm Teach Learn,United States,2023,"Research Support, Non-U.S. Gov't",unknown,10.1016/j.cptl.2023.02.010
Problem-based learning in medical radiation science education: A scoping review,"Arruzza E, Chau M, Kilgour A.","INTRODUCTION: The current educational and technological environment in medical radiation science is dynamic. Educators must seek both proven and contemporary methods to ensure graduates are equipped for the clinical environment. This scoping review sought to assess the evidence regarding the value of problem-based learning (PBL) as part of medical radiation undergraduate curricula. METHODS: A systematic search of Medline, Emcare, and CINAHL was undertaken. Studies using both quantitative and qualitative methodologies were eligible if they reported the outcomes relating to PBL intervention for medical radiation science students in undergraduate education (diagnostic radiography, radiation therapy, or nuclear medicine). Outcomes included self-perceived benefits, disadvantages, and skills. Screening and data extraction was conducted independently by two reviewers. RESULTS: Eleven studies were included. Data regarding perceived benefits, perceived disadvantages, and skills were gathered. Pre-post studies demonstrated statistically significant findings suggesting better preparedness and improved attitudes for PBL students. Across institutions globally, there is evidence suggesting PBL is positively received by medical radiation students. High satisfaction was experienced amongst participants. Negative feedback included lack of resources, limitations in realism, and issues associated with groupwork. CONCLUSION: PBL may positively impact student satisfaction, knowledge acquisition, and skills, though this necessitates further research. IMPLICATIONS FOR PRACTICE: Medical radiation is an evolving discipline, and problem-based learning poses an educational tool to equip graduates with adaptive qualities.",Radiotherapy,Radiography (Lond),Netherlands,2023,Scoping Review,unknown,10.1016/j.radi.2023.03.008
Are Virtual Reality Serious Video Games More Effective Than Web Video Games?,"Lopez-Fernandez D, Mayor J, Garcia-Perez M, Gordillo A.","Virtual reality is widely used for many educational purposes. However, despite the increasing trend in the use of this technology, it is not yet clear whether it is more effective for learning than other technologies, such as traditional computer video games. This article presents a serious video game to learn Scrum, a methodology widely used in the software industry. The game is available in mobile virtual reality and Web (using WebGL) formats. Both versions of the game are compared in terms of knowledge acquisition and motivation enhancement through a robust empirical study involving 289 students and instruments, such as prepost tests and a questionnaire. The obtained results suggest that both formats of the game are useful for acquiring knowledge and promoting aspects, such as fun, motivation, and engagement. The results also suggest, strikingly, that there is no difference in terms of learning effectiveness between the two versions of the game.",,IEEE Comput Graph Appl,United States,2023,Journal Article,unknown,10.1109/MCG.2023.3244036
Use of the Anatomage Virtual Table in Medical Education and as a Diagnostic Tool: An Integrative Review,Said Ahmed MAA.,"Studies on human anatomy mainly depend on cadaver dissection. New technology devices have progressed to improve anatomy teaching, such as the 3D Anatomage virtual dissection table. There is a shortage and deficiency in information about the uses and benefits of the Anatomage table. The aim of this article was to review and assess the current evidence about the advantages of the Anatomage virtual table in medical education and curricula of medical courses, and its utility in diagnosis. The current study is a comprehensive systematic review. A search was conducted on online medical and scientific databases. Twenty-nine articles relevant to the content of the current research topic were selected. Based on this review, the use of the Anatomage table is valuable for anatomy learning outcomes, and most of the research supported it as an important anatomy tool in addition to cadaveric dissection. The Anatomage table in association with human dissection can improve knowledge retention of anatomy. It is an important tool for understanding organ variation. Anatomage is now considered an important tool for the educational training programs of medical students and residents and for disease diagnosis and prognosis. Anatomage can make the curriculum more interesting and valuable. Utilizing the Anatomage table can help medical and paramedical students and residents by assisting them to understand anatomy in a better way. It will also improve radiological knowledge and facilitate pre-planning for surgeries. Finally, it has a crucial role during exceptional circumstances such as pandemics.",virtual table,Cureus,United States,2023,Review,unknown,10.7759/cureus.35981
Comparing Knowledge Acquisition and Retention Between Mobile Learning and Traditional Learning in Teaching Respiratory Therapy Students: A Randomized Control Trial,"Alhamad BR, Agha S.","PURPOSE: Mobile learning (m-learning) is one of the trends in health professions' education. It has a promising future in education, but it also presents various challenges and risks. This research seeks to highlight some of the greatest accomplishments, opportunities, and issues related to m-Learning in teaching and learning. We believe the findings help us maximize the positive effects of m-Learning while minimizing any potential drawbacks associated with the technological changes taking place in education. The study aimed to compare respiratory therapy students' knowledge acquisition and retention between using m-learning and traditional learning. PARTICIPANTS AND METHODS: Randomized pre-test, post-test, control group design was used. All 3rd year (N = 46) respiratory therapy students in one governmental university in Saudi Arabia were randomly assigned to either intervention or control group. Both groups took the same content of arterial blood gas lecture for 2 hours. The intervention group took the lecture using m-learning; two mobile apps: (1) ABG Book, (2) Arterial Blood Gas (Lite). The traditional learning (lecture-based learning) was used for the control group. The same test was conducted before, immediately after, and two weeks after the lecture. The duration of the test was 30 minutes. The data were analyzed using independent t-test and repeated measured ANOVA using p < 0.05. IRB Approval was obtained. RESULTS: Forty-five students participated. Although no statistically significant difference was found on knowledge acquisition and retention between the two types of learning (p = 0.305, p = 0.904, respectively), it was found among the three time-points within each group (p < 0.001). CONCLUSION: Both m-learning and traditional learning are effective in increasing knowledge acquisition and retention. However, no one is better than the other. Further researches were needed with larger sample size through multi-institutional studies to validate the results of this study.",teaching,Adv Med Educ Pract,New Zealand,2023,Journal Article,unknown,10.2147/AMEP.S390794
"The relationships among Taiwanese youth's polychronicity, multitasking behavior and perceived learning performance in online learning","Luo YF, Kang S, Yang SC, Lu CM.","BACKGROUND: The advancement of digital technology implies the importance of polychronic learning. Since polychronicity is not equivalent to multitasking behavior, they need to be considered separately. However, less research has been explored on how polychronicity is related to multitasking behavior in the educational field. OBJECTIVE: To explore the relationships among polychronicity, multitasking behavior and learning performance (including knowledge acquisition and learning satisfaction) in an online learning environment. METHODS: The relationship among variables was analyzed from 865 responses obtained from a questionnaire survey, and independent sample t tests and SEM analysis were used to examine the research hypotheses. RESULTS: College students showed a higher frequency of multitasking behavior, time tangibility and scheduling preference, and learning satisfaction in multitasking online learning environments than high school students. Additionally, college students were different from high school students on the paths of involvement with people to multitasking behavior (Δ χ (2)= 5.42, p = 0.02) and scheduling preference to learning satisfaction (Δχ (2) = 9.54, p = 0.002). CONCLUSION: The relationship among polychronicity, multitasking behavior and perceived learning performance in an online learning environment varies by student educational stage.",polychronicity,Front Psychol,Switzerland,2023,Journal Article,unknown,10.3389/fpsyg.2023.1131765
Case Cards: A Novel Learner-Centered Initiative to Improve Resident Education in the Pediatric Emergency Room,"Perlman E, Sagalowsky S.","INTRODUCTION: The pediatric emergency department (PED) provides a wealth of learning opportunities for residents. However, delivering dedicated education can be a significant challenge due to considerable variability in day-to-day schedules, volume, cases, time, and resource availability. Case-based and learner-centered teaching models are well suited for ambulatory settings like the emergency department. Using the Kern model, we designed an educational intervention titled ""Case Cards"" to facilitate active learning conversations in pediatric emergency medicine (PEM). Our goal was to improve clinical teaching in the PED to demonstrate self-reported satisfaction, knowledge acquisition, confidence, and commitment among residents rotating in this fast-paced, challenging clinical environment. METHODS:  After general and targeted needs assessments, we developed a compendium of 30 high-yield case cards to facilitate case-based learning conversations between learners and preceptors. Case topics mirror the American Board of Pediatrics Content Outline of Emergent Conditions. The ""Learner Card"" presents a PEM case for the learner to read and hold, while the ""Teacher Card"" contains evidence-based teaching prompts following established learner-centered clinical teaching models to guide and facilitate the case. Post-implementation surveys queried Kirkpatrick New World educational outcomes in a retrospective format. RESULTS: We collected data from 24 pediatric and emergency medicine residents between July 2021 and January 2022. All respondents agreed or strongly agreed that case cards are enjoyable, educational, applicable to clinical practice, enhanced confidence, and would be recommended to others. CONCLUSION: Case cards for learner-centered teaching in the pediatric emergency setting are well-received and demonstrate resident self-reported satisfaction, knowledge, and confidence in core PEM conditions. Having established and readily available teaching topics, such as case cards, can enhance the clinical experience in the PED and other challenging settings and augment clinical exposure to core content. Educators may wish to expand and explore evolving technologies to facilitate learner-centered clinical teaching.",resident education,Cureus,United States,2023,Journal Article,unknown,10.7759/cureus.36944
Impact of Audience Response System in Enhancing Teaching of Anatomy and Physiology for Health Sciences Students at King Saud bin Abdulaziz University for Health Sciences,"Baashar A, Kumar RS, Akhtar SMI, Alyousif SM, Alhassan AI, Townsi N.","PURPOSE: Instructional methods that offer students' opportunity for engagement are essential to develop an active learning environment. This paper aims (1) to assess whether the use of an Audience Response System (ARS) during anatomy and physiology lectures improves students' engagement, knowledge retention and academic achievement and (2) to evaluate the feasibility of introducing ARS as a formative tool from both instructors' and students' perspectives. MATERIALS AND METHODS: This quasi-experimental study was conducted across ten lectures for the second-year Pre-Applied Medical Science (PAMS) and Pre-Medical (PMED) students at the College of Sciences and Health Professions, King Saud bin Abdulaziz University for Health Sciences (KSAU-HS), Jeddah, Saudi Arabia. The ARS was integrated into five lectures, whereas the remaining were conducted without ARS. A comparison of the immediate post-lecture and prior laboratory session quiz scores between the lectures with and without ARS was performed using an independent sample t-test. An online survey was completed by the students as well as informal feedback was taken from the instructors to assess ARS usefulness. RESULTS: A total of 65 PMAS and 126 PMED students participated in the study. Students achieved significantly better scores for ARS lectures than non-ARS lectures: PAMS (p 0.038) and PMED (p 0.018). Students and instructors agreed that ARS was easy to use, allowing students to engage and actively participate in the teaching process by responding to questions and receiving instant and anonymous feedback about their learning progress. CONCLUSION: Employing suitable interactive teaching methods facilitates students' learning and improves their retention of knowledge. Students and instructors positively view the ARS strategy as a means to promote learning in a traditional lecture setting. Increased practice on how to integrate its use into classrooms could lead to further utilization.",medical students,Adv Med Educ Pract,New Zealand,2023,Journal Article,unknown,10.2147/AMEP.S397621
Improved Spatial Knowledge Acquisition through Sensory Augmentation,"Schmidt V, König SU, Dilawar R, Sánchez Pacheco T, König P.","Sensory augmentation provides novel opportunities to broaden our knowledge of human perception through external sensors that record and transmit information beyond natural perception. To assess whether such augmented senses affect the acquisition of spatial knowledge during navigation, we trained a group of 27 participants for six weeks with an augmented sense for cardinal directions called the feelSpace belt. Then, we recruited a control group that did not receive the augmented sense and the corresponding training. All 53 participants first explored the Westbrook virtual reality environment for two and a half hours spread over five sessions before assessing their spatial knowledge in four immersive virtual reality tasks measuring cardinal, route, and survey knowledge. We found that the belt group acquired significantly more accurate cardinal and survey knowledge, which was measured in pointing accuracy, distance, and rotation estimates. Interestingly, the augmented sense also positively affected route knowledge, although to a lesser degree. Finally, the belt group reported a significant increase in the use of spatial strategies after training, while the groups' ratings were comparable at baseline. The results suggest that six weeks of training with the feelSpace belt led to improved survey and route knowledge acquisition. Moreover, the findings of our study could inform the development of assistive technologies for individuals with visual or navigational impairments, which may lead to enhanced navigation skills and quality of life.",wayfinding,Brain Sci,Switzerland,2023,Journal Article,unknown,10.3390/brainsci13050720
