uuid,knowledge_capture_retention_discussed,knowledge_capture_retention_reasoning,knowledge_capture_retention_confidence,digital_technology_used_for_capture_retention,digital_technology_reasoning,digital_technology_confidence,technology_source_mentions,technology_normalized,technology_acm_class,technology_confidence,tacit_knowledge_source_mentions,tacit_knowledge_class,tacit_knowledge_confidence
ff43e243-583a-45ed-b0dd-0bd61fa976bc,Yes,"Knowledge management to prevent knowledge loss.",high,Yes,"HCI methods and digital tools used for knowledge capture.",high,"['contextual inquiry', 'affinity workshops', 'ideation workshops']","contextual inquiry; affinity workshops; ideation workshops","Human–Computer Interaction and Immersive Technologies",medium,"maintenance workers' processes and knowledge-sharing behaviors","operational know-how; teamwork or coordination know-how",medium
00a3c04b-0ab1-4665-ab35-afc74ef05a6c,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
86cb7a5b-83d7-4ceb-b4ac-76245d647bc1,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
cc50d5eb-0656-4ccd-a792-8e7a6747855d,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
2d19c04f-ffcd-4387-83c8-d7ef48f5070a,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
1f0c478e-1210-41ee-9307-dc4939961557,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
abb8b4c4-eaf9-4b2d-9094-4be162b026d6,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
a607a3d0-8f27-4db7-90f9-a684f9a99b2c,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
4586e96d-c3b3-4cac-9454-15be810666e5,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
14736e64-a1da-42fb-901e-0f47130f9462,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
3122b1af-5847-4c64-a394-3657db601ce4,Yes,"Knowledge retention explicitly mentioned.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
a7ed0a97-b6e5-4e94-a2cb-ac1d694c4f1d,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
1856a1f8-6aae-4dc9-a739-8e9b56059608,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
2e1f07a4-12dd-4e2f-94a5-ae3d4b39bdee,Yes,"Knowledge acquisition, sharing, application are part of KM.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
565b722a-1fb6-4725-a41b-f17ec6dbb7d7,Yes,"Knowledge retention mentioned as opportunity.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
f066bade-aac5-4a58-b077-2ad7752fa251,Yes,"Knowledge capture and lessons learned explicitly mentioned.",high,Yes,"MUSTANG system captures knowledge.",high,"['MUSTANG', 'iMUSTANG']","mustang; imustang","Cyber-Physical Systems, IoT, and Smart Environments",medium,"lessons learned; knowledge capture","experiential know-how",medium
e99573e8-4dbe-4f84-b8e0-220c726b532b,Yes,"Knowledge acquisition and integration for hermeneutics.",high,Yes,"NLP methods used for knowledge acquisition.",high,"['natural language processing', 'NLP']","natural language processing","Artificial Intelligence and Intelligent Computation",medium,"hermeneutical knowledge; textual interpretation","experiential know-how",medium
859c49f7-5a30-43bd-a6b5-011b1bbefac8,Yes,"Knowledge acquisition and distribution in education.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
4acc0c68-a4e0-4a61-890a-c592d34a50ba,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
d5eeb2ea-ee22-42eb-b3bc-e96d3153bbb9,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
bfe27fe9-e048-42c5-8dc4-42bff631c250,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
b2f469da-7fc0-4d7e-a017-b76b2cc3352c,Yes,"Knowledge acquisition and integration explicitly mentioned.",high,Yes,"LLMs, vector databases, knowledge graphs used for knowledge integration.",high,"['large language models', 'LLMs', 'vector databases', 'knowledge graphs']","large language models; vector databases; knowledge graphs","Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems",medium,None identified,None identified,low
2eadb664-26da-4707-93f6-244d9f658471,Yes,"Knowledge acquisition explicitly mentioned.",high,Yes,"Web retrieval, RAG, LLMs used for knowledge acquisition.",high,"['web retrieval', 'RAG', 'large language models']","web retrieval; rag; large language models","Artificial Intelligence and Intelligent Computation",medium,None identified,None identified,low
e7d25f40-c44c-422e-a5ce-aafe006dd53e,Yes,"Knowledge building and acquisition.",high,Yes,"Asynchronous online discussion forums used for knowledge acquisition.",high,"['asynchronous online discussion forums', 'AODs']","asynchronous online discussion forums; aods","Mobile, Social, and Communication Technologies",medium,"help-seeking and knowledge building behaviors","teamwork or coordination know-how",medium
aa8c8e1f-372d-4331-85ca-5b67b475ac10,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
bed10d41-3595-475f-8a6c-df9952c26869,Yes,"Knowledge acquisition explicitly mentioned.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,"environmental knowledge; technical knowledge","experiential know-how",medium
c15bcbe4-e875-421a-be4f-ea4e6d25a24b,Yes,"Knowledge acquisition, storage, sharing, application are studied.",high,Yes,"E-LMOOCs platform for KM practices.",high,"['E-LMOOCs']","e-lmoocs","Mobile, Social, and Communication Technologies",medium,None identified,None identified,low
171166ee-8833-4ed1-bbd4-5fbeac0e0761,Yes,"Knowledge management practices including external knowledge acquisition.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
5682b705-b167-4c0e-a30c-93e3e3e58b54,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
9b9d1033-ff0a-43ff-86fd-9eb3fab1230b,Yes,"Knowledge acquisition mentioned as part of constructivist learning.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
6365897d-f9f8-4bee-baaa-bf13a2efeae0,Yes,"Skill acquisition is a focus.",high,Yes,"GOAL system with online environments and wearables for skill acquisition.",high,"['GOAL', 'wearable trackers', 'online environments']","goal; wearable trackers; online environments","Mobile, Social, and Communication Technologies; Cyber-Physical Systems, IoT, and Smart Environments",medium,"self-direction skill","procedural know-how",medium
dca87aab-819d-457a-8ec4-82cabbfae62b,Yes,"Knowledge acquisition and reasoning facilitated.",high,Yes,"Knowledge graph, LLM, BioBERT used for knowledge acquisition.",high,"['knowledge graph', 'ChatGLM3', 'BioBERT']","knowledge graph; chatglm3; biobert","Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",medium,"osteosarcoma pathogenesis and molecular mechanisms","clinical know-how",medium
40495b5a-47ca-4fff-bfd3-b0849a8c34c5,Yes,"Knowledge acquisition explicitly studied.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
2495cb30-472e-461e-bb45-96e747f9d9d1,Yes,"Knowledge acquisition and retrieval mentioned.",high,Yes,"MPR dataset and deep learning for method knowledge acquisition.",high,"['MPR dataset', 'deep learning', 'SciBERT']","mpr dataset; deep learning; scibert","Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",medium,"method entities; method knowledge","experiential know-how",medium
517c6fd5-f67c-4d46-9b76-9b5320db7351,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
a7b4ce5e-5d1d-4383-bde8-cda3313cba13,Yes,"Knowledge acquisition and application via digital transformation.",high,Yes,"Digital transformation enhances knowledge acquisition.",high,"['digital transformation']","digital transformation","Mobile, Social, and Communication Technologies",medium,None identified,None identified,low
36d91655-e9df-4ad5-91ed-ee09ba925708,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
39799fcc-c059-431b-a443-4326aa1f5a6b,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
e957ff41-74a3-412d-bf36-20da4b55c300,Yes,"Knowledge acquisition is a creational affordance.",high,Yes,"ChatGPT, LLMs used for knowledge acquisition.",high,"['ChatGPT', 'large language models']","chatgpt; large language models","Artificial Intelligence and Intelligent Computation",medium,None identified,None identified,low
4d606b27-4050-4426-a6a3-fe678eaf9a23,Yes,"External knowledge acquisition via technology transfer.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
b7e1ee22-dd62-4f6b-85c6-8347c74bee1f,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
1df44525-a948-4b57-bdb5-85d85de38853,Yes,"Knowledge acquisition, dissemination, application, retention are studied.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
4cc2c4d3-2e9e-4fe4-835b-da90fbf45881,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
0e3803eb-09a0-45ce-9d4d-f8d6e5818c64,Yes,"Knowledge acquisition via collaborative discussions.",high,Yes,"Online tools for collaborative knowledge integration.",high,"['idea market', 'online tools']","idea market; online tools","Mobile, Social, and Communication Technologies",medium,None identified,None identified,low
bee8fc22-8329-4e24-9553-28cc218f7ea6,Yes,"Knowledge acquisition mechanisms using machine learning.",high,Yes,"Machine learning for knowledge acquisition.",high,"['machine learning', 'supervised', 'unsupervised', 'reinforcement', 'deep learning']","machine learning; supervised; unsupervised; reinforcement; deep learning","Artificial Intelligence and Intelligent Computation",medium,None identified,None identified,low
327ce98e-fd6c-435a-a034-eef118a8877b,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
5c3a41ff-80c1-4dee-bf69-a1bb253a2bc0,Yes,"Knowledge acquisition via LLMs.",high,Yes,"LLMs, edge computing, IoT for knowledge acquisition.",high,"['large language models', 'LLMs', 'edge computing', 'IoT']","large language models; edge computing; iot","Artificial Intelligence and Intelligent Computation; Cyber-Physical Systems, IoT, and Smart Environments",medium,None identified,None identified,low
68ab2582-9f80-4f01-9a05-0a64cf6799db,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
0b9cdff2-9752-4f09-9948-b17628757d9e,Yes,"Knowledge acquisition via machine learning.",high,Yes,"Machine learning for knowledge acquisition.",high,"['machine learning']","machine learning","Artificial Intelligence and Intelligent Computation",medium,None identified,None identified,low
3480950a-4de4-4eab-bc66-2e8422de7979,Yes,"Knowledge acquisition and transfer via digital technologies.",high,Yes,"Digital care technologies for knowledge acquisition.",high,"['digital care technologies', 'artificial intelligence']","digital care technologies; artificial intelligence","Artificial Intelligence and Intelligent Computation",medium,"caregiver knowledge; professional collaboration","clinical know-how; teamwork or coordination know-how",medium
16cf75db-a98e-4d35-89ba-9cdd618d28d0,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
a55c4761-998e-41f7-99b7-60d2fd261722,Yes,"Knowledge acquisition and management via digitalization.",high,Yes,"Digital technologies for knowledge acquisition.",high,"['digital technologies']","digital technologies","Mobile, Social, and Communication Technologies",medium,None identified,None identified,low
382e444e-228a-40c1-91b7-db49a3ea1a48,Yes,"Knowledge acquisition behavior explicitly studied.",high,Yes,"Machine learning and deep learning for learning behavior analysis.",high,"['machine learning', 'deep learning', 'random forest']","machine learning; deep learning; random forest","Artificial Intelligence and Intelligent Computation",medium,None identified,None identified,low
51f92cc8-dbd0-4db0-8dfc-3ff5cf74415d,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
db625c97-9196-42d8-81e7-0cbcca4a9d45,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
0e05ce98-78c9-4c8d-9a25-b7faefa37699,Yes,"Knowledge acquisition, sharing, dissemination, utilization are best practices.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
3cb180cc-b71a-4fa2-b75c-0b521df5e67a,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
5cb13d45-116b-4ca1-9212-4427f439b322,Yes,"Knowledge retention is a goal.",high,Yes,"AI and gamification for knowledge retention.",high,"['AI', 'machine learning', 'NLP', 'gamification']","ai; machine learning; nlp; gamification","Artificial Intelligence and Intelligent Computation",medium,None identified,None identified,low
58a80b3a-cf5c-4f92-8ef9-a161e13aec26,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
8cca90a5-bd1a-4924-84f3-890cf3d630dd,Yes,"Knowledge retention and skills acquisition through online training.",high,Yes,"Online learning management systems for training.",high,"['learning management systems', 'LMS']","learning management systems; lms","Mobile, Social, and Communication Technologies",medium,None identified,None identified,low
8b7d0a4b-7d89-4d6a-9dbe-34a65c0ad698,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
4c179923-f7eb-4f1a-a162-65426023e1e2,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
c19f8b10-5ecf-448c-a3d1-e1697d6e8c06,Yes,"Knowledge retention is a cognitive well-being outcome.",high,Yes,"Gamified blockchain education for knowledge retention.",high,"['gamification', 'BlockTrainHK']","gamification; blocktrainhk","Human–Computer Interaction and Immersive Technologies",medium,None identified,None identified,low
8d20ba5c-8689-4460-a8e8-bc97854a4ccd,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
7150c5ee-0f4c-4694-8bdc-7ec67f3f54f5,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
8aa7096c-677d-4d5b-85a3-63730a2abde2,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
a7d6136b-25f8-4a00-9385-b153370fd1f0,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
1ec65571-bd31-4401-b380-64122e6deadf,Yes,"Knowledge capture and reuse explicitly mentioned.",high,Yes,"AI technologies for knowledge capture and reuse.",high,"['AI', 'forming simulations', 'additive manufacturing', 'sensor technology']","ai; forming simulations; additive manufacturing; sensor technology","Artificial Intelligence and Intelligent Computation; Cyber-Physical Systems, IoT, and Smart Environments",medium,"tooling design knowledge","craft knowledge; experiential know-how",medium
9eb3aa01-4fb9-4009-b9c2-b0071c4d4b08,Yes,"Knowledge capture via foundation models.",high,Yes,"Foundation models, federated learning, AIoT for knowledge capture.",high,"['foundation models', 'federated learning', 'AIoT']","foundation models; federated learning; aiot","Artificial Intelligence and Intelligent Computation; Cyber-Physical Systems, IoT, and Smart Environments",medium,None identified,None identified,low
06e0eda8-7b6c-485d-88cc-06d0d273f87d,Yes,"Knowledge acquisition and application are sub-factors.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
bbf6915a-200d-48b3-a0de-6f7319a212e2,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
711b331f-6ff4-4bea-b826-19c8f3222fcd,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
4d6d14d9-568e-4583-b493-f50094dd44d9,Yes,"Knowledge acquisition explicitly studied.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
b857ed95-cb8a-4014-b95a-212f3c5047ee,Yes,"Knowledge acquisition, conversion, preservation, utilization are studied.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
c71ea5d0-d703-4791-bf8a-c7af1270dba5,Yes,"Knowledge acquisition and assimilation are drivers.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
b6c5f7fb-574e-4ada-8bd0-c1649b5c40c7,Yes,"Knowledge acquisition is an external variable in TAM.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
bfb5e5e0-0786-4b41-b4ee-46f16d651eaa,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
25acb09a-2017-4942-9233-78dd25658cba,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
2284501e-8348-4fdf-bf2c-07ca86b2dc07,Yes,"Knowledge acquisition via soft computing.",high,Yes,"Soft computing for knowledge acquisition.",high,"['soft computing']","soft computing","Artificial Intelligence and Intelligent Computation",medium,None identified,None identified,low
137f56d8-89c5-4d35-b0da-7fcda6057305,Yes,"Knowledge acquisition is the focus.",high,Yes,"AI-based software for knowledge acquisition.",high,"['AI-based software', 'generative AI']","ai-based software; generative ai","Artificial Intelligence and Intelligent Computation",medium,None identified,None identified,low
dae3bb5b-ffdb-4ab1-8a48-17b44ccfb912,Yes,"Knowledge acquisition via digital technology.",high,Yes,"Urban digital technology for knowledge acquisition.",high,"['urban digital technology', 'digital technology']","urban digital technology; digital technology","Mobile, Social, and Communication Technologies",medium,None identified,None identified,low
6d2e81e2-9897-4eeb-a912-bdfbc5269283,Yes,"Knowledge acquisition and skill development as major themes.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
61e8bb87-901a-4be4-82db-3dc5c1b9058c,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
c7a91687-e6b8-40e6-a433-bd061627337e,Yes,"Knowledge acquisition via VR.",high,Yes,"Virtual reality for knowledge acquisition.",high,"['virtual reality', 'VR', 'V-Clinic']","virtual reality; vr; v-clinic","Human–Computer Interaction and Immersive Technologies",medium,None identified,None identified,low
3760fc9f-524f-403f-b717-b99b4b3fb3f3,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
0f60c497-5b7c-4f1a-b96f-ce71e4d7d3e4,Yes,"Knowledge loss is addressed via verifiable credentials.",high,Yes,"Decentralized reward framework with digital credentials.",high,"['verifiable credentials', 'programmable money', 'blockchain']","verifiable credentials; programmable money; blockchain","Distributed, Secure, and Trust Technologies",medium,None identified,None identified,low
f4b19370-5d6a-4b90-ad56-3307abacf5f6,Yes,"Experiential knowledge acquisition is central.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,"experiential knowledge","experiential know-how",medium
d433b7df-8204-4af9-9f54-aef5813e3ac4,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
977027f5-3c41-4d40-99c9-aca6fe545dab,Yes,"Knowledge acquisition via collaborative network.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
3ca78812-c6be-4425-93b0-922dda1e51c2,Yes,"Knowledge acquisition via AR and robot.",high,Yes,"AR and socially assistive robot for knowledge acquisition.",high,"['augmented reality', 'AR', 'socially assistive robots', 'SAR']","augmented reality; ar; socially assistive robots; sar","Human–Computer Interaction and Immersive Technologies",medium,None identified,None identified,low
96568777-e8b3-4cbd-bfe2-8d24c1866320,Yes,"Knowledge acquisition is underrepresented in literature.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
eb7d03e8-4dc2-4b0a-8ca1-7ff7d1bbd57a,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
b2b6775c-5998-431e-b75a-0c56e55a2190,Yes,"Knowledge acquisition is measured.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
73b5f0a9-0b40-424d-b1d7-34f6d88eb151,Yes,"Knowledge acquisition is the dependent variable.",high,Yes,"VR for knowledge acquisition.",high,"['virtual reality', 'VR']","virtual reality; vr","Human–Computer Interaction and Immersive Technologies",medium,None identified,None identified,low
2f939f9c-7c25-4d48-bf8e-c18bc6c40156,Yes,"Knowledge acquisition is measured.",high,Yes,"Socially assistive robot for knowledge acquisition.",high,"['socially assistive robots', 'SAR', 'Nao']","socially assistive robots; sar; nao","Human–Computer Interaction and Immersive Technologies",medium,None identified,None identified,low
99f8e729-9435-4023-888c-575068bf8d1a,Yes,"Knowledge acquisition is part of innovation capacity.",high,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
cd79968d-52f1-4a9e-910f-f3c1a127dcdf,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
78532a81-e80d-4785-b2a7-fe5029797b8a,No,"No explicit retention keywords found.",medium,No,"No digital technology explicitly linked to retention.",medium,None identified,None identified,None identified,low,None identified,None identified,low
