uuid,knowledge_capture_retention_discussed,knowledge_capture_retention_reasoning,knowledge_capture_retention_confidence,digital_technology_used_for_capture_retention,digital_technology_reasoning,digital_technology_confidence,technology_source_mentions,technology_normalized,technology_acm_class,technology_confidence,tacit_knowledge_source_mentions,tacit_knowledge_class,tacit_knowledge_confidence
1bceb195-de05-4679-b49e-8671beba0aba,No,"Focuses on risk assessment using GIS, not on knowledge capture/retention.",high,No,"Uses GIS for risk assessment, not for capture/retention.",high,"Geographic Information Systems (GIS)","GIS","Data, Information, and Knowledge Systems",high,"None identified","None identified",medium
4744e658-6ec6-41f1-b59e-7aeb2294d4e3,No,"Discusses potential of blockchain and GAI in education, but not specifically capture/retention.",medium,No,"Discusses use of technologies but not for capture/retention explicitly.",medium,"Blockchain; Generative Artificial Intelligence (GAI)","Blockchain; GAI","Distributed, Secure, and Trust Technologies; Artificial Intelligence and Intelligent Computation",medium,"None identified","None identified",medium
d685857a-64fb-4463-962b-a3e805061046,No,"Focuses on predicting chip failure rates, not on knowledge capture/retention.",high,No,"Uses machine learning for prediction, not for capture/retention.",high,"machine literacy (machine learning)","machine learning","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
993ab0a9-3181-4b56-a356-a6d54e3297ab,No,"Focuses on evaluating 3D technologies for medical student learning, not on knowledge capture/retention.",high,No,"Uses VR/AR/MR for learning, not explicitly for capture/retention.",high,"VR; AR; MR","VR; AR; MR","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
b1cff403-b7d0-4fed-9aa9-b3a8df90fa05,No,"Focuses on social interaction among developers and innovation, not on knowledge capture/retention.",high,No,"Uses social network analysis, but not for capture/retention.",high,"GitHub; patent citation data","GitHub; patent citation data","Data, Information, and Knowledge Systems",high,"None identified","None identified",medium
f704bf94-e079-48df-9c3e-8dfc1919a5d3,Yes,"Explicitly discusses knowledge retention and lessons learned through a centralized database for continuous improvement in OHS.",high,Yes,"Uses BIM, PtD, and a centralized database to retain knowledge and enable information exchange.",high,"Building Information Modelling (BIM); Prevention through Design (PtD); centralized database","BIM; PtD; centralized database","Data, Information, and Knowledge Systems; Human–Computer Interaction and Immersive Technologies",high,"lessons learned; tacit knowledge from previous projects?","None identified","medium"
9b91e132-f4bf-4bba-8dee-9d63d9655ac2,No,"Focuses on AR for museum exhibitions to enhance knowledge acquisition, but not capture/retention from individuals.",medium,Yes,"Uses AR system for knowledge acquisition, but not explicit capture/retention.",medium,"visual-inertial guidance system; SLAM; SIFT; mixed reality tour guide system","visual-inertial guidance; SLAM; SIFT; mixed reality","Human–Computer Interaction and Immersive Technologies",medium,"None identified","None identified",medium
5f6ce6cc-226e-42da-be56-b34d57063946,No,"Focuses on AI-enhanced early warning systems for disasters, not on knowledge capture/retention.",high,No,"Uses AI and WSNs for detection, not for capture/retention.",high,"wireless sensor networks (WSNs); AI","WSNs; AI","Cyber-Physical Systems, IoT, and Smart Environments; Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
f4184b18-d95e-42db-881e-ee3242b3652a,Yes,"Explicitly discusses preserving critical knowledge amidst employee turnover and enhancing knowledge sharing.",high,Yes,"Uses design thinking as a methodology, but not a digital technology; no digital tech explicitly mentioned for capture/retention.",medium,"None identified","None identified","None identified",high,"tacit knowledge; employee know-how?","experiential know-how; procedural know-how",medium
0e048977-367b-4b79-8876-2c0d0b779f6e,No,"Focuses on classifying date fruits via mobile app and knowledge retention via mini-game, but not capture from individuals.",medium,Yes,"Uses mobile app for classification and mini-game for knowledge retention; not capture.",medium,"transfer learning; mobile application","transfer learning; mobile app","Artificial Intelligence and Intelligent Computation; Mobile, Social, and Communication Technologies",medium,"None identified","None identified",medium
344f637a-31bf-4437-aecc-10f0a99d9d50,No,"Focuses on healthcare privacy and disease forecasting, not on knowledge capture/retention.",high,No,"Uses federated learning, blockchain, etc., but not for capture/retention.",high,"blockchain; federated learning; deep extreme machine learning","blockchain; federated learning; deep extreme machine learning","Distributed, Secure, and Trust Technologies; Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
7c71685d-e0a0-43df-bbf7-f8d175f22629,No,"Focuses on course recommendation system, not on knowledge capture/retention.",high,No,"Uses recommendation algorithms, but not for capture/retention.",high,"content-based; collaborative filtering; hybrid; deep learning","recommendation algorithms","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
95dd039f-ebb0-429f-bba2-3b7725186ec2,No,"Focuses on enhancing academic performance and knowledge retention through active learning, but not capture from individuals.",medium,No,"Uses learning management system for tracking grades, but not for capture/retention.",medium,"learning management system","LMS","Data, Information, and Knowledge Systems",medium,"None identified","None identified",medium
46ff2c81-b87e-4b68-b33a-78a8c487d199,No,"Focuses on evaluating virtual environments for learning, not on capture/retention.",high,No,"Uses virtual environments, but not for capture/retention.",high,"360° tours; virtual environments","360° tours; virtual environments","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
e16fb108-5cef-4ce7-b3b3-75e7e8e7db53,No,"Focuses on AR learning strategies for knowledge retention, but not capture from individuals.",medium,No,"Uses AR for learning, not explicitly for capture/retention.",medium,"AR; fuzzy weights","AR; fuzzy weights","Human–Computer Interaction and Immersive Technologies",medium,"None identified","None identified",medium
811df9f8-a283-4e97-8ef9-56160ff581d7,No,"Focuses on detecting nitrite-nitrogen concentration, not on knowledge capture/retention.",high,No,"Uses machine learning for detection, not for capture/retention.",high,"stacked extreme learning machine; information entropy weighting","stacked extreme learning machine","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
8d3165d6-2adb-41c6-a80c-ccd3a45459cf,No,"Focuses on enhancing medical training via VR storyboard for knowledge retention, but not capture from individuals.",medium,No,"Uses VR storyboard for training, not explicit capture/retention.",medium,"VR storyboard","VR storyboard","Human–Computer Interaction and Immersive Technologies",medium,"None identified","None identified",medium
49c5f149-312d-4b9e-8f4d-a81f5e0065a2,No,"Focuses on situational awareness and distributed learning for robotic team, not on knowledge capture/retention.",high,No,"Uses distributed machine learning, but not for capture/retention.",high,"distributed machine learning; LiDar; video images","distributed machine learning; LiDar; video images","Artificial Intelligence and Intelligent Computation; Imaging, Sensing, and Perception Technologies",high,"None identified","None identified",medium
eff06c28-5dfb-44dc-8640-8759b18c9f5f,No,"Focuses on predicting porosity of dried foods, not on knowledge capture/retention.",high,No,"Uses AI techniques for prediction, not for capture/retention.",high,"extreme learning machine (ELM); support vector machine (SVM); evolutionary polynomial regression (EPR)","ELM; SVM; EPR","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
79ef07c6-5044-4c92-9877-43597e9f0f01,No,"Focuses on named entity recognition in education domain, not on knowledge capture/retention.",high,No,"Uses deep learning for NER, not for capture/retention.",high,"BERT; multihead attention; CRF","BERT; multihead attention; CRF","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
2413446f-2c99-44ae-bf04-61725372f61d,No,"Focuses on understanding acceptance of ChatGPT for knowledge enhancement, not capture/retention from individuals.",medium,No,"Uses ChatGPT for knowledge enhancement, but not explicit capture/retention.",medium,"ChatGPT","ChatGPT","Artificial Intelligence and Intelligent Computation",medium,"None identified","None identified",medium
e7f1f2a8-9249-4a1c-919a-f4ede265c593,No,"Focuses on frost image recognition, not on knowledge capture/retention.",high,No,"Uses image recognition technology, not for capture/retention.",high,"gray-level co-occurrence matrix; multi-layer extreme learning machine (GLCM-ML-EML)","GLCM-ML-EML","Imaging, Sensing, and Perception Technologies",high,"None identified","None identified",medium
91322bac-32b2-4e17-8c8b-555db0bf15fd,No,"Focuses on quantitative analysis of steel using LIBS, not on knowledge capture/retention.",high,No,"Uses machine learning models, not for capture/retention.",high,"PLSR; SVR; ELM; PCA","PLSR; SVR; ELM; PCA","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
75027bb3-8221-42ec-9143-30f30e86f019,No,"Focuses on automatic monitoring and control systems, not on knowledge capture/retention.",high,No,"Uses ELM and PID for control, not for capture/retention.",high,"extreme learning machine (ELM); PID","ELM; PID","Cyber-Physical Systems, IoT, and Smart Environments",high,"None identified","None identified",medium
44efcc13-a61e-443c-b7d1-0365f78ee5f1,No,"Focuses on AR in learning from cognitive load perspective, not on capture/retention.",high,No,"Uses AR for learning, not for capture/retention.",high,"Augmented Reality (AR)","AR","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
0d33ac7b-f741-46dd-9890-ee674d33e07c,No,"Focuses on AR/3D for anatomy education, not on capture/retention.",high,No,"Uses screen-based AR and 3D visualization, not for capture/retention.",high,"screen-based AR; 3D visualization","screen-based AR; 3D visualization","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
f5def151-2075-4329-992f-e8dce2fb92de,No,"Focuses on intelligent party building education, mentions knowledge retention but not capture.",medium,No,"Uses digital education techniques, but not for capture/retention explicitly.",medium,"digital education techniques","digital education techniques","Data, Information, and Knowledge Systems",medium,"None identified","None identified",medium
8fac058c-88b8-407b-a562-cb63d6721e54,No,"Scoping review on VR in nursing education; discusses knowledge acquisition but not capture/retention from individuals.",high,No,"Reviews VR use in education, not for capture/retention.",high,"virtual reality (VR)","VR","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
934a6c99-2fac-4d72-aff8-9819274bcd79,No,"Focuses on explainable AI using RDR, not on knowledge capture/retention.",high,No,"Uses RDR for imitation model, not for capture/retention.",high,"Ripple Down Rules (RDR)","RDR","Rule-Based, Decision, and Expert Systems",high,"None identified","None identified",medium
07d7a6fd-aa81-4d78-878c-1b6652459425,No,"Focuses on AI assistant for university information, not on knowledge capture/retention.",high,No,"Uses LLM and RAG, but for information retrieval, not capture/retention from people.",high,"Large Language Models (LLMs); Retrieval-Augmented Generation (RAG); LangChain; Mistral-7B; Chat GPT 3.5","LLM; RAG; LangChain; Mistral-7B; ChatGPT","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
11dddbf4-2734-41e0-bd0c-96c99c87c37f,No,"Focuses on enhancing BIM competencies via PBL, not on knowledge capture/retention.",high,No,"Uses problem-based learning, not digital technology for capture/retention.",high,"None identified","None identified","None identified",high,"None identified","None identified",medium
6a1287d9-d59c-4d7d-81cb-19ecab28eb3d,No,"Focuses on VR science product for knowledge acquisition, not capture/retention.",high,No,"Uses VR for learning, not for capture/retention.",high,"VR","VR","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
3559a9d7-5e5a-4c3d-93f7-930a801bb861,No,"Focuses on assisted and automatic berthing maneuvers, not on knowledge capture/retention.",high,No,"Uses model-based assistance, but not for knowledge capture/retention.",high,"model-based assistance system","model-based assistance system","Cyber-Physical Systems, IoT, and Smart Environments",high,"None identified","None identified",medium
882cf878-bc89-4592-9f0d-67952ebdf266,No,"Focuses on comparing 2D and 360° documentaries for learning, not capture/retention.",high,No,"Uses immersive 360° documentary, not for capture/retention.",high,"2D; immersive 360° documentary","2D; 360° documentary","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
09e31489-eafc-4ca8-9d94-169f3bf8a10e,No,"Focuses on using Siri for pronunciation improvement, not knowledge capture/retention.",high,No,"Uses Siri for coaching, not for capture/retention.",high,"Siri","Siri","Mobile, Social, and Communication Technologies",high,"None identified","None identified",medium
7adf0e61-7281-4fac-8e51-40aae07c769e,No,"Focuses on force estimation in teleoperation, not on knowledge capture/retention.",high,No,"Uses neural network for estimation, not for capture/retention.",high,"Multi-layer Depth Extreme Learning Machine (MDELM); Sooty Tern Optimization Algorithm (STOA)","MDELM; STOA","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
775d75f1-6f5b-4100-b5ad-6efda63b109d,No,"Systematic literature review on VR welding kits for psychomotor skills and knowledge acquisition, not capture/retention.",high,No,"Reviews VR use, not for capture/retention.",high,"VR welding kits","VR welding kits","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
fd7a0c51-1344-4d23-ab43-a50040e95d0c,No,"Focuses on CURE-type course for knowledge retention, but not capture from individuals.",medium,No,"Uses pilot-scale equipment, not digital technology for capture/retention.",medium,"None identified","None identified","None identified",high,"None identified","None identified",medium
fd958225-45f7-48ff-a984-2fe29b80f382,No,"Focuses on impact of online education on academic performance, not knowledge capture/retention.",high,No,"Uses online education platforms, but not for capture/retention.",high,"online education","online education","Data, Information, and Knowledge Systems",high,"None identified","None identified",medium
7137535f-25c0-4d6d-91a3-076f3c7e6ccf,No,"Scoping review protocol on VR in medical education; discusses knowledge acquisition but not capture/retention.",high,No,"Reviews VR use, not for capture/retention.",high,"virtual reality (VR)","VR","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
ea01b243-de91-4173-92db-c67cf7b34483,No,"Focuses on combining 4E cognition and VR for tacit knowledge acquisition, but not capture/retention from individuals.",medium,No,"Uses VR for learning, not for capture/retention.",medium,"VR","VR","Human–Computer Interaction and Immersive Technologies",medium,"tacit knowledge acquisition","experiential know-how; procedural know-how",medium
a8244cdd-259e-4aac-8800-15f5fab4a030,No,"Focuses on ChatGPT-enabled author connectivity, not on knowledge capture/retention.",high,No,"Uses NLP technologies for literature analysis, not for capture/retention.",high,"ChatGPT; BERT; Knowledge Graphs","ChatGPT; BERT; knowledge graphs","Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems",high,"None identified","None identified",medium
800d59da-330a-4a8c-9767-1ecab0277c51,No,"Focuses on process-level learning outcomes, not on knowledge capture/retention.",high,No,"No digital technology mentioned for capture/retention.",high,"None identified","None identified","None identified",high,"None identified","None identified",medium
a2d26331-43ee-4f57-bff2-a0c2c3bfedd7,No,"Focuses on grapevine leaf classification, not on knowledge capture/retention.",high,No,"Uses deep learning for classification, not for capture/retention.",high,"MobileNetV3Large; transfer learning","MobileNetV3Large; transfer learning","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
b9c652fa-4f91-46a9-ba75-59ebf8dff11b,No,"Focuses on VR for reducing foreign language speaking anxiety, not knowledge capture/retention.",high,No,"Uses VR for learning, not for capture/retention.",high,"high-immersion virtual reality (HiVR)","HiVR","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
5d88cf4e-faed-45ff-a8e9-726989c3c083,No,"Focuses on virtual whiteboard using hand gestures for engagement, mentions knowledge retention but not capture.",medium,Yes,"Uses computer vision for gesture recognition, but not explicitly for capture/retention.",medium,"computer vision; hand gesture recognition","computer vision; hand gesture recognition","Human–Computer Interaction and Immersive Technologies",medium,"None identified","None identified",medium
adbc081e-c41d-4606-b409-9a247de17839,No,"Focuses on network guidance system for education, not on knowledge capture/retention.",high,No,"Uses J2EE architecture, but not for capture/retention.",high,"J2EE","J2EE","Distributed, Secure, and Trust Technologies",high,"None identified","None identified",medium
c16c286e-b672-42aa-acb5-5e4776d74544,No,"Focuses on blockchain usage in accounting, mentions knowledge acquisition as outcome, but not capture/retention from individuals.",medium,No,"Uses blockchain, but not for knowledge capture/retention.",medium,"Blockchain","Blockchain","Distributed, Secure, and Trust Technologies",medium,"None identified","None identified",medium
67a513b8-239d-4c6d-a89a-5878dec334b1,Yes,"Explicitly discusses knowledge sharing, minimizing learning curve, and lessons learned via a digital system.",high,Yes,"Uses cloud-edge integration and a digital execution engine to capture and share best practices.",high,"cloud-edge integration; rig execution engine; digital well program; Driller's Roadmap","cloud-edge integration; rig execution engine","Distributed, Secure, and Trust Technologies; Cyber-Physical Systems, IoT, and Smart Environments",high,"best practices; lessons learned; operational knowledge","procedural know-how; operational know-how",high
11d686ba-f2f4-45ca-94bc-7e0102266a8c,No,"Focuses on optical extreme learning machine, not on knowledge capture/retention.",high,No,"Uses optical ELM, but not for capture/retention.",high,"optical extreme learning machine","optical ELM","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
5f62d060-8dc2-44ae-b9ab-54e6d5dee08c,No,"Focuses on virtual quiz using hand gestures, mentions knowledge retention but not capture.",medium,Yes,"Uses computer vision for gesture recognition, but not for capture/retention.",medium,"computer vision; hand gestures","computer vision; hand gestures","Human–Computer Interaction and Immersive Technologies",medium,"None identified","None identified",medium
9d0c48cc-daf9-4d08-95ed-7b6af838b9e2,No,"Focuses on sustainability and responsibility in engineering education, not on knowledge capture/retention.",high,No,"No digital technology mentioned.",high,"None identified","None identified","None identified",high,"None identified","None identified",medium
c086cd25-d43d-49e5-89b8-990e2d7ee7ac,No,"Focuses on knowledge graphs and large language models, not on capture/retention from individuals.",high,No,"Uses knowledge graphs and LLMs for knowledge modeling, not capture/retention.",high,"large language models; knowledge graphs","LLM; knowledge graphs","Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
2480898c-e965-46e3-9bd0-4d8718be4743,No,"Focuses on service innovation performance via knowledge acquisition, but not capture/retention from individuals.",medium,No,"No digital technology mentioned.",high,"None identified","None identified","None identified",high,"None identified","None identified",medium
9beea6a2-4d25-4083-afa0-ec10fd36101f,No,"Focuses on intelligent information search system, not on knowledge capture/retention.",high,No,"Uses big data analysis and knowledge graphs, but not for capture/retention.",high,"big data analysis; natural language processing; knowledge graphs","big data analysis; NLP; knowledge graphs","Data, Information, and Knowledge Systems",high,"None identified","None identified",medium
65a23269-bc90-409b-9697-dfd52074f497,No,"Focuses on digital games for active ageing, mentions knowledge acquisition but not capture/retention.",medium,No,"Uses digital games, but not for capture/retention.",medium,"digital games","digital games","Human–Computer Interaction and Immersive Technologies",medium,"None identified","None identified",medium
3f966b4b-3cce-4bd1-aa37-6f4cafcc8ae2,No,"Focuses on safety performance and knowledge acquisition, but not on capture/retention from individuals.",medium,No,"Uses fuzzy sets and BWM for analysis, but not for capture/retention.",medium,"Interval-Valued Spherical Fuzzy Sets (IVSFS); Best Worst Method","IVSFS; BWM","Rule-Based, Decision, and Expert Systems",medium,"None identified","None identified",medium
bf2cf714-a587-4320-9dd3-615c592519d3,No,"Focuses on mammography image classification, not on knowledge capture/retention.",high,No,"Uses deep learning and ELM, but not for capture/retention.",high,"CNN; SVM; ELM; AlexNet","CNN; SVM; ELM; AlexNet","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
e3e1e7f8-3f77-4142-8d6d-83ea3ffe4634,No,"Focuses on spatial knowledge acquisition via AR glasses, but not capture/retention from individuals.",medium,Yes,"Uses AR glasses and smartphones for navigation, not explicit capture/retention.",medium,"smartphones; AR glasses","smartphones; AR glasses","Mobile, Social, and Communication Technologies; Human–Computer Interaction and Immersive Technologies",medium,"None identified","None identified",medium
e6d1431e-c84d-40cd-a029-be108af040ea,No,"Focuses on knowledge-based city logistics, mentions knowledge acquisition, but not capture/retention.",medium,No,"No digital technology explicitly for capture/retention.",medium,"None identified","None identified","None identified",high,"None identified","None identified",medium
fda9144f-92d3-402f-8b1d-ba1096366ba3,No,"Focuses on hyperspectral inversion of salt ions, not on knowledge capture/retention.",high,No,"Uses machine learning for inversion, not for capture/retention.",high,"hyperspectral technology; PLSR; SVR; ELM","hyperspectral; PLSR; SVR; ELM","Imaging, Sensing, and Perception Technologies; Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
c8a336ea-fe78-43f7-8cd1-293ed6e7d3dd,Yes,"Discusses knowledge of physical abilities and skills using wearable sensors to capture worker data for work assistance.",high,Yes,"Uses wearable sensors to capture physical workload and ability data for knowledge acquisition.",high,"wearable sensors","wearable sensors","Imaging, Sensing, and Perception Technologies",high,"physical abilities; skills; work content; physical burden","experiential know-how; operational know-how",high
d4c35ddb-9a06-49a6-974c-e4a2e497dbc3,No,"Focuses on smart technologies for heritage interpretation, not on knowledge capture/retention.",high,No,"Uses mobile apps, AR, VR, interactive displays for interpretation, not capture/retention.",high,"mobile applications; AR; VR; interactive displays","mobile apps; AR; VR; interactive displays","Human–Computer Interaction and Immersive Technologies; Mobile, Social, and Communication Technologies",high,"None identified","None identified",medium
97d1d2b6-582c-4670-bb25-c747102d1c2b,Yes,"Explicitly discusses knowledge encapsulation and reuse based on domain knowledge graph for product design.",high,Yes,"Uses domain knowledge graph and label clustering for knowledge reuse and recommendation.",high,"domain knowledge graph; label clustering; intelligent information recommendation","knowledge graph; label clustering; recommendation","Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",high,"professional knowledge; design knowledge","experiential know-how; procedural know-how",high
7fc5e31b-49da-47bb-8a84-7de43dd6a0fa,No,"Focuses on ECG-based user identification using ELM, not on knowledge capture/retention.",high,No,"Uses ELM for identification, not for capture/retention.",high,"S-QRD-ELM","S-QRD-ELM","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
67dc8b99-14ce-4cbb-be8f-53331b0f1d9c,No,"Focuses on interference signal identification, not on knowledge capture/retention.",high,No,"Uses ELM for identification, not for capture/retention.",high,"Extreme Learning Machine (ELM)","ELM","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
1f50ead7-0f13-494f-b207-1694ed477037,No,"Focuses on vibration prediction of pipeline robot, not on knowledge capture/retention.",high,No,"Uses machine learning for prediction, not for capture/retention.",high,"kernel extreme learning machine (KELM); improved seagull algorithm (ISA)","KELM; ISA","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
e23ce62e-8121-4c09-a2e6-84385ed90ea3,No,"Focuses on web-based learning environment and knowledge exchange, but not on capture/retention from individuals.",medium,No,"Uses web-based learning environment and social software, but not explicitly for capture/retention.",medium,"web-based learning environment; social software","web-based learning environment; social software","Data, Information, and Knowledge Systems; Mobile, Social, and Communication Technologies",medium,"None identified","None identified",medium
db5803a2-90e1-4750-9c3a-73b1f4a33ff0,No,"Focuses on microlearning for knowledge and skills acquisition, not capture/retention from individuals.",medium,No,"Uses multimedia design, but not digital technology for capture/retention.",medium,"None identified","None identified","None identified",high,"None identified","None identified",medium
2b38ae40-7c96-4d1c-a3be-6f25fcbe9f64,No,"Focuses on multi-task ELM for palm vein classification, not on knowledge capture/retention.",high,No,"Uses ELM for classification, not for capture/retention.",high,"multi-task extreme learning machine (ELM)","multi-task ELM","Artificial Intelligence and Intelligent Computation",high,"None identified","None identified",medium
bfccf5b7-93b8-42cc-877e-24939d572592,Yes,"Explicitly discusses need for intelligent KMS to support knowledge sharing, creation, transfer, especially for young consultants.",high,Yes,"Proposes intelligent KMS with AI technologies (traditional and generative) to fulfill knowledge management needs.",high,"intelligent KMS; AI technologies; Traditional and Generative AI","intelligent KMS; AI","Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",high,"knowledge from experienced consultants","experiential know-how; procedural know-how",high
66dafb3d-afc0-4d43-90de-d7394a324fc4,No,"Focuses on robot-based digital storytelling for language learning, not on capture/retention.",high,No,"Uses robot and digital storytelling, but not for capture/retention.",high,"robot-based DST; animation-based DST","robot-based DST","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
7c1ab19f-1b17-42a1-9ab6-20cd2563462f,No,"Focuses on knowledge graph for database case library, but not on capture/retention from individuals.",medium,No,"Uses knowledge graph, but for case library construction, not explicit capture/retention.",medium,"knowledge graph","knowledge graph","Data, Information, and Knowledge Systems",medium,"None identified","None identified",medium
a1013785-c0b0-47b9-97e0-577d60350ee2,Yes,"Explicitly discusses knowledge acquisition and preservation in production systems using AHP-PIE methodology.",high,No,"No digital technology mentioned; uses analytic hierarchy process for selection.",medium,"None identified","None identified","None identified",high,"tacit and explicit knowledge","experiential know-how; procedural know-how",high
56c62cdd-1531-4f27-8680-9d44f3894c82,No,"Focuses on AR for science learning, not on knowledge capture/retention.",high,No,"Uses AR for learning, not for capture/retention.",high,"mobile augmented reality (AR)","mobile AR","Human–Computer Interaction and Immersive Technologies",high,"None identified","None identified",medium
7b49faf0-d241-4f5e-8ee4-fdcfa5cc2954,No,"Focuses on online health communities and information representation, mentions knowledge acquisition but not capture/retention.",medium,No,"Uses online health communities, but not for capture/retention.",medium,"online health communities","online health communities","Mobile, Social, and Communication Technologies",medium,"None identified","None identified",medium
fdb607b4-7c24-4771-b993-a61d701561b8,No,"Focuses on green knowledge management and technology innovation, not on capture/retention from individuals.",high,No,"No digital technology explicitly mentioned.",high,"None identified","None identified","None identified",high,"None identified","None identified",medium
299eec32-2664-4dc3-a9d2-ee021061a849,No,"Focuses on nudges in technology-mediated knowledge transfer, but not on capture/retention.",medium,No,"Uses technology-mediated learning, but not for capture/retention.",medium,"None identified","None identified","None identified",high,"None identified","None identified",medium
