uuid,knowledge_capture_retention_discussed,knowledge_capture_retention_reasoning,knowledge_capture_retention_confidence,digital_technology_used_for_capture_retention,digital_technology_reasoning,digital_technology_confidence,technology_source_mentions,technology_normalized,technology_acm_class,technology_confidence,tacit_knowledge_source_mentions,tacit_knowledge_class,tacit_knowledge_confidence
af6521fb-a6ea-446e-9324-7177b6bdc9c9,Yes,"The study examines the serial mediation of knowledge acquisition and exploration practices between technology capabilities and firm innovation, discussing the acquisition of knowledge.",high,No,"The study focuses on technology capabilities (a broad resource) as an antecedent, but the specific digital technologies used for knowledge acquisition are not detailed.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
4abc45f7-1e2f-4faf-a118-e03428d725be,No,"The study examines the relation between technology adoption and knowledge acquisition as an outcome, but does not discuss methods to capture or retain knowledge.",high,No,"The study examines technology adoption broadly, but not a specific technology used for capturing or retaining knowledge.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
3072451e-9318-48c8-b4ea-43c3dada0dfb,Yes,"The study identifies motivational factors effective for knowledge acquisition, which is a process of capturing knowledge from knowledge workers.",high,Yes,"The study identifies Information Technology as a factor influencing knowledge acquisition.",high,"Information Technology (IT)","Information Technology","Data, Information, and Knowledge Systems",high,None identified,None identified,None identified
5c3d1ea8-6f7b-4d6e-aa29-1563610a8b7d,No,"The meta-analysis examines the impact of human-machine collaborative learning in EVEs on knowledge retention as an outcome, not on methods to capture or retain it.",high,No,"The study examines EVEs (VR, AR, MR) as learning environments, not as tools to capture or retain knowledge.",high,"Educational virtual environments (EVEs); Virtual reality (VR); Augmented reality (AR); Mixed reality (MR)","Educational virtual environments; Virtual Reality; Augmented Reality; Mixed Reality","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
e8c69f77-8c0a-4a31-b6b3-18cf9e708d77,Yes,"The study compares the influence of access to ICT infrastructure and knowledge acquisition for sustainable practices on the adoption of sustainable agricultural innovation, treating knowledge acquisition as a key factor.",high,Yes,"The study explicitly identifies Access to ICT Infrastructure as a key factor influencing knowledge acquisition.",high,"ICT (Information and Communication Technology) infrastructure","ICT infrastructure","Mobile, Social, and Communication Technologies",high,None identified,None identified,None identified
7b33cebe-5584-482e-859d-394232f8c381,Yes,"The study examines the mediating function of green knowledge acquisition between leadership support and green innovation, explicitly discussing the acquisition of knowledge.",high,No,"The study focuses on green knowledge acquisition as a process, but does not specify digital technologies used for it.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
411b446e-54b0-4924-a567-b40f81389a8e,Yes,"The study investigates how knowledge acquisition and sharing abilities influence company performance, explicitly discussing the process of acquiring knowledge.",high,No,"The study focuses on AI firms and knowledge capabilities, but does not specify digital technologies used for knowledge acquisition.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
200b9fda-cbd6-41fe-bc94-9e6ff501014d,Yes,"The study finds that corporate venturing positively affects knowledge acquisition, explicitly discussing the process of acquiring knowledge.",high,No,"The study investigates corporate venturing and its effect on knowledge acquisition, but does not focus on digital technologies.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
bb615280-af68-4f5c-af54-529230d11387,Yes,"The study examines how students' adoption of AI is associated with knowledge acquisition and application, explicitly discussing the acquisition of knowledge.",high,Yes,"The study explicitly examines the use of Gen AI as a tool for knowledge acquisition.",high,"Generative AI (Gen AI)","Generative AI","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
25a24397-aea7-44bb-97e9-fc530751726e,Yes,"The study proposes a chain mediation model of how external knowledge acquisition contributes to innovation performance, explicitly discussing the acquisition of knowledge.",high,No,"The study focuses on the process of external knowledge acquisition, but does not specify digital technologies used for it.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
175bdc65-1af1-463a-b009-b4fb9659138a,No,"The study compares IVR and paper-based methods for knowledge acquisition and retention outcomes, but does not discuss methods to capture or retain knowledge.",high,No,"IVR is used as a learning method, not as a tool to capture or retain knowledge.",high,"Immersive Virtual Reality (IVR)","Immersive Virtual Reality","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
9dc90d4f-5f0f-40f2-a980-94105946fc9b,No,"The study examines the impact of tablet-student ratios and external scripts on knowledge acquisition and cognitive load, but does not discuss capturing or retaining knowledge.",high,No,"Tablets are the technology used in the collaborative inquiry learning, not as a tool for knowledge capture or retention.",high,"Tablets; Virtual manipulatives","Tablets; Virtual manipulatives","Mobile, Social, and Communication Technologies; Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
e5293464-5542-496a-a484-b5193f15d57f,Yes,"The study investigates the impact of AI-generated instructional content on information retention, which is a form of knowledge retention.",high,Yes,"The study explicitly examines AI-generated instructional content on educational platforms as a tool for enhancing knowledge retention.",high,"AI-generated instructional content; AI-based platforms; AI-generated information","AI-generated instructional content; AI platforms; AI-generated information","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
40984d6c-175c-4057-a358-06fa2a8e3c65,No,"The study assesses the effect of gamified quiz elements on knowledge acquisition and other outcomes, but does not discuss methods to capture or retain knowledge.",high,No,"Gamified quizzes are the digital intervention, but the focus is on their effect on learning outcomes, not on using them to capture or retain knowledge.",high,Gamified quizzes,Gamified quizzes,Human–Computer Interaction and Immersive Technologies,high,None identified,None identified,None identified
4c563768-f05a-4b5d-8a8a-4864e4bbbd4e,No,"The study compares digital and non-digital games on math knowledge acquisition and retention, but does not discuss methods to capture or retain knowledge.",high,No,"Digital games are used as a learning intervention, not as a tool for knowledge capture or retention.",high,"Digital games; Non-digital games","Digital games; Non-digital games","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
979845ea-05b0-40e0-b02d-afeb0f745840,No,"The study compares VR-based instruction with conventional methods on immediate knowledge retention, but does not discuss methods to capture or retain knowledge.",high,No,"VR is used as the instructional method, not as a tool for knowledge capture or retention.",high,"Immersive VR simulation","Immersive VR simulation","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
44364bcf-1e18-471f-9004-80ea435b828b,No,"The study evaluates nursing students' knowledge retention and learning styles, but does not discuss methods to capture or retain knowledge.",high,No,"No specific digital technology for capture/retention is mentioned; the study is a cross-sectional survey.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
368caccb-7924-4d6e-b292-ec61521aab00,Yes,"The study explores impacts of knowledge loss (tacit and explicit) on innovation efficacy, directly discussing knowledge loss and its management.",high,No,"The study examines knowledge loss conceptually and does not specify digital technologies for managing it.",high,None identified,None identified,None identified,high,"Tacit and explicit knowledge loss","experiential know-how; procedural know-how",high
b7dc6c51-566e-475c-bceb-f67b8cbe0a95,Yes,"The study examines how national innovation policies can increase the effectiveness of knowledge acquisition in international alliances, explicitly discussing the acquisition of knowledge.",high,No,"The study focuses on policy factors, not on digital technologies for knowledge acquisition.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
99416445-cd07-46fc-b6bc-8eeb4fe25474,No,"The study examines the effects of LLM chatbot and critical thinking guidance on declarative and procedural knowledge acquisition, but does not discuss methods to capture or retain knowledge.",high,No,"The LLM chatbot is used as a learning tool, not as a method to capture or retain knowledge.",high,"Large language model (LLM) chatbot","Large language model chatbot","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
1f192a3a-80be-431c-86e1-c34e95daa29a,Yes,"The study examines the relationship between knowledge management processes (including knowledge acquisition) and innovation, explicitly discussing the acquisition of knowledge.",high,No,"The study focuses on knowledge management processes broadly, not specifying digital technologies used.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
ca9f7112-24bc-42e9-bed8-9255c4c1b57e,No,"The study evaluates the effects of Gen-AI on learning performance, including knowledge acquisition as an outcome, but does not discuss methods to capture or retain knowledge.",high,No,"Gen-AI is the technology under study, but it is treated as an independent variable affecting outcomes, not as a tool for knowledge capture/retention.",high,"Generative artificial intelligence (Gen-AI)","Generative AI","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
162b08d2-2f77-42ea-97ce-248ec09ac6ce,Yes,"The study investigates learner characteristics and motivations that drive optimal knowledge acquisition among maple syrup producers, explicitly discussing the acquisition of knowledge.",high,No,"The study uses regression models to analyze survey data, but the knowledge acquisition process itself is not mediated by digital technology.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
6bc44f94-c990-4e9c-9822-ecd2d086e0e5,No,"The study proposes a knowledge tracing model (AEKT) to model knowledge mastery and acquisition, but it is for assessment/prediction, not for capturing or retaining knowledge.",high,No,"The AEKT model is a computational/AI model for knowledge tracing (assessment), not a tool to capture or retain knowledge.",high,"Ability-Enhanced Knowledge Tracing (AEKT) model; Long Short-Term Memory (LSTM)","AEKT; LSTM","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
d27e7fb7-896c-4f08-b1af-9d4d27773207,No,"The study compares knowledge retention across AR, paper, and video training modalities, but does not discuss methods to capture or retain knowledge.",high,No,"AR is used as a training modality, not as a tool for knowledge capture or retention.",high,"Mobile augmented reality (AR)","Mobile Augmented Reality","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
8ef53e22-6b64-4e94-9d0e-d5cd213b87d0,No,"The study evaluates gamification (Kahoot) on engagement, motivation, and knowledge retention, but does not discuss methods to capture or retain knowledge.",high,No,"Kahoot-based gamification is the intervention, used to enhance outcomes, not explicitly to capture or retain knowledge.",high,"Kahoot-based gamification","Kahoot gamification","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
4a14d97e-89c8-4cf3-bd84-64c29db3b0f5,No,"The study investigates mechanisms of XR on knowledge retention and skill development, but does not discuss methods to capture or retain knowledge.",high,No,"XR is the technology being studied for its effect on outcomes, not as a tool to capture or retain knowledge.",high,"Extended reality (XR)","Extended Reality","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
8714163c-7833-4108-b6c5-22005677ebf8,No,"The study examines the effect of hybrid intelligence (AI, LA) on knowledge acquisition, but does not discuss methods to capture or retain knowledge.",high,No,"AI and LA are used as scaffolding systems to support inquiry, not explicitly to capture or retain knowledge.",high,"Learning analytics (LA); Artificial intelligence (AI)","Learning Analytics; Artificial Intelligence","Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
52daa792-8b0a-4572-8b4f-c301d1816a75,No,"The study evaluates a flipped classroom with an AR escape room for knowledge acquisition, but does not discuss methods to capture or retain knowledge.",high,No,"The AR escape room is the educational activity, not a tool for knowledge capture or retention.",high,"Mobile-driven augmented reality (AR) escape room","Mobile Augmented Reality escape room","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
336d8fb0-615c-470c-80b0-06ff802332a3,Yes,"The study examines how social capital facilitates external knowledge acquisition among NPD teams, explicitly discussing the acquisition of knowledge.",high,No,"The study focuses on social capital, not digital technologies, as the enabler of knowledge acquisition.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
26258bf1-7aea-4e97-9a57-9e24aaaf7855,No,"The study examines the effect of interaction types with AIGC on willingness to share health rumors in knowledge acquisition scenarios, but does not discuss capturing or retaining knowledge.",high,No,"AIGC chatbots are the context, but the focus is on rumor sharing, not on using the technology to capture or retain knowledge.",high,"AI-generated content (AIGC); Generative chatbots","AIGC; Generative chatbots","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
d26a696a-3c6f-4dbf-9332-f213661a87b3,Yes,"The study explores factors influencing digital transformation in SMEs, including knowledge acquisition, explicitly discussing the acquisition of knowledge.",high,No,"The study examines knowledge acquisition as a factor, but does not specify the digital technologies used for it.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
7c08262d-cb84-4e19-814e-e8329b2d4252,No,"The study compares smartphones and AR glasses for their effect on spatial knowledge acquisition during navigation, but does not discuss methods to capture or retain knowledge.",high,No,"AR glasses and smartphones are used as navigation interfaces, not as tools for knowledge capture or retention.",high,"Smartphones; Augmented reality (AR) glasses","Smartphones; AR glasses","Mobile, Social, and Communication Technologies; Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
686c26f1-af93-4627-aa41-ed090bae355b,Yes,"The paper is a critical literature review on knowledge acquisition in international joint ventures, explicitly discussing the acquisition of knowledge.",high,No,"The review focuses on factors for knowledge acquisition, not on digital technologies.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
381ad4eb-f479-4688-a15e-60c969780e67,No,"The systematic review examines the impact of VR welding kits on knowledge acquisition and psychomotor skills, but does not discuss methods to capture or retain knowledge.",high,No,"VR welding kits are the technology under review, used as a training tool, not for capturing/retaining knowledge.",high,"VR welding kits","VR welding kits","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
ea86c3a9-d35b-42f8-a03c-a75d914f90b6,Yes,"The study evaluates the perceived usefulness of AI in key KMPs including knowledge acquisition, documentation, and application, explicitly discussing the acquisition of knowledge.",high,Yes,"The study explicitly examines AI technologies as tools to enhance knowledge management processes, including acquisition and documentation (capture).",high,"AI technologies","AI technologies","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
dd79cdaa-1a16-4aa7-ab9b-a58444bfbd9b,Yes,"The paper discusses how ChatGPT facilitates research collaboration and streamlines literature reviews, which can be seen as assisting in knowledge acquisition and dissemination.",high,Yes,"The paper explicitly discusses ChatGPT as an AI tool for knowledge acquisition and dissemination.",high,ChatGPT,ChatGPT,Artificial Intelligence and Intelligent Computation,high,None identified,None identified,None identified
38c25db3-ac40-42a5-9632-425c957da187,No,"The study compares AR and video-based fire safety training on knowledge acquisition and retention, but does not discuss methods to capture or retain knowledge.",high,No,"AR is used as a training delivery method, not as a tool for knowledge capture or retention.",high,"Augmented Reality (AR) technology","Augmented Reality","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
fb0fe9d1-8d21-492b-a13e-a9528d09122d,No,"The study examines the impact of perceived intelligence and knowledge acquisition on technology use, but does not discuss methods to capture or retain knowledge.",high,No,"Generative AI technologies (ChatGPT) are the subject of study, not used as a tool for knowledge capture/retention.",high,"AI technologies like ChatGPT","AI technologies; ChatGPT","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
1a1c0c0c-61fc-40d9-9ef0-3b4640474d65,No,"The study assesses the efficacy of an AR system for facilitating knowledge acquisition, but does not discuss methods to capture or retain knowledge.",high,No,"The AR system is used as an instructional tool, not as a method to capture or retain knowledge.",high,"Augmented reality (AR) system","Augmented Reality system","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
58cb8c1d-c78b-494a-aa17-ab69bb043756,Yes,"The review focuses on knowledge acquisition and representation in manufacturing processes, which is central to capturing and structuring knowledge.",high,Yes,"The review discusses the use of advanced intelligent analytics to extract operationally relevant knowledge from datasets, which is a form of knowledge capture.",high,"Advanced intelligent analytics","Advanced intelligent analytics","Artificial Intelligence and Intelligent Computation",high,"Process knowledge","procedural know-how",high
4793f568-adac-48ca-b29a-b14d4feea338,No,"The study examines a gamified digital tool's effect on knowledge retention, but does not discuss methods to capture or retain knowledge.",high,No,"The gamified digital tool is the intervention, used to enhance retention, not explicitly to capture or retain knowledge.",high,"Gamified digital tool","Gamified digital tool","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
f09332de-6821-4f0c-903d-cdbe61639f22,Yes,"The study examines the role of knowledge acquisition channels on the adoption of green agricultural technologies, explicitly discussing the acquisition of knowledge.",high,No,"The study examines channels like radio and government, which are not primarily digital technologies for knowledge capture.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
bd55952b-a4f3-4ddd-b6d9-51a5e722074f,No,"The study introduces a course using 3D modeling and AI for cultural heritage education, improving knowledge acquisition, but does not discuss methods to capture or retain knowledge.",high,No,"3D modeling and AI are used as educational tools, not as methods to capture or retain knowledge.",high,"3D modeling; AI-assisted narrative interaction","3D modeling; AI-assisted narrative","Human–Computer Interaction and Immersive Technologies; Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
3f8b30ff-f6c2-451f-89d3-f72729cdbb44,Yes,"The study examines how public R&D support affects external knowledge acquisition, explicitly discussing the acquisition of knowledge.",high,No,"The study focuses on the effect of public funding on cooperation breadth, not on digital technologies for knowledge acquisition.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
24eb11be-5ec0-4a8d-965d-7af3a8d38b58,Yes,"The study explores reverse engineering as a knowledge acquisition strategy, explicitly discussing the acquisition of knowledge.",high,No,"The study focuses on reverse engineering as a strategy, not on digital technologies for knowledge capture.",high,None identified,None identified,None identified,high,"Knowledge of critical components and design features","expert judgment; procedural know-how",high
e4062e31-6808-4cf0-9bb8-20375146fdd8,No,"The study compares 2D and 3D virtual simulation for knowledge acquisition and retention, but does not discuss methods to capture or retain knowledge.",high,No,"Virtual simulation is the intervention, used as a learning method, not a knowledge capture/retention tool.",high,"Two-dimensional virtual simulation; Three-dimensional virtual simulation","2D virtual simulation; 3D virtual simulation","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
2c713c55-5862-4356-acb1-3f00bd94a108,Yes,"The study introduces a method combining image segmentation and generative AI to extract learning insights from handwritten notes, which is a form of capturing knowledge (student knowledge).",high,Yes,"The method explicitly uses image segmentation (Attention Multi-task U-Net) and generative AI (GPT-4o) to extract and analyze knowledge from handwritten notes.",high,"Image segmentation; Generative AI; Attention Multi-task U-Net; GPT-4o","Image segmentation; Generative AI; U-Net; GPT-4o","Imaging, Sensing, and Perception Technologies; Artificial Intelligence and Intelligent Computation",high,"Students' knowledge retention; areas students focus on; critical knowledge points","experiential know-how",high
b1ab1e54-2de7-414d-8c29-f2ab7cc6e01b,No,"The study examines the impact of a pedagogy (CTCA) on knowledge retention, but does not discuss methods to capture or retain knowledge.",high,No,"The pedagogy uses technological elements, but it is an instructional approach, not a specific technology for knowledge capture/retention.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
3eeb160b-51e4-4b8d-afd6-7dd23ac95d1b,No,"The study examines the effects of a Flipped Mobile-Based Microlearning approach on knowledge retention, but does not discuss methods to capture or retain knowledge.",high,No,"Flipped Mobile-Based Microlearning is the pedagogical approach, not a tool for knowledge capture/retention.",high,"Flipped Mobile-Based Microlearning (FMM)","Flipped Mobile-Based Microlearning","Mobile, Social, and Communication Technologies",medium,None identified,None identified,None identified
10edb75d-1297-4380-89b6-3b0d03a92057,No,"The study evaluates a VMAR-based training module for procedural knowledge retention, but does not discuss methods to capture or retain knowledge.",high,No,"AR and VM are used as training technologies, not as tools for knowledge capture or retention.",high,"Augmented Reality (AR); Visual Management (VM)","Augmented Reality; Visual Management","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
d32e384c-8d76-4979-b5d3-013fd93cfbf1,No,"The study compares productive failure and directive instruction in VR safety training for knowledge acquisition and retention, but does not discuss capture/retention methods.",high,No,"VR is the training platform, used to deliver instruction, not to capture/retain knowledge.",high,"Virtual reality (VR)","Virtual Reality","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
5b9a54a8-f52a-4fbf-90ef-d770c7a0994a,No,"The study compares MR and traditional library tours for knowledge acquisition, but does not discuss methods to capture or retain knowledge.",high,No,"MR is used as a tour delivery method, not as a tool for knowledge capture/retention.",high,"Mixed reality (MR); HoloLens 2","Mixed Reality; HoloLens 2","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
3b4a079b-7662-4389-85b9-700be63410f1,Yes,"The study examines knowledge flow mechanisms including knowledge acquisition in a digital platform innovation ecosystem, explicitly discussing knowledge acquisition.",high,Yes,"The study explicitly discusses digital technology (connectivity and scenario empowerment) enabling knowledge acquisition, integration, and spillover.",high,"Digital technology; connectivity empowerment; scenario empowerment","Digital technology; connectivity empowerment; scenario empowerment","Data, Information, and Knowledge Systems; Mobile, Social, and Communication Technologies",high,None identified,None identified,None identified
d66e1b2e-c7b7-4a04-9af5-22f4b4484aab,Yes,"The study explores the mediating roles of knowledge acquisition and skills development between education interventions and tourism transformation, explicitly discussing knowledge acquisition.",high,No,"The study examines education interventions and knowledge acquisition, but does not focus on digital technologies for capture/retention.",high,None identified,None identified,None identified,high,"Knowledge acquisition and skills development","procedural know-how",medium
dbad9f84-4d40-4e6d-9725-0d7ff4e921ad,Yes,"The study develops a digital teaching platform (KG-DTPNursing) to support systematic knowledge acquisition, which is a form of capturing and structuring knowledge for learners.",high,Yes,"The study explicitly develops a knowledge graph-based digital teaching platform to support knowledge acquisition.",high,"Knowledge graph-based digital teaching platform (KG-DTPNursing)","Knowledge graph-based digital teaching platform","Data, Information, and Knowledge Systems",high,None identified,None identified,None identified
8c5e1286-fae3-4f3e-b849-d40451e90b7d,No,"The study compares GIF creation to traditional methods for knowledge acquisition, but does not discuss methods to capture or retain knowledge.",high,No,"Creating GIFs is the activity, but it is used as a learning method, not a tool for knowledge capture/retention.",high,GIFs,GIFs,Imaging, Sensing, and Perception Technologies,medium,None identified,None identified,None identified
9f24ef53-999c-4276-a4c4-c2c9cc307f4d,Yes,"The study analyzes the effects of knowledge management dimensions, including knowledge acquisition and storage, on product and process innovations, explicitly discussing acquisition and storage.",high,No,"The study focuses on KM dimensions conceptually, not on specific digital technologies.",high,None identified,None identified,None identified,high,None identified,None identified,None identified
c7734363-e5a5-47ce-86a3-9d2ad922588e,Yes,"The study examines how AI job threat induces knowledge acquisition behavior, explicitly discussing the acquisition of knowledge.",high,Yes,"The study frames AI automation and opacity as technologies that influence the perceived threat, which in turn drives knowledge acquisition behavior.",high,"AI automation; AI opacity","AI automation; AI opacity","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
9235e30e-97c0-4353-9959-4253347d30b5,Yes,"The study investigates how companies manage the process of knowledge acquisition to adopt Industry 4.0, explicitly discussing the acquisition of knowledge.",high,No,"The study focuses on I4.0 technologies as the context, but the knowledge acquisition process itself is not mediated by a specific digital tool in the description.",high,"Industry 4.0 (I4.0) technologies","Industry 4.0 technologies","Cyber-Physical Systems, IoT, and Smart Environments",medium,None identified,None identified,None identified
795d4967-c062-45b3-9918-518594621da7,No,"The study evaluates a web-based learning platform on academic achievement and knowledge retention, but does not discuss methods to capture or retain knowledge.",high,No,"The web-based learning platform is the delivery method, not a tool for knowledge capture/retention.",high,"Web-based learning platform","Web-based learning platform","Mobile, Social, and Communication Technologies",high,None identified,None identified,None identified
8cfe4668-c4c7-4f7e-9d95-882d081fba86,Yes,"The study examines the role of knowledge acquisition as a driver for circular product development performance, explicitly discussing the acquisition of knowledge.",high,Yes,"The study identifies AI-based analytics as a key factor influencing knowledge acquisition and circular innovation.",high,"AI-based analytics","AI-based analytics","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
7c251da2-ef94-4016-a3ea-6d32d3e62f44,No,"The study examines students' interaction with AR, cognitive load, and knowledge acquisition, but does not discuss methods to capture or retain knowledge.",high,No,"AR is the learning environment under study, not a tool for knowledge capture/retention.",high,"Augmented Reality (AR) application","Augmented Reality application","Human–Computer Interaction and Immersive Technologies",high,None identified,None identified,None identified
4e8a0727-834b-4bc6-a867-557ae1a0f183,Yes,"The study examines the role of knowledge management factors, including knowledge acquisition and application, in shaping Generative AI use for social sustainability.",high,Yes,"The study explicitly identifies knowledge acquisition and knowledge application as drivers for effective Generative AI use.",high,"Generative AI","Generative AI","Artificial Intelligence and Intelligent Computation",high,None identified,None identified,None identified
