node_id,node_name,category,evidence_label,case_title,evidence_statement,evidence_location
c007M02N31,Learning Designer software,Digital Technology,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Learning Designer's free online software was used to help build the training program.,"Page 2, Pedagogical strategy"
c007M02N32,DailyMotion video platform,Digital Technology,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"Video about the robot, https://www.dailymotion.com/video/x2ys7u8","Page 8, Reference 9"
c007M02N33,Online survey tool,Digital Technology,I,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,All the answers were collected and treated using Excel software (survey tool implied).,"Page 4, Statistical analysis"
c007M02N36,ICT usage classification system,Organizational Dependency,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"ICT‑usage table adapted to the healthcare environment classified operators into resistant, functional, or expert.","Page 3, Creation of the teams"
c007M02N37,Availability of training pharmacist,Organizational Dependency,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,The trainer was a pharmacist who specialized in using the robot. The training pharmacist simply observed.,"Page 2, Practical part"
c007M02N38,Cleanroom environment constraints,Environmental Dependency,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,One team at a time entered the cleanroom with the training pharmacist.,"Page 2, Practical part"
c007M02N39,Robot downtime periods,Environmental Dependency,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Robot was little used during the six months post‑training because of a breakdown.,"Page 7, Discussion"
c007M02N41,Low number of survey questions (10),Limitation,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Low number of questions (10) used to survey their knowledge.,"Page 7, Limitations"
c007M02N43,Knowledge decay over time without refreshers,Limitation,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Decrease in motivation and self‑efficacy over time suggests that regular refresher sessions are necessary.,"Page 6-7, Discussion"
c007M02N46,Insufficient initial training,Limitation,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Insufficient training. They had undergone insufficient training.,"Page 1, Introduction; Page 5, Discussion"
