node_id,node_name,category,evidence_label,case_title,evidence_statement,evidence_location
c006M01N13,Staff turnover/Company changes,Limitation,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",making it difficult to implement effective preventive measures in future projects and obstructing continuous improvement,PAGE 1
c006M01N14,Lack of familiarity with digital tools/BIM,Limitation,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",due to the high lack of knowledge of BIM tools and new technologies/methodologies,PAGE 1
c006M01N15,Peruvian Law N° 29783,Environmental Dependency,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","we assigned an initial risk factor (RFCS) based on exposure, probability and severity indexes granted by the Peruvian Law N 29783",PAGE 3
c006M02N01,Lessons learned (LA),Explicit Knowledge,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",The spreadsheet has tools such as ... Lessons Learned (LA),Section 3.3
c006M02N02,Hazard and risk evaluation data (IPERC),Explicit Knowledge,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",the IPERC tool ... determine the characteristics and properties of the hazard,Section 3.3
c006M02N03,Residual risk data (RR),Explicit Knowledge,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",RR tool in order to check the effectiveness of the controls taken,Section 3.3
c006M02N04,Requests for information (RFI),Explicit Knowledge,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",Requests for Information on Previously Taken Controls (RFI),Section 3.3
c006M02N10,Occupational Health and Safety (OHS) professionals,Knowledge Holder,I,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",The simulations were carried out by the team of professionals in charge of health and safety management,Section 3.2
c006M02N12,"PtD App (Excel-based with IPERC, RR, RFI, LA tools)",Technology-enable Practice,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",an application was developed in Microsoft Excel oriented to OHS management based on the PtD initiative and processes,Section 3.3
c006M02N13,SQL relational database on Microsoft Azure,Technology-enable Practice,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",a relational table (SQL) data server has been developed on the Microsoft Azure platform,Section 3.4
c006M02N14,PowerApps application for OHS monitoring and control,Technology-enable Practice,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","In PowerApps, an application was created to visualize the information of the previous phases during the execution of the project",Section 3.4
c006M02N15,Microsoft Excel with VBA and macros,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","Functions such as advanced filters, lists, conditional formatting, tables, macros and Visual Basic programming were used",Section 3.3
c006M02N16,Microsoft Azure platform,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","Azure servers were chosen for their reliability, ease of use, and security features",Section 3.4
c006M02N17,PowerApps,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","In PowerApps, an application was created",Section 3.4
c006M02N18,SQL Server,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",relational table (SQL) data server,Section 3.4
c006M02N19,Loss of OHS knowledge due to staff turnover,Limitation,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",information ... is lost as staff changes in companies,Introduction
c006M02N20,Lack of centralized knowledge storage,Limitation,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","information gathered is lost over time, hindering continuous improvement",Section 3.4
c006M02N21,Hindered continuous improvement,Limitation,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",lack of retention ... obstructing continuous improvement,Introduction
