node_id,node_name,category,evidence_label,case_title,evidence_statement,evidence_location
c004M02N06,Standard/reference documents,Explicit Knowledge,E,A generative AI model for automating construction bid preparation,standard/reference documents attachment as a proposal preparation activity,p.9
c004M02N07,Extracted requirements,Explicit Knowledge,E,A generative AI model for automating construction bid preparation,GPT-4o extracts predefined requirements from uploaded RFP,p.11
c004M02N08,Vector embeddings,Explicit Knowledge,E,A generative AI model for automating construction bid preparation,text chunks converted into dense vector embeddings using OpenAI's text-embedding-ada-002,p.6
c004M02N18,Manual content review and requirements summary preparation,Traditional Human-central Practice,E,A generative AI model for automating construction bid preparation,content review and requirements summary preparation as a proposal preparation activity,p.9
c004M02N22,Kick-off meetings,Traditional Human-central Practice,I,A generative AI model for automating construction bid preparation,"kick-off meeting aligns roles, timelines, and responsibilities",p.10
c004M02N24,Vector database semantic retrieval,Technology-enable Practice,E,A generative AI model for automating construction bid preparation,semantic similarity searches using cosine similarity in Pinecone,p.6
c004M02N25,Requirements extraction module,Technology-enable Practice,E,A generative AI model for automating construction bid preparation,first section of the system: content review and extraction process,p.11
c004M02N26,Proposal generation module (methodology),Technology-enable Practice,E,A generative AI model for automating construction bid preparation,proposal generation (methodology section) using GPT-4o,p.11
c004M02N27,Human-in-the-loop review,Technology-enable Practice,E,A generative AI model for automating construction bid preparation,human-in-the-loop review incorporated to ensure quality,p.7
c004M02N28,OpenAI GPT-4o,Digital Technology,E,A generative AI model for automating construction bid preparation,GPT-4o employed due to advanced reasoning and robustness,p.7
c004M02N29,OpenAI text-embedding-ada-002,Digital Technology,E,A generative AI model for automating construction bid preparation,embeddings generated using OpenAI Ada-002 embedding model,p.6
c004M02N30,Pinecone vector database,Digital Technology,E,A generative AI model for automating construction bid preparation,Pinecone vector database for scalability and real-time high-dimensional vectors,p.6
c004M02N31,LangChain framework,Digital Technology,E,A generative AI model for automating construction bid preparation,pipeline orchestrated through LangChain framework,p.7
c004M02N32,Streamlit,Digital Technology,E,A generative AI model for automating construction bid preparation,lightweight graphical interface built with Streamlit,p.7
c004M02N39,Inconsistent documentation,Limitation,E,A generative AI model for automating construction bid preparation,inconsistent documentation as an inefficiency,p.2
c004M02N41,Limited to PDF documents,Limitation,E,A generative AI model for automating construction bid preparation,extraction process only supports PDF documents,p.15
c004M02N42,Small dataset size,Limitation,E,A generative AI model for automating construction bid preparation,dataset contained 13 historical bid documents – limited in size,p.7
c004M02N43,Customization challenges,Limitation,E,A generative AI model for automating construction bid preparation,customization challenges arise in drafting method statements requiring context-aware judgment,p.17
c004M02N44,Cannot fully replace human expertise,Limitation,E,A generative AI model for automating construction bid preparation,full automation less practical without expert input; human oversight essential,p.17
c004M02N45,Privacy/confidentiality risks with third-party APIs,Limitation,E,A generative AI model for automating construction bid preparation,transmitting bid documents through third-party APIs could introduce privacy risks,p.6
