Category,Sub-Category ID,Sub-Category Name,Definition
Explicti Knowledge,EK02,Codified Descriptive Knowledge,"Articulated and persistently recorded statements of what is or was the case, including facts, observations, measurements, records, classifications, attributes, and historical descriptions."
Explicti Knowledge,EK03,Codified Procedural Knowledge,"Articulated and persistently recorded knowledge explaining how an activity should be performed, including instructions, methods, algorithms, checklists, operating procedures, and prescribed controls; uncodified expert know-how is excluded."
Explicti Knowledge,EK04,Codified Explanatory Knowledge,"Articulated and persistently recorded accounts of why or how a condition, event, or relationship occurs, including causal mechanisms, interpreted patterns, and reasoned explanations."
Explicti Knowledge,EK05,Codified Predictive Knowledge,"Articulated and persistently recorded forecasts, simulations, estimates, or inferential statements about likely future states, consequences, risks, or performance."
Explicti Knowledge,EK06,Codified Evaluative Knowledge,"Articulated and persistently recorded criteria, instruments, frameworks, scales, protocols, and decision rules specifying how an entity, condition, intervention, or performance should be assessed."
Explicti Knowledge,EK07,Codified Outcome Knowledge,"Articulated and persistently recorded results produced through measurement, calculation, assessment, or evaluation, including scores, indicators, KPIs, observed effects, and quantified outcomes."
Explicti Knowledge,EK08,Codified Experiential Knowledge,"Lessons or insights from situated experience that have been articulated and persistently recorded, including lessons learned, after-action findings, critical-incident accounts, case reflections, and reusable project insights; experience retained only in a person's mind is excluded."
Explicti Knowledge,EK09,Ambiguous Explicit Knowledge(*),Maps explicit knowledge that cannot be assigned to EK01-EK08 because the evidence does not identify a sufficiently specific domain or analytical level.
Digital Technology,TE01,Artificial Intelligence and Intelligent Computation,"Foundational core models, connectionist AI, natural language processing architectures, and generative systems."
Digital Technology,TE02,Human–Computer Interaction and Immersive Technologies,"User experience design, interactive software interfaces, and spatial computing environments."
Digital Technology,TE03,"Cyber-Physical Systems, IoT, and Smart Environments",Hardware-software integration where computational logic interacts directly with physical mechanics and automated hardware feedback.
Digital Technology,TE04,"Data, Information, and Knowledge Systems","The structural storage, architecture, indexing, retrieval, and semantic mapping of data and structural knowledge."
Digital Technology,TE05,"Imaging, Sensing, and Perception Technologies","The hardware, telemetry, and signal/image processing algorithms required to capture and perceive environmental inputs."
Digital Technology,TE06,"Security, Privacy, and Trustworthy Technologies","Systems designed to ensure data integrity, privacy preservation, confidentiality, and architectural trust."
Digital Technology,TE07,"Mobile, Social and Communication Technologies","Network communication protocols, distributed social systems, and mobile-first software application ecosystems."
Digital Technology,TE08,"Rule-Based, Decision and Expert Systems","Deterministic, symbolic, and non-probabilistic AI that drives automated decision-making through hard-coded logic and expert rules."
Digital Technology,TE09,Ambiguous Digital Technology(*),Maps Digital Technology that cannot be assigned to TE01-TE08 because the evidence does not identify a sufficiently specific domain or analytical level.
Traditional Human-Central Practice,THR01,Job Shadowing,"Observation-based learning in which a learner physically accompanies an experienced practitioner on-site to absorb embodied routines, contextual judgment, and uncodified field maneuvers."
Traditional Human-Central Practice,THR02,Job Rotation,"Systematic movement of personnel across operational roles or functions to develop cross-functional mental models, coordination awareness, and holistic understanding of project risks."
Traditional Human-Central Practice,THR03,Deliberate Practice,"Highly structured and targeted physical or mental repetition, including defined self-study protocols, undertaken to master a specific operational proficiency through feedback and correction."
Traditional Human-Central Practice,THR04,Knowledge Cafés,"Open, semi-structured conversational forums in which participants exchange perspectives, surface group memory, and collaboratively interpret shared problems."
Traditional Human-Central Practice,THR05,Knowledge Harvesting Workshops,"Structured elicitation sessions designed to extract, decompose, clarify, and document an expert's tacit decision rules, especially for organizational retention or succession."
Traditional Human-Central Practice,THR06,Critical Incident Technique,"Retrospective elicitation focused on human behavior, decisions, and causal conditions during a specific significant, exceptional, or hazardous event."
Traditional Human-Central Practice,THR07,Mentoring,"A sustained master-apprentice or expert-novice relationship that transfers contextual know-how, professional judgment, safety norms, and occupational identity through personalized guidance."
Traditional Human-Central Practice,THR08,Storytelling,"Use of oral, written, or facilitated narratives to transmit experiential knowledge, historical lessons, organizational culture, and context-rich understanding."
Traditional Human-Central Practice,THR09,After-Action Reviews,"A timely and structured post-event or post-milestone team debrief that examines what occurred, why it occurred, what was learned, and how future action should change."
Traditional Human-Central Practice,THR10,Communities of Practice,"A continuing, practitioner-led social network whose members regularly solve shared problems, refine practice, and maintain collective or institutional memory."
Traditional Human-Central Practice,THR11,Instructor-Led Training and Briefings,"Instructor-directed transfer of established knowledge through lectures, presentations, seminars, demonstrations, inductions, or workplace briefings, without the individualized continuity of mentoring."
Traditional Human-Central Practice,THR12,Codified-Material Learning,"Human learning or knowledge dissemination primarily mediated by prepared codified materials such as manuals, textbooks, leaflets, instructional videos, photographs, or static presentations."
Traditional Human-Central Practice,THR13,Experiential and On-the-Job Learning,"Learning through direct participation in authentic work, site exposure, applied projects, or practical experience when the evidence does not establish job shadowing, rotation, mentoring, or deliberate repetition."
Traditional Human-Central Practice,THR14,Collaborative Group Learning,"Facilitated, episodic group exercises, meetings, or workshops in which participants learn jointly, but which lack the open knowledge-café format or the continuing identity and self-organization of a community of practice."
Traditional Human-Central Practice,THR15,Manual Knowledge Documentation and Codification,"Human preparation, recording, annotation, organization, classification, cross-referencing, or storage of explicit knowledge without automated knowledge-processing support."
Traditional Human-Central Practice,THR16,Human Expert Review and Validation,"Human expert evaluation, checking, consensus formation, prioritization, or iterative refinement of a knowledge product or decision; the principal purpose is validation rather than tacit-knowledge extraction."
Traditional Human-Central Practice,THR17,Ambiguous Traditional Human-central Practice,Maps Traditional Human-central Practices that cannot be assigned to THR01-THR18 because the evidence does not identify a sufficiently specific domain or analytical level.
Environmental Dependency,ED01,"Political, Regulatory & Jurisdictional Environment","Maps legislation, statutory codes, public policy, government standards, regulatory tariffs, political instability, geopolitical conditions, and jurisdictional requirements imposed by external authorities."
Environmental Dependency,ED02,"Economic, Market & Industry Environment","Maps macroeconomic conditions, market fluctuations, industry competition, sector structure, labor-market conditions, workforce demographic shifts, and industry-wide technological change."
Environmental Dependency,ED03,Sociocultural & Societal Environment,"Maps societal values, cultural expectations, public attitudes, population demographics, community characteristics, and social norms affecting construction or knowledge practices."
Environmental Dependency,ED04,Natural & Climatic Environment,"Maps broad climatic patterns, seasonal cycles, extreme weather, temperature regimes, flooding, storms, and other naturally occurring conditions affecting construction activities."
Environmental Dependency,ED05,External Technological & Infrastructure Environment,"Maps regional or sector-level internet access, communication networks, electricity supply, public utilities, technology availability, and externally provided infrastructure required for construction or digital activities."
Environmental Dependency,ED06,"Client, Procurement & Institutional Environment","Maps requirements imposed by clients, tendering systems, procurement institutions, bid-evaluation criteria, contractual submission conditions, professional bodies, and accreditation institutions."
Environmental Dependency,ED07,Supply-Chain & Logistical Environment,"Maps external suppliers, transportation networks, material availability, delivery dependencies, logistics systems, and interorganizational supply-chain conditions."
Environmental Dependency,ED08,Geographic & Physical Site Context,"Maps the immediate external conditions of a project or workplace, including site geometry, spatial boundaries, congestion, confined spaces, water crossings, terrain, geographic isolation, and structural positioning."
Environmental Dependency,ED09,Local Utility & Connectivity Conditions,"Maps the availability and reliability of electricity, internet connectivity, wireless networks, data transmission, and peripheral infrastructure at the specific site where a technology or KM practice is implemented."
Environmental Dependency,ED11,"User Characteristics, Eligibility & Participation Conditions","Environmental dependencies arising from the characteristics, circumstances, or eligibility status of intended users that determine whether and how they can access, participate in, or benefit from a technology, programme, training activity, or organizational intervention. "
Environmental Dependency,ED10,Ambiguous Environmental Dependency(*),Maps externally originating dependencies that cannot be assigned to ED01–ED09 because the evidence does not identify a sufficiently specific domain or analytical level.
Organizational Dependency,OD01,"Governance, Standards & Formal Control","Formal policies, mandates, technical standards, protocols, approvals, audits, privacy rules, ethics clearances, and stewardship controls."
Organizational Dependency,OD02,Strategic Leadership & Sponsorship,"Executive commitment, strategic vision, championship, management buy-in, advocacy, and high-level institutional backing for technology-enabled knowledge retention and organizational learning."
Organizational Dependency,OD03,"Financial, Technical & Information Resources","Availability and organizational readiness of budgets, facilities, hardware, software, platforms, integrated infrastructure, and usable data. Covers internal technological capacity, but not intrinsic technology properties such as accuracy or reliability."
Organizational Dependency,OD04,"Time, Workload & Operational Scheduling","Protected time, workload allowances, activity duration, delivery sequence, class size, and other scheduling arrangements."
Organizational Dependency,OD05,"Human Capacity, Roles & Participation","Staff availability, competence, training, facilitation, departmental responsibility, expert participation, stakeholder engagement, retention, mentoring, validation, and succession."
Organizational Dependency,OD06,"Culture, Trust & Relational Climate","Trust, psychological safety, openness, intrinsic knowledge-sharing motivation, learning orientation, technology receptiveness, and continuous-improvement norms. Also covers negative states such as knowledge hiding, fear, destructive internal competition, and weak learning cultures."
Organizational Dependency,OD07,Incentives & Performance Alignment,"Extrinsic knowledge-sharing motivation through rewards, allowances, recognition, promotion criteria, targets, and performance measures tied to knowledge retention or technology use. Competitive incentives that encourage hiding also belong here."
Organizational Dependency,OD08,Organizational Structure & Process Design,"Hierarchy, organizational maturity, workflow configuration, technology–workflow fit, content or interface design, customization, compatibility, and curriculum alignment not governed by OD01–OD07."
Organizational Dependency,OD09,Ambiguous Organizational Dependency(*),Maps organizational dependencies that cannot be assigned to OD01–OD08 because the evidence does not identify a sufficiently specific domain or analytical level.
Limitation,LI01,Individual Knowledge and Memory Decay,"Loss, weakening, or fading of previously acquired knowledge over time. Use only when information was initially learned and later forgotten or retained poorly. Excludes poor initial learning caused by instructional design, which belongs to LI04."
Limitation,LI02,"Individual Ergonomic, Usability and Immediate Safety Risks","Immediate discomfort, fatigue, cybersickness, physical strain, usability burden, withdrawal caused by discomfort, or direct exposure to injury associated with equipment, interfaces, or work settings."
Limitation,LI03,"Human Physiological, Cognitive-Capacity and Demographic Constraints","Relatively stable individual differences or biological constraints, including age-related capability differences, health conditions, sensory or motor limitations, working-memory capacity, and heterogeneous learner characteristics. Excludes temporary discomfort classified under LI02 and acquired-knowledge decay classified under LI01."
Limitation,LI04,"Instructional Design, Delivery, Assessment and Transfer Shortcomings","Weaknesses in training or educational architecture, including passive delivery, inadequate engagement, restricted content, limited instructional methods, poor assessment coverage, insufficient practical access, cognitive overload caused by presentation design, and failure to transfer learning into practice."
Limitation,LI05,"Software, Algorithmic, Data Quality and Interoperability Barriers","Limitations in software functionality, algorithms, model accuracy, computational methods, data completeness or structure, information retrieval, file formats, OCR, language processing, system integration, and cross-platform interoperability. Operational data scarcity belongs here when it constrains a deployed system; research-sample scarcity belongs to LI14."
Limitation,LI06,"Hardware, Sensor and Technical Infrastructure Constraints","Limitations involving physical devices, sensor accuracy or availability, processing capacity, networks, transmission infrastructure, facilities, spatial operating areas, and other physical technical resources. Excludes acquisition cost, which belongs to LI07."
Limitation,LI07,Financial and Capital Constraints,"Insufficient funding or excessive acquisition, development, production, licensing, implementation, or maintenance cost. Code time or staffing burdens separately under LI08 when both mechanisms are present."
Limitation,LI08,"Time, Staffing, Expertise, Scheduling and Workload Constraints","Scarcity of time, personnel, specialist expertise, implementation resources, scheduling capacity, or attention; excessive workload; time-intensive development or curation; and delays in realizing benefits."
Limitation,LI09,"Organizational Culture, Leadership and Adoption Barriers","Resistance to change, weak leadership support, authoritarian or abusive leadership, lack of trust or incentives, knowledge hoarding, low motivation, poor participation, group-dynamic problems, reluctance to share, and underuse or rejection of available technologies or practices."
Limitation,LI10,"Knowledge Continuity, Documentation, Governance, Privacy and Security","Failure to capture, preserve, document, retrieve, govern, or transfer organizational knowledge; knowledge loss caused by turnover, retirement, or temporary teams; fragmented documentation; confidentiality, privacy, consent, access-control, and security risks."
Limitation,LI11,Physical-Environmental and Operational Variability,"Uncontrolled or difficult-to-control physical and operational conditions, including weather, biological deterioration, structural decay, irregular space use, unpredictable occupant behavior, and divergence between planned and actual operating conditions. Human behavior belongs here when treated as external operational variability; deliberate resistance belongs to LI09."
Limitation,LI12,"Market, Commercialization, Regulatory and External Institutional Change","Constraints arising outside the focal organization, including market shifts, commercialization pressure, labor-market change, regulatory change, industry-standard change, and other external institutional developments. Excludes internal culture and managerial choices classified under LI09."
Limitation,LI13,"Research Design, Measurement and Validation Flaws","Weaknesses in the study producing the evidence, including missing controls, inability to isolate causal contributions, narrow measurement instruments, untested outcomes, construct-validity problems, inappropriate comparisons, and insufficient validation. These records are methodological exclusions rather than substantive sector limitations."
Limitation,LI14,Empirical Sample and Generalizability Limitations,"Small, narrow, imbalanced, localized, or unrepresentative research samples, including insufficient evaluation or model-training observations when the deficiency arises from the study design. These records are methodological exclusions rather than substantive sector limitations."
Limitation,LI15,Ambiguous Limitation(*),Maps limitation that cannot be assigned to LI01–LI14 because the evidence does not identify a sufficiently specific domain or analytical level.
Knowledge Holder,KH01,Community and Cultural Knowledge Custodians,"Community members who preserve and transmit local, cultural, historical, or intergenerational knowledge."
Knowledge Holder,KH02,Skilled Trades and Craft Practitioners,"Practitioners holding embodied, experience-based, manual, or craft knowledge acquired through sustained practice."
Knowledge Holder,KH03,Frontline and Operational Practitioners,"Personnel who apply process, safety, service, production, or equipment knowledge in day-to-day operations."
Knowledge Holder,KH04,"Customers, Users, and Service Recipients","People holding experiential knowledge derived from using a product, service, facility, or system and who communicate that experience."
Knowledge Holder,KH05,"Scientific, Engineering, and Technical Professionals","Professionals holding formal scientific, analytical, design, diagnostic, or technical knowledge."
Knowledge Holder,KH06,Domain Experts and Expert Reviewers,"Recognized specialists who provide expert judgment, validation, evaluation, prioritization, or advisory knowledge."
Knowledge Holder,KH07,"Operational, Project, and Middle Managers","Managers coordinating people, processes, projects, resources, or operational implementation."
Knowledge Holder,KH08,Executive and Strategic Leadership,"Senior leaders holding enterprise-level strategic, governance, investment, or decision-making knowledge."
Knowledge Holder,KH09,"Public Authorities, Regulators, and Standard-Setting Bodies","Actors holding statutory, regulatory, compliance, policy, inspection, or standards knowledge."
Knowledge Holder,KH10,"Researchers, Analysts, and Knowledge Developers","Actors who generate knowledge through research, investigation, modelling, analysis, or system development."
Knowledge Holder,KH11,"Educators, Trainers, and Mentors","Actors who intentionally transfer knowledge through education, training, coaching, facilitation, or mentorship."
Knowledge Holder,KH12,Peer Knowledge Contributors,"Colleagues or peers who demonstrably exchange knowledge through collaboration, mutual assistance, or peer learning."
Knowledge Holder,KH13,Commercial and Value-Chain Professionals,"Actors holding knowledge of markets, customers, procurement, finance, sales, logistics, contracting, or supply networks."
Knowledge Holder,KH14,Organizational and Inter-organizational Collectives,"Teams, departments, professional communities, partnerships, or stakeholder networks that collectively hold and exchange knowledge."
Knowledge Holder,KH15,Other (*) – Insufficient Evidence of a Knowledge-Holding Role,"Actors whose evidence establishes participation or knowledge receipt but does not demonstrate knowledge possession, application, contribution, or sharing."
Knowledge Holder,KH16,Ambiguous Knowledge Holder(*),Maps knowledge holders that cannot be assigned to KH01-KH15 because the evidence does not identify a sufficiently specific domain or analytical level.
Knowledge Holder,KL01,Formal Higher-Education Learners,"Students acquiring domain knowledge through a university course, degree module, or academically situated training activity."
Knowledge Learner,KL02,Structured Occupational Trainees,"Participants enrolled in a planned vocational, professional-development, induction, or safety-training intervention, regardless of prior occupation."
Knowledge Learner,KL03,Novice and Early-Career Workforce Learners,"New, younger, or less-experienced personnel receiving guidance, mentoring, or technology transfer to develop workplace competence."
Knowledge Learner,KL04,Experienced Practitioner Upskilling Learners,"Established professionals or workers acquiring new technical, digital, safety, or procedural capabilities as part of continuing practice."
Knowledge Learner,KL05,Frontline Safety Knowledge Recipients,"Site-level workers who receive hazard, prevention, or protective knowledge intended for direct application in operational safety."
Knowledge Learner,KL06,Operational Decision and Action Learners,"Managers, operators, or other decision users who absorb analyzed knowledge to understand conditions and improve operational choices."
Knowledge Learner,KL07,Public and Heritage-Experience Learners,"Visitors, tourists, users, or members of the public who acquire cultural or historical knowledge through interpretive, immersive, or participatory experiences."
Knowledge Learner,KL08,Indigenous and Local-Community Learners,"Members of place-based or indigenous communities who receive, retain, or renew locally embedded cultural and practical knowledge."
Knowledge Learner,KL09,Project and Organizational Collective Learners,"Teams, crews, employees, project members, or stakeholder groups that acquire and circulate knowledge as a collective organizational capability."
Knowledge Learner,KL10,Knowledge Review and Validation Learners,"Expert or research groups that interpret, review, annotate, or validate knowledge artifacts while preparing them for reliable organizational use."
Knowledge Learner,KL11,Ambiguous Knowledge Learner(*),Maps knowledge learner that cannot be assigned to KL01-KL10 because the evidence does not identify a sufficiently specific domain or analytical level.
Technology-enable Practice,TP01,Model-based Knowledge Representation and Simulation,"Uses BIM, 3D/4D models, engineering simulations, virtual models, and computational scenarios to represent assets, environments, construction processes, system behavior, and performance relationships."
Technology-enable Practice,TP02,Spatial Knowledge Capture and Geospatial Reconstruction,"Uses UAVs, photogrammetry, laser scanning, GIS, and surveying technologies to convert physical and spatial conditions into measurable digital representations."
Technology-enable Practice,TP03,Situated Experiential Learning through Extended Reality,"Uses VR, AR, MR, CAVE, or hybrid XR environments to support embodied rehearsal, contextual guidance, historical interpretation, hazard recognition, and situated knowledge transfer."
Technology-enable Practice,TP04,Interactive Consequence Learning and Digital Feedback,"Uses responsive simulations, animations, indicators, interfaces, or multisensory feedback to make relationships between actions, system states, and consequences experientially perceptible."
Technology-enable Practice,TP05,Real-time Condition Intelligence through IoT Monitoring,"Uses connected sensors and real-time data streams to capture building performance, occupancy, environmental conditions, and operational states."
Technology-enable Practice,TP06,Worker Activity and State Capture through Wearable Sensors and Cameras,"Uses IMUs, wearable sensors, eye trackers, cameras, and video analysis to record workers’ movement, posture, gaze, workload, task sequences, and situated work activities."
Technology-enable Practice,TP07,Algorithmic Pattern Discovery and Prediction,"Uses AI, machine learning, NLP, statistical learning, or rule-based algorithms to derive classifications, forecasts, detected patterns, and predicted conditions from data."
Technology-enable Practice,TP08,Generative Knowledge Synthesis and Content Production,"Uses generative AI to combine requirements, contextual data, and retrieved knowledge into new drafts, reports, explanations, summaries, or recommendations."
Technology-enable Practice,TP09,Semantic Knowledge Structuring and Retrieval,"Uses knowledge graphs, semantic metadata, embeddings, vector databases, and meaning-based search to represent knowledge relationships and retrieve contextually relevant information."
Technology-enable Practice,TP10,Database-supported Project Knowledge Archiving,"Preserves and retrieves codified project records, narratives, lessons learned, safety information, and operational knowledge through databases, data warehouses, or conventional KMS repositories."
Technology-enable Practice,TP11,Collaborative Knowledge Co-creation through Digital Platforms,"Uses portals, messaging systems, shared virtual environments, and online collaboration platforms to support peer exchange, collective interpretation, user contribution, and shared knowledge construction."
Technology-enable Practice,TP12,Multimedia and Blended Knowledge Internalization,"Combines digital content, interactive media, online resources, and face-to-face or workplace activities to strengthen demonstration, participation, and knowledge internalization."
Technology-enable Practice,TP13,Criteria-based Performance Evaluation and Ranking,"Measures, compares, scores, or ranks learners, models, interventions, and alternatives using predefined criteria, indicators, benchmarks, or performance metrics."
Technology-enable Practice,TP14,Ambiguous Technology-enable Practice,Maps Technology-enable practices that cannot be assigned to TP01-TP13 because the evidence does not identify a sufficiently specific domain or analytical level.
Technology-enable Practice,TP15,Distributed-Ledger-enabled Transaction Assurance and Traceability,"Uses blockchain or distributed-ledger technologies to create verifiable transaction records, strengthen provenance and supply-chain traceability, validate products, and automate trusted exchanges through smart contracts or related mechanisms."
Technology-enable Practice,TP16,Gamified Procedural and Scenario-based Learning,"Uses structured games, quizzes, cards, role-playing scenarios, and realistic problem cases to help learners reconstruct procedural sequences, apply operational criteria, recognize errors, and select appropriate responses."
