uuid,kr_flag,kr_evidence,kr_confidence,tacit_knowledge,TK_normalized,TK_confidence,DT_flag,DT_evidence,DT_confidence,Digital_Technologies,DT_normalized,article_type,article_type_evidence,article_type_confidence,kr_DT_evidence,ic_label
00d2db31-975c-4a74-b0fd-795ca782f354,Yes,The use of the AR sand table in a classroom environment was found to improve retention of foundational remote sensing knowledge and elevate the assessment performance for subjects identified as lower performers.,high,foundational and practical remote sensing concepts,Other(foundational and practical remote sensing concepts),medium,Yes,"This experiment utilized advanced visualization technology for the delivery of an introductory remote sensing lesson in an undergraduate geography course. Given the numerous immersive visualization solutions available, it is now possible to leverage the capabilities of augmented, mixed, and virtual reality (AR, MR, and VR) technology in a classroom learning environment.",high,"augmented, mixed, and virtual reality (AR, MR, and VR) technology",Human–Computer Interaction and Immersive Technologies,Empirical Study,"To validate the use of an AR sand table/sandbox in a group academic setting, approximately 400 participants were evaluated to assess the impact on students’ retention of both foundational and practical remote sensing concepts.",high,Undisposed,True
00e7a588-358c-49d0-bab4-3154939e6fc6,Yes,Certainty-based marking (CBM) requires students to indicate their certainty levels alongside their answers. CBM has been shown to enhance self-assessment and metacognitive awareness. This study aimed to explore the implementation of CBM in multiple-choice assessments in physiology.,high,Students' knowledge gaps and learning progress in physiology,Relational Tacit Knowledge,medium,Yes,"The CBM assessment tool was developed with an artificial intelligence (AI) assistant, Claude 3.5, with prompts focused on functional rather than technical requirements.",high,"artificial intelligence (AI) assistant, Claude 3.5",Artificial Intelligence and Intelligent Computation,Empirical Study,"The assessment consisted of 15 multiple-choice questions (MCQs), which were administered as a pretest and posttest during a small group teaching session to first-year medical students. Following the assessment, students completed a survey to evaluate their perceptions regarding the format, knowledge-gap identification, and overall acceptability. Answers from 195 students were analyzed, and significant improvements were observed in performance measures and certainty indices from the pretest to the posttest.",high,Undisposed,True
00f043d7-72dd-427c-87d4-171f65a7d6c9,No,"The article presents the educational strategies and global impact of the TCM Academy, focusing on integrating evidence-based pedagogy, a multidisciplinary teaching team, and innovative e-learning techniques, but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,None identified,Yes,"The platform utilizes technology to track learner progress and enhance engagement and retention, including video chunking, interactive quizzes, and worksheets.",medium,video chunking; interactive quizzes; worksheets,"Data, Information, and Knowledge Systems",Case Study,"Since its launch, TCMA has collaborated with over 100 international experts, offering more than 1200 hours of online content. Its Oncology Acupuncture program has graduated over 700 students worldwide, including medical doctors and TCM practitioners.",high,Undisposed,False
01910235-8e06-4a80-9790-550a018f4c08,Yes,This study aims to develop a theoretical framework that marketing practitioners and scholars can adopt to enhance their understanding of how firms can effectively deploy and use digital human avatars as part of their global digital marketing strategy.,medium,how firms can effectively deploy and use digital human avatars as part of their global digital marketing strategy,Other(how firms can effectively deploy and use digital human avatars as part of their global digital marketing strategy),medium,Yes,"Thematic analysis was used to discover factors to enable the successful implementation of digital human avatars, drawing on in-depth interviews with fourteen executives of digital human avatars developer companies worldwide and analysis of ten podcasts and webinars with artificial intelligence (AI) experts.",medium,digital human avatars,Artificial Intelligence and Intelligent Computation,Conceptual Framework,This study aims to develop a theoretical framework that marketing practitioners and scholars can adopt to enhance their understanding of how firms can effectively deploy and use digital human avatars as part of their global digital marketing strategy.,high,Undisposed,False
019beb73-f659-4562-adae-5734b2e4d234,No,"The abstract discusses evaluating and advancing composite repair technology for pipelines, focusing on technical elements, design equations, testing conditions, and performance, but does not mention capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,No,The abstract does not mention the use of digital technologies to capture or retain knowledge.,high,None identified,None identified,Empirical Study,A full-scale testing program was conducted to evaluate the use of carbon-epoxy composite repair technology to reinforce severe corrosion defects in large-diameter pipes.,high,Undisposed,False
01e7006d-5f61-488b-a1eb-705f06e03e8d,Yes,Objective: To implement and evaluate satisfaction and knowledge retention in a multidisciplinary training course on waiting list management. The analysis revealed significant participant knowledge retention.,high,knowledge retention in waiting list management,Relational Tacit Knowledge,medium,No,The abstract discusses a training course and knowledge retention but does not explicitly mention digital technologies being used to capture or retain knowledge.,medium,None identified,None identified,Empirical Study,This methodological study involved two phases of the ADDIE instructional design model. The course was delivered through a virtual learning environment (VLE) between October 2023 and June 2024. Data were collected using questionnaires and VLE-generated reports and were analyzed using descriptive statistics and the Wilcoxon test (p < 0.05).,high,Undisposed,False
01f4cf94-e128-46fe-a293-97ffee66a542,Yes,"This study aims to investigate the impact of augmented reality (AR) training modules on knowledge retention in corporate settings, focusing on the context of the United Arab Emirates (UAE). Findings reveal a significant positive correlation between AR training modules and knowledge retention, emphasizing the potential of immersive technologies in enhancing learning outcomes.",high,knowledge retention,Other(knowledge retention),high,Yes,"This study aims to investigate the impact of augmented reality (AR) training modules on knowledge retention in corporate settings, focusing on the context of the United Arab Emirates (UAE).",high,augmented reality (AR) training modules,Human–Computer Interaction and Immersive Technologies,Empirical Study,This study uses a quantitative technique by using a structured survey to collect data from participants in service sectors in the UAE. A SEM analysis tool was used to test the relationship that exists between the construct under investigation.,high,Undisposed,True
01f6a5db-ebf5-4ace-88e1-35a58c10dc19,Yes,"The platform provides a structured environment for students to conduct research, write articles, and publish their work, thereby cultivating essential skills in research methodologies and analytical writing. This hands-on experience equips them with vital research practices, laying a foundation for their careers as scientists and engineers in aerospace. AnuBrahman curates an open-access repository comprising research publications, technical articles, data sets, and educational resources, empowering users from diverse backgrounds to access the latest advancements in aerospace.",high,None identified,None identified,None identified,Yes,"AnuBrahman curates an open-access repository comprising research publications, technical articles, data sets, and educational resources, empowering users from diverse backgrounds to access the latest advancements in aerospace. The platform removes barriers to information while fostering student-led research, cultivating a collaborative community that embraces emerging technologies and innovative methodologies, and nurturing critical thinking and technical skills vital to the aerospace field.",high,open-access repository,"Data, Information, and Knowledge Systems",Conceptual Framework,"AnuBrahman, derived from the Sanskrit words”Anu” (atom) and”Brahman” (universe), embodies the journey from fundamental concepts to the vast realm of aerospace. Originally a college newsletter, it has evolved into a dynamic, accessible platform that connects students, educators, and industry professionals, effectively bridging academia and the aerospace sector. Central to its mission is the commitment to making aerospace knowledge accessible, encouraging students to engage in research and share their insights.",medium,Undisposed,False
021ed716-706c-4c81-b6b5-00c651420f4c,No,"The abstract discusses an innovative cascaded extreme learning machine for heart disease prediction, focusing on data pre-processing, feature extraction, and classification. There is no clear discussion on capturing or retaining knowledge from individuals or organization environment.",medium,None identified,None identified,None identified,Yes,The proposed research article presents an innovative cascaded extreme learning machine for effective heart disease (HD) prediction.,high,cascaded extreme learning machine; Cascaded kernel soft plus extreme learning machine with a stacked autoencoder model,Artificial Intelligence and Intelligent Computation,Empirical Study,"The proposed research article presents an innovative cascaded extreme learning machine for effective heart disease (HD) prediction. Missing data filtering and normalization methods are carried out for data pre-processing. From the pre-processed data, the features are extracted using the Framingham risk factor extraction module, whereas the extracted features are fused to generate a feature vector. The most significant features are selected using Rhino Satin Herd optimization algorithm. Using a linear weight assignment approach, the feature weighting process is undertaken by allocating higher weights to significant features and less weight to unwanted features. Finally, classification is performed through the Cascaded kernel soft plus extreme learning machine with a stacked autoencoder model.",high,Undisposed,False
02458a9a-d91d-4d5b-8c49-3a6f68288582,Yes,"The proposed Intrusion Detection System (IDS) module identifies abnormalities in a smart home network by utilizing Artificial Immune System, Extreme Learning Machine, and IoT. Furthermore, the proposed model is integrated into a smart home network interface and combines it with a text warning system to fix problems without using any external assistance.",medium,None identified,None identified,None identified,Yes,"The proposed Intrusion Detection System (IDS) module identifies abnormalities in a smart home network by utilizing Artificial Immune System, Extreme Learning Machine, and IoT.",medium,Artificial Immune System; Extreme Learning Machine; IoT,"Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems; Cyber-Physical Systems, IoT, and Smart Environments",Empirical Study,"The proposed Intrusion Detection System (IDS) module identifies abnormalities in a smart home network by utilizing Artificial Immune System, Extreme Learning Machine, and IoT.",medium,Undisposed,True
02545cfc-356f-4c10-bc11-d46b37a2242b,No,"The study provides a comprehensive contextualization of SDR technology, offering insights into its current state in terms of development tools and market equipment, and presents two learning scenarios, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",medium,None identified,None identified,None identified,Yes,"This study provides a comprehensive contextualization of SDR technology, offering insights into its current state in terms of development tools and market equipment. Additionally, two learning scenarios are presented that employ different teaching methodologies.",medium,software-defined radio (SDR) technology,"Cyber-Physical Systems, IoT, and Smart Environments",Empirical Study,"The study indicates that implementing SDR technology boosts student motivation and learning, with 73.13% believing it enhances engineering education and 96% showing increased motivation. Those using SDR in practical laboratories perform better on knowledge tests, but statistical analysis shows that the difference is not statistically significant.",high,Undisposed,False
0265d89e-f186-48ab-9879-a0597f9dc38e,No,"The abstract discusses establishing a rapid and effective jade origin traceability method, but does not mention capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,Yes,"The abstract mentions using (LA-ICP-MS) trace element data set and the method based on weighted extreme learning machine, AdaBoost and incremental learning fusion to establish the jadeite discrimination model.",high,(LA-ICP-MS) trace element data set; weighted extreme learning machine; AdaBoost; incremental learning fusion,"Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",Empirical Study,"The recognition accuracy of integrated learning algorithm is more than 80 %. Compared with the basic extreme learning machine and weighted extreme learning machine, it can be found that the classification accuracy of integrated learning algorithm is higher and more stable.",high,Undisposed,False
026f5cb7-1f89-4071-b039-725e4851597a,No,"The reflection is not just about discovering a technological tool; it is about encountering a new form of activity, one that could potentially redefine the contours of education and learning.",medium,None identified,None identified,None identified,Yes,"ChatGPT, with all its capabilities and limitations, was in a sense, as 'human' as any of my colleagues or myself.",high,ChatGPT,Artificial Intelligence and Intelligent Computation,Other,A short reflection of personal engagement with and an exploration of the unforeseen intersections between traditional educational paradigms and the disruptive force of AI.,high,Undisposed,False
027d0e8f-1697-4742-bec0-fa660e53fbd8,Yes,"This study presents models that can detect students' learning preferences. The classification models, when implemented in the MR environment, can identify users who may require additional support tailored to their specific learning preferences.",high,students' learning preferences,Other(students' learning preferences),medium,Yes,"By employing machine learning techniques on eye-tracking data and subjective evaluations of learning preferences, the study presents models that can detect students' learning preferences.",high,machine learning techniques; eye-tracking data,"Artificial Intelligence and Intelligent Computation; Imaging, Sensing, and Perception Technologies",Empirical Study,"The study compared performance metrics from three classifiers - Ensemble, Neural Network, and K-Nearest Neighbors (KNN) and the Ensemble classifier was identified as the most accurate, achieving an accuracy of 83.3% for the test model.",high,Undisposed,True
0290b53b-5207-416f-a379-9d7b3d6bb8e9,No,"The study aimed to investigate the perceptions, experiences, and ethical awareness of undergraduate Speech and Language Therapy (SLT) students in Türkiye regarding the use of ChatGPT in academic and clinical education.",medium,None identified,None identified,None identified,Yes,"ChatGPT was most frequently used for academic purposes, including understanding and summarizing lecture notes (75.0%) and literature review (66.1%).",high,ChatGPT,Artificial Intelligence and Intelligent Computation,Empirical Study,"A quantitative, cross-sectional survey design was employed. A total of 168 SLT students from various universities participated voluntarily. Data were collected using a 50-item structured questionnaire developed by the researchers.",high,Undisposed,False
02c13ebd-476f-4160-8657-5d9a7139de15,Yes,"With the in-depth application of generative artificial intelligence (Gen AI) in the field of knowledge management (KM), the traditional intellectual property (IP) system is facing serious challenges. The AI-driven knowledge production model blurs the clear boundaries of traditional IP ownership, resulting in increased uncertainty in the distribution of rights and an aggravation of the imbalance in the pattern of interests.",medium,None identified,None identified,None identified,Yes,"this study innovatively proposes an optimization framework of 'technology-law-governance': develop an interpretable contribution tracking algorithm at the technical level, and construct a causal mapping of data-model-knowledge assets; At the legal level, a mixed ownership structure is designed to balance private rights protection and public access through hierarchical rights confirmation. At the governance level, a global coordination mechanism has been established to use smart contracts to achieve real-time distribution of cross-border IP rights.",high,interpretable contribution tracking algorithm; smart contracts,"Artificial Intelligence and Intelligent Computation; Distributed, Secure, and Trust Technologies",Conceptual Framework,"This integrated solution aims to reconstruct the IP system in the AI era, promote technological innovation while maintaining the sustainability and fairness of the knowledge ecosystem.",high,Undisposed,False
02ed5772-480c-4d39-9c25-93dfd5c3826f,No,"The paper aims to identify health-promoting interventions for schoolchildren through physical education using digital media, without discussing capturing or retaining knowledge from individuals or organizations.",medium,None identified,None identified,None identified,No,"The paper discusses the use of digital media in physical education, but does not discuss using digital technologies to capture or retain tacit knowledge.",medium,None identified,None identified,Literature review,The aim of the current systematic literature review was therefore to identify health-promoting interventions for schoolchildren through physical education using digital media.,high,Undisposed,False
031b0569-8ce1-4810-b33f-4cfc3789380e,No,"The paper is a systematic review evaluating empirical evidence on digital history teaching effectiveness at the undergraduate level, not on capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,high,Yes,The included studies employed diverse digital interventions ranging from collaborative wiki platforms to augmented reality applications.,high,collaborative wiki platforms; augmented reality applications,"Cyber-Physical Systems, IoT, and Smart Environments; Mobile, Social, and Communication Technologies",Literature review,This systematic review addresses this critical gap by evaluating empirical evidence on digital history teaching effectiveness at the undergraduate level.,high,Undisposed,False
032cfa55-1e3b-42f2-ad79-a5709b015a38,Yes,"This research examines the intersection of artificial intelligence (AI) capabilities with knowledge management practices, focusing on the potential of AI to overcome organizational silos.",high,institutional knowledge,Collective Tacit Knowledge,medium,Yes,"The study employs a mixed-method approach, including a systematic literature review, content analysis of implementation cases, and comparative analysis, focusing on the potential of AI to overcome organizational silos.",high,artificial intelligence (AI),Artificial Intelligence and Intelligent Computation,Empirical Study,"The study employs a mixed-method approach, including a systematic literature review, content analysis of implementation cases, and comparative analysis.",high,Undisposed,True
03915b58-efc3-4836-a583-e249ce7fec9a,No,"The study focuses on analyzing the practice of the flipped classroom, teachers' perceptions, identifying the obstacles encountered and evaluating the concrete effects of this approach on learner engagement, autonomy and learning. It does not explicitly discuss capturing or retaining knowledge from individuals or organization environment.",high,None identified,None identified,None identified,No,"The study focuses on analyzing the practice of the flipped classroom, teachers' perceptions, identifying the obstacles encountered and evaluating the concrete effects of this approach on learner engagement, autonomy and learning. It does not explicitly discuss using digital technologies to capture or retain knowledge.",high,None identified,None identified,Empirical Study,"To achieve this, a quantitative study based on two questionnaires was administered to a sample of 376 participants, comprising: 234 teachers of physical sciences and life and earth sciences from different regions of Morocco and 142 learners of core science subjects, while a didactic experiment was conducted with 142 pupils in the core science programmed over a period of 12 hours, following the flipped classroom model incorporating educational technologies.",high,Undisposed,False
0395cb5e-b92e-4a36-a2ab-80cd1d90c45a,No,"The abstract discusses using a hybrid model of Deep Belief Network (DBN) enhanced Extreme Learning Machine (ELM) for fault diagnosis in chillers, but does not mention capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,Yes,The abstract mentions the use of a hybrid model of Deep Belief Network (DBN) enhanced Extreme Learning Machine (ELM) for fault diagnosis in chillers.,high,Deep Belief Network (DBN) enhanced Extreme Learning Machine (ELM); Particle Swarm Optimization (PSO),Artificial Intelligence and Intelligent Computation,Empirical Study,"Finally, the experimental results of the real chiller are shown that the hybrid model can maintain a high diagnosis accuracy in the case of the number of training data set is small and has the highest accuracy and robustness compared with models such as ELM, Support Vector Machines (SVM) and K-Nearest Neighbor (KNN).",high,Undisposed,False
03cf1e97-a0bf-49b8-a486-4da9bf11c75e,Yes,"The findings highlight that microlearning, integrated with digital tools such as online platforms, mobile apps, and short videos, significantly enhances student motivation, performance, and interaction; content in short modules facilitates knowledge retention and connects concepts to real-life situations.",high,content in short modules facilitates knowledge retention and connects concepts to real-life situations,Other(content in short modules facilitates knowledge retention and connects concepts to real-life situations),medium,Yes,"The findings highlight that microlearning, integrated with digital tools such as online platforms, mobile apps, and short videos, significantly enhances student motivation, performance, and interaction",high,online platforms; mobile apps; short videos,"Mobile, Social, and Communication Technologies",Literature review,"This systematic review analyzed the role of microlearning in basic education, identifying the most widely used Digital Information and Communication Technologies, relevant learning theories, and the role of social technologies from a Science, Technology, Society, and Environment (STSE) perspective. Following PRISMA 2020, searches were conducted in Web of Science, Scopus, ERIC, and IEEE Xplore databases.",high,Undisposed,False
03dca3b5-cdd3-4ee8-8ab1-ccd34527c221,No,"The paper explores the synergistic potential of AR and AI technologies in education, highlighting their capacity to create an education environment that caters to diverse requirements, but does not explicitly discuss capturing or retaining knowledge from individuals or organizations.",medium,None identified,None identified,None identified,Yes,"The integration of Augmented Reality (AR) and Artificial Intelligence (AI) in education has emerged as a transformative approach to enhancing student engagement and personalized learning experiences. AI has accelerated the growth of AR dramatically. This paper explores the synergistic potential of AR and AI technologies, highlighting their capacity to create an education environment that cater to diverse requirements of education.",medium,Augmented Reality (AR); Artificial Intelligence (AI),Human–Computer Interaction and Immersive Technologies; Artificial Intelligence and Intelligent Computation,Conceptual Framework,"This paper explores the synergistic potential of AR and AI technologies, highlighting their capacity to create an education environment that cater to diverse requirements of education. By examining existing literature and presenting a comprehensive framework for implementation, this study underscores the importance of ethical considerations and the evolving role of educators in AI-augmented environments.",medium,Undisposed,False
03ebe64b-74a7-466c-8a5d-d27c5e5384a7,Yes,"The research investigates how a mobile application enhances tourists' learning about Tang Sancai, promoting active participation, critical reflection, and context-rich outdoor learning experiences, which revealed that participants using the application significantly outperformed those using conventional digital tools in knowledge retention, comprehension, and experiential learning outcomes.",high,Knowledge about Tang Sancai,Collective Tacit Knowledge,medium,Yes,"The application integrates activity-based exploration, reflective multimedia content, and immersive simulation scenarios to promote active participation, critical reflection, and context-rich outdoor learning experiences.",high,mobile application; activity-based exploration; reflective multimedia content; immersive simulation scenarios,"Human–Computer Interaction and Immersive Technologies; Mobile, Social, and Communication Technologies",Empirical Study,"Controlled experiments using pre- and post-tests and questionnaires revealed that participants using the application significantly outperformed those using conventional digital tools in knowledge retention, comprehension, and experiential learning outcomes.",high,Undisposed,True
03f7e093-8c0d-4796-9247-d2640f04ff76,Yes,"This study aims to design and validate a knowledge management model tailored to the specific needs of KBEs in Iran, fostering improved business performance and competitiveness. The findings indicate that the implementation of the knowledge management model can significantly improve the performance of knowledge-based enterprises in Iran. This model focuses on enhancing knowledge repositories, streamlining business processes, and strengthening competitive capabilities.",high,"managerial leadership, knowledge workers, a knowledge-oriented culture, and organizational learning",Collective Tacit Knowledge,high,No,"The qualitative data were analyzed using grounded theory methodology, while the quantitative data were analyzed using Partial Least Squares (PLS) analysis to validate the proposed knowledge management model.",low,None identified,None identified,Empirical Study,"The qualitative phase involved in-depth interviews with 21 managers from knowledge-based enterprises in Iran, selected through theoretical sampling. In the quantitative phase, data were collected from 140 experts from these enterprises, chosen using simple random sampling. Data collection was carried out via interviews and questionnaires.",high,Undisposed,False
0405e7f9-9fb3-49f2-a4f4-02b352d25474,No,"This paper introduces AI-driven memory scripts, an innovative approach that structures learning materials using mind mapping, storytelling, humor, music, and visual techniques to enhance recall. Rather than replacing human-led instructional methods, AI acts as a technical communication aid, applying natural language processing (NLP) and machine learning to generate personalized, structured memory scripts aligned with individual learning styles.",medium,None identified,None identified,None identified,Yes,"AI acts as a technical communication aid, applying natural language processing (NLP) and machine learning to generate personalized, structured memory scripts aligned with individual learning styles.",high,natural language processing (NLP); machine learning,Artificial Intelligence and Intelligent Computation,Conceptual Framework,"While this approach remains conceptual, it provides a compelling framework for scalable, learner-centered educational design.",medium,Undisposed,False
044493d0-ea49-4c66-abc0-dde4fbd7c7d1,Yes,This research develops and evaluates a mixed-reality (MR) system using Microsoft HoloLens to offer health education on neck health.,high,"immersive and interactive design of the HoloLens system, which fosters engagement and motivates users by connecting educational content to personal relevance and curiosity",Somatic Tacit Knowledge,medium,Yes,This research develops and evaluates a mixed-reality (MR) system using Microsoft HoloLens to offer health education on neck health.,high,mixed-reality (MR) system using Microsoft HoloLens,Human–Computer Interaction and Immersive Technologies,Empirical Study,The HoloLens group further evaluated the system using the System Usability Scale (SUS) and the Questionnaire for User Interaction Satisfaction (QUIS).,high,Undisposed,True
044a28e6-570f-4610-89be-fa201e9b2865,No,The study aimed to explore the use of podcasts within paramedic education to enhance learner experience. Qualitative and quantitative data were collected through an online survey.,medium,None identified,None identified,None identified,Yes,Podcasts are being increasingly incorporated into healthcare education programmes... A live teaching session was replaced with three podcast episodes uploaded to a virtual learning environment.,high,podcasts,"Mobile, Social, and Communication Technologies",Empirical Study,This action research study involved apprentice paramedics enrolled in a modular-based bachelor's degree programme... Qualitative and quantitative data were collected through an online survey.,high,Undisposed,False
048d279c-0826-4776-8f60-b9d347648b2c,Yes,"this study explores how artificial intelligence (AI) influences employee knowledge sharing and employee engagement, particularly in the context of SMEs. The findings reveal a positive relationship between artificial intelligence, knowledge sharing, and employee engagement. Furthermore, this study identifies the influences of AI adoption on knowledge sharing and examines how knowledge sharing impacts employee engagement.",high,employee knowledge sharing,Relational Tacit Knowledge,medium,Yes,"this study explores how artificial intelligence (AI) influences employee knowledge sharing and employee engagement, particularly in the context of SMEs.",high,artificial intelligence (AI),Artificial Intelligence and Intelligent Computation,Empirical Study,The researchers applied Structural Equation Modelling (SEM) for data analysis of approximately 125 targeted workers in the selected region of Malaysia.,high,Undisposed,True
