uuid,kr_flag,kr_evidence,kr_confidence,tacit_knowledge,TK_normalized,TK_confidence,DT_flag,DT_evidence,DT_confidence,Digital_Technologies,DT_normalized,article_type,article_type_evidence,article_type_confidence
d1d65721-8f69-4b3e-a4b8-876d6ae37e71,No,The abstract focuses on the effectiveness of a virtual interprofessional pain management workshop. It does not discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,The study evaluates the outcomes of a virtual interprofessional pain management workshop delivered via a virtual platform.,high,virtual platform,"Mobile, Social, and Communication Technologies",Empirical Study,"Professional students from medical laboratory science, nurse anesthesia, occupational therapy, pathologists’ assistant, pharmacy, physical therapy, physician assistant, radiologic technology, and radiation therapy technology programs (n=1,047) were included. The impact of the interprofessional education workshop on the students’ learning was captured via multiple assessment tools including changes in 1) knowledge acquisition, 2) interprofessional behaviors and skills (Interprofessional Collaborative Competency Attainment Survey, ICCAS), and 3) post-workshop achievement of learning objectives and evaluation of workshop activities.",high
4d599183-0632-4616-b89f-68a9fa90eda0,Yes,"The study explores how tacit knowledge sharing influences innovation performance, focusing on green intellectual capital, AI, and resource commitment. It discusses the strategic integration of tacit knowledge and advanced technologies.",high,tacit knowledge sharing; green intellectual capital,Relational Tacit Knowledge; Collective Tacit Knowledge,high,Yes,"The study examines the role of AI in influencing how tacit knowledge interacts with green intellectual capital, which consists of green human, relational, and structural capital.",high,AI,Artificial Intelligence and Intelligent Computation,Empirical Study,"To examine these relationships, a survey was conducted in three phases among small and medium-sized manufacturing firms in Canada and the UAE, collecting data from 317 UAE and 383 Canadian SMEs. The findings show that GIC plays a key role in linking tacit knowledge sharing to IP, while AI influences how tacit knowledge interacts with GIC.",high
0fa51e2c-5011-411a-8fa5-8ce794ce420e,Yes,"A predictive digital twin creates a virtual model using data from various stakeholders to forecast outcomes, support decision-making for efficient resource allocation, and benchmark operational effectiveness. Digital twins can leverage blockchain technology to enable secure and decentralized data exchange while ensuring privacy and regulatory compliance.",high,Data from various stakeholders; operational effectiveness; decision-making,Relational Tacit Knowledge,medium,Yes,Digital twins; blockchain technology; federated learning,high,blockchain technology; federated learning,"Distributed, Secure, and Trust Technologies; Artificial Intelligence and Intelligent Computation",Empirical Study,"Our dynamic and iterative approach is validated through three distinct applications: digitized cancer images, voice recordings from Parkinson’s disease patients, and a more generalized application for collaborative supplier selection, evaluating factors such as price, quality, and customer feedback.",high
fb7f09e0-99b8-40bf-8590-c53fc0a85b02,No,"The study focuses on the use of machine learning and feature selection to predict the amount of salt and MSG in complex food liquids, but does not discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,None identified,No,"The study uses machine learning and feature selection, but these are not used to capture or retain tacit knowledge.",high,None identified,None identified,Empirical Study,"The constructed models exhibited exceptional predictive performance. For predicting the additive amount of salt, the models achieved R-squared (R2) values exceeding 0.98, ratio of performance to deviation (RPD) values greater than 8.5, and range error ratio (RER) values surpassing 24.0.",high
0bdbdf5a-10f3-4633-ae73-066c0ab5a413,No,"The study investigates the impact of different VR interaction modalities on the acquisition of theoretical medical knowledge, but does not discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,None identified,No,"The study uses VR technology, but it is not used to capture or retain tacit knowledge.",high,None identified,None identified,Empirical Study,"ANOVA was utilized to examine the influence of interactions on variables of interest, while SEM was applied to assess the predicted learning process.",high
646bca0d-1044-414e-97e3-b1435d3e5729,No,"The study examines the impact of AR on middle school students' enjoyment, epistemic emotions, and learning, but does not discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,None identified,No,"The study uses AR technology, but it is not used to capture or retain tacit knowledge.",high,None identified,None identified,Empirical Study,"A quasi-experimental field study collected data from N = 47 middle school students. Students were assigned to two conditions and either learned about the solar system with AR or with static images, both on a tablet.",high
87f0c717-acd7-4f19-a158-48dbe12e5afc,No,"The study describes a DNP student's experience using a generative AI tool to supplement traditional study strategies and improve learning outcomes, but does not discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,None identified,No,"The study uses a generative AI tool, but it is not used to capture or retain tacit knowledge.",high,None identified,None identified,Case Study,"This case narrative outlines how Chat Generative Pre-trained Transformer (ChatGPT), an AI tool, was integrated into a first-year DNP student’s daily study routines for concept simplification, reinforcement through repetition, and clarification of complex content.",high
ebb150aa-4ca0-41b5-bd86-2de671c6e2e7,Yes,The research investigates how knowledge acquisition and sharing abilities influence company performance by examining the mediating roles of innovation culture and technology innovation strategy in AI companies operating in Istanbul/Turkey Technoparks.,high,Knowledge acquisition and sharing abilities; innovation culture; technology innovation strategy,Relational Tacit Knowledge,medium,No,"The study discusses the use of digital technologies in AI companies, but does not explicitly state that these technologies are used to capture or retain tacit knowledge.",high,None identified,None identified,Empirical Study,Data were collected through face-to-face surveys from 329 senior managers and directors in AI-focused companies located in Technoparks in Istanbul. The collected data were analyzed to test the hypothesized mediation effects.,high
d41abff9-a005-4e92-b2e7-a2fab5c682cf,No,The study focuses on the experiences and confidence of physical therapists after completing an e-learning course. It does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,None identified,No,The study discusses the use of an e-learning course but does not explicitly mention the use of digital technologies to capture or retain tacit knowledge.,high,None identified,None identified,Empirical Study,This qualitative study with semi-structured interviews involved 20 Portuguese-speaking physical therapists. Data were analysed using a content analysis method proposed by Bardin.,high
ff14e49e-6752-4bde-a669-0194172c6e7b,No,"The study discusses the use of AI-driven transliteration for interdisciplinary learning and research, but it does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,None identified,Yes,The study uses AI-driven transliteration of historical documents to enable interdisciplinary learning and research.,high,Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,Conceptual Framework,"Using the literature criticism method, we set the general framework and highlight the necessity of crossdisciplinary approaches to engage and prepare students and support scholarly endeavors.",medium
63d3c601-dad0-4ddf-9157-b8ec2acbb726,No,The study explores the pedagogical and methodological aspects of integrating multimedia visual resources into the educational process but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,None identified,Yes,The study uses multimedia visual resources to enhance teaching effectiveness.,high,Human–Computer Interaction and Immersive Technologies,Human–Computer Interaction and Immersive Technologies,Empirical Study,"The study underscores the transition from passive to active learning strategies through the application of multimedia technologies, emphasizing their potential to increase cognitive engagement and knowledge retention among students.",medium
f7dbc01c-bc51-45a2-8345-5549267e0e9c,No,The study proposes a novel meta-surrogate framework for many-task offline optimization but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,None identified,Yes,The study uses large language models (LLMs) as a meta-surrogate for offline data-driven many-task optimization.,high,Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,Empirical Study,"Experimental results demonstrate the model's emergent generalization ability, including zero-shot performance on problems with unseen dimensions. When integrated into evolutionary transfer optimization (ETO), our framework supports dual-level knowledge transfer—at both the surrogate and individual levels—enhancing optimization efficiency and robustness.",high
c2c42ab0-0991-4e65-8e71-43b4db48ea32,No,The study examines the use of digital twin (DT) and Internet of things (IoT) technologies in Ghanaian engineering education but does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,None identified,Yes,The study uses digital twin (DT) and Internet of things (IoT) technologies to enhance engineering learning.,high,"Cyber-Physical Systems, IoT, and Smart Environments","Cyber-Physical Systems, IoT, and Smart Environments",Empirical Study,"In a quasi-experimental mixed-methods design with 158 students from six institutions, results showed that students with exposure to DT+IoT experienced substantial technical knowledge acquisition, practical skills, participation, and motivation related to control groups.",high
6882e45c-ea8b-4349-84e8-129baf0df184,Yes,The study proposes a computer-assisted digital expression of flow functional genes and an intelligent integrated innovative design approach to enhance the accuracy of acquisition and integration efficiency of design knowledge during the conceptual design stage.,high,Functional knowledge is extracted from patents and represented as F-FGs; Design knowledge from diverse fields is extracted in the form of flow functional gene (F-FG),Relational Tacit Knowledge,high,Yes,"The study uses computer digital encoding technology and image generation technology for the digital representation and storage of F-FGs, and image similarity matching algorithms for the screening process of digital F-FGs.",high,"Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems","Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems",Empirical Study,"Taking the design process of a water surface garbage cleaning system as an example, the feasibility and effectiveness of this method were verified.",high
1460fa91-7f92-4d45-9e43-10fc06a8fb1a,No,The study focuses on integrating AI with cognitive load theory and multimedia learning to enhance e-learning systems. It does not explicitly discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,The study integrates Artificial Intelligence (AI) with Cognitive Load Theory (CLT) and the Cognitive Theory of Multimedia Learning (CTML) to enhance Open Distance eLearning (ODeL) systems. This includes AI-mediated adjustments to manage cognitive load and enhance schema development through personalized feedback and tailored content delivery.,high,Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,Conceptual Framework,This article proposes a novel conceptual framework that integrates Artificial Intelligence (AI) with Cognitive Load Theory (CLT) and the Cognitive Theory of Multimedia Learning (CTML) to enhance Open Distance eLearning (ODeL) systems. The study does not collect or analyze any new data.,high
e27d4a88-45e9-4cb6-9fb0-105f9b423bb2,No,The study focuses on a novel static decoupling algorithm for six-axis force and moment sensors. It does not explicitly discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,"The paper proposes the Force Mixture Broad Learning System (FM-BLS) for static decoupling of six-axis F/M sensors, which uses adaptive enhancements including structural modifications and error-driven weight embedding.",high,Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,Empirical Study,"A comprehensive comparison is made between the proposed algorithm and existing methodologies, including Least Squares (LS), Support Vector Regression (SVR), Backpropagation Neural Networks (BPNN), Extreme Learning Machine (ELM), and other related methods. Experimental results demonstrate the performance of the proposed algorithm.",high
9da8b7f4-7ac8-4039-813f-2890f6dd268c,No,The study discusses the integration of e-learning software and virtual simulation tools in maritime engineering education. It does not explicitly discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,"The research discusses integrating e-learning software and virtual simulation tools as cutting-edge means to improve maritime engineering training. Virtual simulations and e-learning platforms are used to enhance student involvement, knowledge retention, and practical skill attainment.",high,"Human–Computer Interaction and Immersive Technologies; Data, Information, and Knowledge Systems","Human–Computer Interaction and Immersive Technologies; Data, Information, and Knowledge Systems",Empirical Study,"A mixed-methods design was utilized, linking a recent literature review with case studies and survey data from maritime academies using digital learning environments. The findings indicate that virtual simulations and e-learning platforms significantly improve students' comprehension and practical skills.",high
103b7357-edf7-4038-be9b-002f1b634376,No,The study assesses the utilization of e-learning facilities by science education educators and learners at postsecondary institutions. It does not explicitly discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,The research assesses the use of e-learning resources to improve learners' comprehension of scientific courses. E-learning resources are used to a moderate extent in the instruction and knowledge acquisition of science in postsecondary institutions.,high,"Data, Information, and Knowledge Systems","Data, Information, and Knowledge Systems",Empirical Study,"A descriptive survey research methodology was employed, and one research question and one research hypothesis guided the study. Descriptive statistics were employed, including calculation of mean scores, standard deviations, frequencies, and percentages. A t-test was used to evaluate the hypothesis.",high
db1cec75-d88a-45ee-b0d5-da957a543fe2,No,The study discusses the potential impact of GPT-like technologies on the academic ecosystem. It does not explicitly discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,"The study discusses the potential impact of GPT (generative pre-trained transformer) technologies, such as OpenAI’s ChatGPT, Microsoft’s New Bing, and Google’s Bard, on academia. These technologies could become a new way of retrieving knowledge, generating high-quality natural language drafts, and assisting with various academic tasks.",high,Artificial Intelligence and Intelligent Computation,Artificial Intelligence and Intelligent Computation,Literature review,"In light of this, we have undertaken a summary and discussion of the potential impact of GPT-like technologies on academia. The study reviews and discusses the history and impact of GPT technology on the academic ecosystem but does not collect or analyze any new data.",high
22c5b5e9-593c-4449-9ea3-a68eeb14eda1,No,The study explores the drivers of the integration of virtual reality into construction safety training in Ghana. It does not explicitly discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,The research takes a quantitative approach toward the determination and exploration of the determinants for VR uptake for safety training. Virtual reality (VR) is used to enhance both the level of safety and the effectiveness of safety training.,high,Human–Computer Interaction and Immersive Technologies,Human–Computer Interaction and Immersive Technologies,Empirical Study,Standardized questionnaires were distributed to sample a cross-section of Ghanaian construction professionals. Exploratory factor analysis (EFA) was used to find areas of commonality regarding the drivers of VR use in construction safety training.,high
a0ce1896-88bb-458b-9d68-ac4cda4ff27a,No,The abstract focuses on the integration and modeling of multi-center data through knowledge transfer calibration and does not explicitly discuss capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,None identified,Yes,"The abstract mentions the use of a Knowledge Calibration Fusion and Label Space Graph Regularization-based Multi-center TSK Fuzzy System, which involves digital technologies to enhance knowledge sharing and reduce data distribution discrepancies.",high,Knowledge Calibration Fusion and Label Space Graph Regularization-based Multi-center TSK Fuzzy System; projected maximum mean discrepancy (PMMD) transfer term,"Data, Information, and Knowledge Systems; Rule-Based, Decision, and Expert Systems",Empirical Study,"Experimental results on thirteen benchmark datasets demonstrate that KCF-LSG-MTSK achieves an average accuracy of 88.7%, significantly outperforming state-of-the-art single-center and multi-center methods.",high
e00ed4bb-576c-4d33-b285-66aecc27db60,No,The abstract discusses the impact of multiscreen utilization on workplace learning and performance but does not explicitly mention capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,None identified,No,The abstract does not mention any specific digital technologies used to capture or retain tacit knowledge.,high,None identified,None identified,Empirical Study,"Using survey data from 245 professionals in Pakistan’s telecommunications sector, moderation and mediation analyses reveal that multiscreen utilization positively shapes knowledge flows and responsiveness, and that organizational culture significantly strengthens these effects.",high
aae615f3-a6f1-4747-97a1-917ac7f2714c,No,The abstract discusses the development of a framework for online customer knowledge absorptive capacity but does not explicitly mention capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,None identified,Yes,"The abstract mentions the use of new technological channels such as social media, mobile applications, and AI chatbots to absorb online customer knowledge.",high,social media; mobile applications; AI chatbots,"Human–Computer Interaction and Immersive Technologies; Mobile, Social, and Communication Technologies; Artificial Intelligence and Intelligent Computation",Conceptual Framework,"This study aims to address this gap by developing a comprehensive framework for KAC and offering actionable, strategic insights to help organizations better absorb and utilize customer knowledge.",high
e327f913-0d8f-4869-a5bb-5d81bd34683c,No,"The abstract investigates the impact of ICT adoption and use on knowledge acquisition, organizational performance, and corporate entrepreneurship but does not explicitly mention capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,None identified,Yes,"The abstract mentions the use of information and communication technology (ICT) adoption and use to enhance knowledge acquisition, organizational performance, and corporate entrepreneurship.",high,information and communication technology (ICT),"Distributed, Secure, and Trust Technologies; Mobile, Social, and Communication Technologies",Empirical Study,"The research employs a quantitative, correlational design with a probabilistic sample of 110 firms, applying partial least squares structural equation modeling (PLS-SEM) to evaluate the proposed hypotheses.",high
935a841c-5502-4bd8-acfa-5e76e0920bc4,No,The abstract examines the growth of KM in construction research and how its integration with PM and HRM might improve organizational resilience but does not explicitly mention capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,None identified,No,The abstract does not mention any specific digital technologies used to capture or retain tacit knowledge.,high,None identified,None identified,Literature review,"This staged review included bibliometric analysis and narrative synthesis. A bibliometric mapping of Scopus and Web of Science peer-reviewed literature (1998–2024) identified publishing trends and thematic clusters, followed by rigorous screening and narrative synthesis of the final corpus.",high
59c80cdb-3f3e-49b2-8716-fd45f7bbf8cd,Yes,"The abstract discusses the governance of knowledge processes at a technology business incubator, which involves enabling knowledge creation and transfer, indicating the capture and retention of knowledge from experts and practitioners.",high,knowledge creation and transfer from experts and practitioners to startups,Relational Tacit Knowledge,high,No,The abstract does not mention any specific digital technologies used to capture or retain tacit knowledge.,high,None identified,None identified,Case Study,"This paper investigates micro-level processes of knowledge governance at a decade-old technology business incubator (TBI) in India. Adopting the nested case-analysis approach, this paper applies process tracing using in-depth interviews of key stakeholders.",high
13a09e2d-3153-4a12-b9a6-54dca0ed1d19,No,"The abstract discusses the need for higher education institutions to reevaluate infrastructure strategies, data governance policies, and institutional knowledge-sharing mechanisms. It does not explicitly discuss capturing or retaining tacit knowledge from individuals or organizations.",high,None identified,None identified,None identified,Yes,"The abstract mentions cloud-based infrastructures, blockchain-enhanced security, and hybrid knowledge-sharing ecosystems, which are digital technologies used in knowledge management.",high,cloud-based infrastructures; blockchain-enhanced security; hybrid knowledge-sharing ecosystems,"Distributed, Secure, and Trust Technologies; Data, Information, and Knowledge Systems; Others(*)",Conceptual Framework,"The abstract presents a methodological framework and structured analysis of knowledge management framework development, but does not mention collecting or analyzing any new data.",high
a8ae335a-afc3-4db6-b347-0fed66f82c30,No,"There is no abstract available, so there is no evidence to support capturing or retaining tacit knowledge from individuals or organizations.",low,None identified,None identified,None identified,No,"There is no abstract available, so there is no evidence to support the use of digital technologies to capture or retain tacit knowledge.",low,None identified,None identified,Other(*),"There is no abstract available, so the article type cannot be determined with confidence.",low
1a901e6d-d3e3-4b0b-9cfe-a42816fc3725,Yes,The abstract discusses the use of Knowledge Management Systems (KMS) and Artificial Intelligence (AI) to understand Business Intelligence (BI) and Marketing Capability (MC). This implies capturing and retaining knowledge from organizations.,high,Business Intelligence (BI) and Marketing Capability (MC),Collective Tacit Knowledge,medium,Yes,The abstract mentions the use of Knowledge Management Systems (KMS) and Artificial Intelligence (AI) to enhance business intelligence and marketing capabilities.,high,Knowledge Management Systems (KMS); Artificial Intelligence (AI),"Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",Empirical Study,The abstract states that the study uses a quantitative approach and gathers data from top management via a structured questionnaire.,high
1fee803c-48b7-4b81-a162-20e489503a6b,Yes,"The abstract discusses how generative artificial intelligence (GenAI) can help firms overcome challenges in knowledge integration and rapid innovation iteration within circular supply chains, implying the capture and retention of knowledge.",high,knowledge integration and rapid innovation iteration,Collective Tacit Knowledge,medium,Yes,The abstract mentions the use of generative artificial intelligence (GenAI) to drive value regeneration in the circular economy.,high,generative artificial intelligence (GenAI),Artificial Intelligence and Intelligent Computation,Empirical Study,The abstract states that the study uses partial least squares structural equation modeling (PLS-SEM) and survey data from 371 Chinese firms.,high
671592ac-07fd-4cdf-9303-f18c92fa1a76,Yes,"The abstract discusses how newly created knowledge is transformed into dynamic capabilities, implying the capture and retention of knowledge.",high,newly created knowledge,Collective Tacit Knowledge,medium,No,The abstract does not mention the use of digital technologies to capture or retain tacit knowledge.,high,None identified,None identified,Empirical Study,The abstract states that the study uses a sample from the Chinese high-tech industry covering 370 enterprises and examines the model and hypotheses with structural equation modeling (SEM) and bootstrap methods.,high
50f86aa0-d337-4f72-9a30-55063e03ecd0,No,The abstract discusses the effects of integrated STEM education on K12 students' achievements and does not explicitly discuss capturing or retaining tacit knowledge from individuals or organizations.,high,None identified,None identified,None identified,No,The abstract does not mention the use of digital technologies to capture or retain tacit knowledge.,high,None identified,None identified,Literature review,The abstract states that this is a meta-analysis synthesizing research findings on the effects of integrated STEM education implemented in K12 settings.,high
a42c16de-4acc-4f11-af9e-27dabfb5d8b7,No,The study focuses on the potential of gamified e-Learning platforms and advanced intelligent technologies to create personalized and inclusive educational experiences for neurodivergent students. It does not discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,None identified,Yes,"The study discusses the use of advanced intelligent technologies, adaptive gamification, multisensory content delivery, personalized feedback, AI-driven analytics, reinforcement learning, and generative AI to improve engagement and learning outcomes for neurodivergent students.",high,advanced intelligent technologies; adaptive gamification; multisensory content delivery; personalized feedback; AI-driven analytics; reinforcement learning; generative AI,"Artificial Intelligence and Intelligent Computation; Human–Computer Interaction and Immersive Technologies; Data, Information, and Knowledge Systems; Others(*)",Literature review,"This systematic literature review investigates the potential of gamified e-Learning platforms, enhanced by advanced intelligent technologies, to create personalized and inclusive educational experiences for neurodivergent students. Following the PRISMA protocol, this study analyzed 82 studies published between 2020 and 2024 from Scopus, Web of Science, and Google Scholar databases, focusing on gamification in e-Learning and its effectiveness for neurodivergent learners.",high
e143f918-9d93-4014-819e-c42dbd0d5a42,No,"The study evaluates the effectiveness of a structured BLS training program for dental residents, including theoretical, practical, and video-based instruction components. It does not discuss capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,No,"The study uses preparatory videos as part of the training, but these are not used to capture or retain tacit knowledge.",high,None identified,None identified,Empirical Study,"A total of 151 volunteer dental residents participated in a structured BLS training program conducted between May 14-17, 2024. Training included theoretical lectures, hands-on practice on mannequins, and a preparatory video covering BLS interventions for adults, children, and infants. Knowledge acquisition was measured using pre-tests, post-tests, and a retention test one month after training.",high
