uuid,kr_flag,kr_evidence,kr_confidence,tacit_knowledge,TK_normalized,TK_confidence,DT_flag,DT_evidence,DT_confidence,Digital_Technologies,DT_normalized,article_type,article_type_evidence,article_type_confidence,ic_label
00d2db31-975c-4a74-b0fd-795ca782f354,No,"The abstract discusses using an AR sand table to improve retention of remote sensing knowledge, but this is about learning and knowledge retention in students, not about capturing or retaining knowledge from individuals or the organizational environment.",high,None identified,None identified,high,No,"The AR sand table is used for teaching and learning, not for capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,Empirical Study,"The abstract describes a between-subjects design with experimental groups and a control group, evaluating approximately 400 participants to assess impact on knowledge retention.",high,False
00e7a588-358c-49d0-bab4-3154939e6fc6,No,"The abstract discusses the implementation of certainty-based marking (CBM) in assessments to enhance metacognitive awareness and self-assessment skills in students. It does not discuss capturing or retaining knowledge from individuals or the organizational environment. The focus is on student learning and assessment, not on knowledge management from experts or organizational knowledge bases.",high,None identified,None identified,high,No,"The abstract mentions using an AI assistant (Claude 3.5) to develop the assessment tool, but this is for creating the assessment, not for capturing or retaining knowledge. It states: 'The CBM assessment tool was developed with an artificial intelligence (AI) assistant, Claude 3.5, with prompts focused on functional rather than technical requirements.' This is about tool development, not knowledge capture or retention.",high,None identified,None identified,Empirical Study,"The abstract describes a study with data collection and analysis: 'Answers from 195 students were analyzed, and significant improvements were observed in performance measures and certainty indices from the pretest to the posttest. Following the assessment, students completed a survey to evaluate their perceptions...' This involves collecting and analyzing primary data (student answers, survey responses) for statistical analysis.",high,False
00f043d7-72dd-427c-87d4-171f65a7d6c9,No,"The abstract describes an online education platform (TCMA) delivering TCM courses, but does not discuss capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,high,No,"The abstract mentions e-learning techniques (video chunking, interactive quizzes, worksheets) and technology to track learner progress, but not for capturing or retaining knowledge.",high,None identified,None identified,Case Study,"The abstract describes the TCM Academy platform as a specific case: 'This article presents the educational strategies and global impact of the TCM Academy (TCMA), an online platform' with detailed results from its operation.",high,False
01910235-8e06-4a80-9790-550a018f4c08,Yes,"The study discusses how digital human avatars facilitate 'knowledge acquisition, dissemination and usage across various sectors and business units globally' and enhance 'marketing knowledge management capabilities'. This implies capturing and retaining knowledge from the organizational environment.",medium,"Marketing knowledge management capabilities; knowledge acquisition, dissemination and usage across various sectors and business units globally",Collective Tacit Knowledge,medium,Yes,"The study explicitly states that digital human avatars integrate advanced technologies to transform user interactions and facilitate knowledge acquisition, dissemination, and usage. The avatars themselves are the digital technology used for this purpose.",high,digital human avatars,Human–Computer Interaction and Immersive Technologies,Empirical Study,The abstract describes using thematic analysis on data from 'in-depth interviews with fourteen executives of digital human avatars developer companies worldwide and analysis of ten podcasts and webinars with artificial intelligence (AI) experts.' This involves collecting and analyzing primary qualitative data.,high,True
019beb73-f659-4562-adae-5734b2e4d234,No,"The abstract discusses evaluating composite repair technology and integrating design equations, but does not discuss capturing or retaining knowledge from individuals or organizational environment. It focuses on testing and design optimization.",high,None identified,None identified,high,No,No digital technologies are discussed for capturing or retaining knowledge. The study focuses on physical testing of composite repair materials.,high,None identified,None identified,Empirical Study,"The abstract describes 'A full-scale testing program was conducted' and includes 'cyclic pressure and burst testing at elevated temperatures', indicating primary data collection through experiments.",high,False
01e7006d-5f61-488b-a1eb-705f06e03e8d,Yes,"The abstract discusses evaluating knowledge retention in a multidisciplinary training course on waiting list management. It states: 'The analysis revealed significant participant knowledge retention (z = -8.09, p < 0.001)', indicating the study explicitly addresses retaining knowledge from individuals.",high,None identified,None identified,None identified,No,"The abstract mentions a virtual learning environment (VLE) for course delivery, but does not specify that digital technologies were used to capture or retain tacit knowledge. The focus is on knowledge retention measurement, not capture via technology.",medium,None identified,None identified,Empirical Study,"The abstract states: 'This methodological study involved two phases of the ADDIE instructional design model... Data were collected using questionnaires and VLE-generated reports and were analyzed using descriptive statistics and the Wilcoxon test', indicating data collection and statistical analysis.",high,False
01f4cf94-e128-46fe-a293-97ffee66a542,Yes,"The abstract explicitly investigates 'the impact of augmented reality (AR) training modules on knowledge retention in corporate settings', focusing on retaining knowledge from training, which involves capturing knowledge from the organizational environment.",high,"Knowledge retention from corporate training, including employees' engagement, interactive learning environments, and Fintech training content.",Relational Tacit Knowledge,medium,Yes,"The abstract explicitly states 'augmented reality (AR) training modules' are used to enhance knowledge retention, indicating digital technology is used to capture and retain knowledge.",high,augmented reality (AR) training modules,Human–Computer Interaction and Immersive Technologies,Empirical Study,"The abstract states: 'This study uses a quantitative technique by using a structured survey to collect data from participants in service sectors in the UAE' and 'A SEM analysis tool was used to test the relationship', indicating primary data collection and statistical analysis.",high,True
01f6a5db-ebf5-4ace-88e1-35a58c10dc19,Yes,"The abstract discusses creating an open-access repository and platform that 'curates an open-access repository comprising research publications, technical articles, data sets, and educational resources' and 'fostering student-led research'. This implies capturing and retaining knowledge from students and professionals in the aerospace field.",medium,"Research methodologies and analytical writing skills cultivated through hands-on experience in conducting research, writing articles, and publishing work",Collective Tacit Knowledge,medium,Yes,The abstract describes a digital platform that 'curates an open-access repository' and 'publishes an e-magazine with timely updates'. This indicates digital technologies are used to archive and disseminate knowledge.,medium,open-access repository; e-magazine,"Data, Information, and Knowledge Systems",Other(*),"The abstract describes an initiative/platform: 'AnuBrahman... has evolved into a dynamic, accessible platform...'. It does not present new data analysis or a theoretical framework; it describes the platform's features and goals.",medium,False
021ed716-706c-4c81-b6b5-00c651420f4c,No,"The abstract focuses on heart disease prediction using a machine learning model, not on capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,high,No,"The abstract uses machine learning for classification, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract describes using a dataset, extracting features, and evaluating performance metrics, indicating empirical data analysis.",high,False
02458a9a-d91d-4d5b-8c49-3a6f68288582,No,"The abstract discusses an Intrusion Detection System (IDS) for smart home networks using AI, machine learning, and IoT. It focuses on detecting anomalies and security threats, not on capturing or retaining knowledge from individuals or the organizational environment.",high,None identified,None identified,high,No,"The abstract does not discuss using digital technologies to capture or retain tacit knowledge. The technologies mentioned (AI, machine learning, IoT) are used for intrusion detection, not knowledge retention.",high,None identified,None identified,Other(Technical System/Algorithm Proposal),"The abstract describes a proposed method/system (IDS module) combining Artificial Immune System, Extreme Learning Machine, and IoT. It does not mention data collection, case studies, surveys, or literature synthesis. It presents a technical solution.",medium,False
02545cfc-356f-4c10-bc11-d46b37a2242b,No,"The abstract discusses SDR technology in education and learning scenarios, but does not discuss capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,low,No,"The abstract mentions SDR technology used in laboratories for learning, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract presents two learning scenarios and reports statistical results (73.13%, 96%) from knowledge tests, indicating data collection and analysis.",high,False
0265d89e-f186-48ab-9879-a0597f9dc38e,No,"The abstract discusses jadeite origin recognition using ensemble learning, but does not discuss capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,high,No,"The abstract mentions weighted extreme learning machine, AdaBoost, and incremental learning for classification, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract states 'through the (LA-ICP-MS) trace element data set' and 'The recognition accuracy of integrated learning algorithm is more than 80%', indicating analysis of data.",high,False
026f5cb7-1f89-4071-b039-725e4851597a,No,The abstract is a personal reflection on interacting with AI and does not discuss capturing or retaining knowledge from individuals or organizational environments.,high,None identified,None identified,high,No,"The abstract mentions ChatGPT as a tool for interaction, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Other(Reflective Essay),"The abstract describes 'A short reflection of personal engagement' and does not present data, a framework, or a literature review.",high,False
027d0e8f-1697-4742-bec0-fa660e53fbd8,Yes,"The abstract discusses using machine learning to detect students' learning preferences in a mixed reality environment to provide personalized learning experiences, which involves capturing knowledge about individual learning preferences from the learning environment.",high,Students' learning preferences,Relational Tacit Knowledge,medium,Yes,"The abstract explicitly states using 'machine learning techniques on eye-tracking data' and classifiers (Ensemble, Neural Network, KNN) to detect students' learning preferences in a mixed reality environment.",high,Machine learning techniques; Ensemble classifier; Neural Network; K-Nearest Neighbors (KNN); eye-tracking data,Artificial Intelligence and Intelligent Computation,Empirical Study,"The abstract mentions 'nineteen undergraduate students participated in hands-on activities' and 'questionnaires on learning preferences were used to assess individual learning preferences', indicating primary data collection and analysis.",high,True
0290b53b-5207-416f-a379-9d7b3d6bb8e9,No,The abstract investigates students' perceptions and experiences with ChatGPT in education. It does not discuss capturing or retaining knowledge from individuals or the organizational environment.,high,None identified,None identified,high,No,"The abstract discusses ChatGPT as a tool used by students for academic purposes, but not for the purpose of capturing or retaining knowledge from individuals or the organization.",high,None identified,None identified,Empirical Study,"The abstract describes a 'quantitative, cross-sectional survey design' with '168 SLT students' and data analysis using 'descriptive statistics, independent t-tests, and one-way ANOVA'. This involves collecting and analyzing primary data for statistical analysis.",high,False
02c13ebd-476f-4160-8657-5d9a7139de15,No,"The abstract discusses challenges to the traditional IP system from generative AI in knowledge management, focusing on ownership and rights distribution. It does not discuss capturing or retaining knowledge from individuals or the organization environment.",high,None identified,None identified,high,No,"The abstract mentions generative AI and smart contracts as technologies, but these are discussed in the context of IP attribution and rights distribution, not for capturing or retaining tacit knowledge from individuals or organizations.",high,None identified,None identified,Conceptual Framework,"The abstract proposes an optimization framework of 'technology-law-governance' and discusses solutions, but does not present new data collection or analysis. It is a systematic review and proposal.",high,False
02ed5772-480c-4d39-9c25-93dfd5c3826f,No,The abstract is a systematic literature review focusing on health promotion interventions using digital media in physical education. It does not discuss capturing or retaining knowledge from individuals or organizations.,high,None identified,None identified,high,No,"The abstract reviews digital media types like apps, video feedback, and online physical education but does not mention using them to capture or retain tacit knowledge.",high,None identified,None identified,Literature review,"The abstract states 'a systematic literature review was conducted' and '17 empirical studies were included in the review', indicating a synthesis of existing literature without new data collection.",high,False
031b0569-8ce1-4810-b33f-4cfc3789380e,No,"The abstract is a systematic review of digital history pedagogy effectiveness, focusing on student engagement and learning outcomes, not on capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,None identified,No,The abstract does not discuss using digital technologies to capture or retain tacit knowledge.,high,None identified,None identified,Literature review,"The abstract states 'This systematic review addresses this critical gap by evaluating empirical evidence on digital history teaching effectiveness' and follows PRISMA guidelines, synthesizing existing literature without new data collection.",high,False
032cfa55-1e3b-42f2-ad79-a5709b015a38,Yes,"The abstract explicitly states the research examines 'the potential of AI to overcome organizational silos' and focuses on 'capturing, transferring, and utilizing institutional knowledge', indicating a clear focus on knowledge capture and retention.",high,institutional knowledge,Collective Tacit Knowledge,medium,Yes,"The abstract discusses 'the intersection of artificial intelligence (AI) capabilities with knowledge management practices' and 'AI integration in knowledge management', implying digital technologies are used for knowledge capture and transfer.",high,artificial intelligence (AI),Artificial Intelligence and Intelligent Computation,Literature review,"The abstract states: 'The study employs a mixed-method approach, including a systematic literature review, content analysis of implementation cases, and comparative analysis.' This indicates synthesis of existing literature and cases, not new primary data collection.",high,False
03915b58-efc3-4836-a583-e249ce7fec9a,No,"The abstract focuses on implementing the flipped classroom to improve student engagement, autonomy, and learning. It does not discuss capturing or retaining knowledge from individuals or the organization environment; it is about teaching methodology.",high,None identified,None identified,None identified,No,"The abstract mentions 'educational technologies' in the context of the flipped classroom, but these are used for teaching delivery, not for capturing or retaining tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract describes a quantitative study with questionnaires (376 participants) and a didactic experiment (142 pupils) with pre/post tests comparing control and experimental groups, collecting and analyzing data for statistical analysis.",high,False
0395cb5e-b92e-4a36-a2ab-80cd1d90c45a,No,The abstract focuses on fault diagnosis for chiller refrigerant undercharge using a hybrid model (DBN enhanced ELM). It does not discuss capturing or retaining knowledge from individuals or the organization environment.,high,None identified,None identified,high,No,"The abstract describes using IoT intelligent terminal, Deep Belief Network, Extreme Learning Machine, and Particle Swarm Optimization for fault diagnosis, but these are not used to capture or retain tacit knowledge from individuals or organizations.",high,None identified,None identified,Empirical Study,"The abstract states 'experimental data of normal operation and refrigerant undercharge fault of chillers in an industrial park are collected' and reports quantitative results (e.g., 'comprehensive accuracy rate of the model reaches 99.86%'), indicating an empirical study with data collection and analysis.",high,False
03cf1e97-a0bf-49b8-a486-4da9bf11c75e,No,"The abstract discusses microlearning's role in enhancing student motivation, performance, and knowledge retention, but does not discuss capturing or retaining knowledge from individuals or organizational environments. It focuses on pedagogical outcomes, not knowledge preservation.",high,None identified,None identified,high,No,"Digital technologies (online platforms, mobile apps, short videos) are mentioned as tools for microlearning delivery, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Literature review,"The abstract states 'This systematic review analyzed the role of microlearning in basic education' and describes a systematic review process following PRISMA 2020, with searches in databases and qualitative content analysis of existing studies.",high,False
03dca3b5-cdd3-4ee8-8ab1-ccd34527c221,No,"The abstract discusses AR and AI integration in education for personalized learning, but does not discuss capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,low,No,"The abstract mentions AR and AI technologies used for education, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Literature review,"The abstract examines existing literature and presents a comprehensive framework, but does not collect or analyze new data.",high,False
03ebe64b-74a7-466c-8a5d-d27c5e5384a7,Yes,"The abstract discusses enhancing tourists' learning about Tang Sancai heritage, with outcomes including 'knowledge retention, comprehension, and experiential learning outcomes', and the mobile application is designed to promote 'active participation, critical reflection, and context-rich outdoor learning experiences', implying capture of cultural knowledge.",high,experiential learning outcomes related to Tang Sancai cultural heritage,Collective Tacit Knowledge,medium,Yes,"The abstract explicitly states that a 'mobile application, grounded in experiential learning theory, enhances tourists' learning about Tang Sancai' and that the application integrates 'activity-based exploration, reflective multimedia content, and immersive simulation scenarios' to promote learning and knowledge retention.",high,mobile application,"Mobile, Social, and Communication Technologies",Empirical Study,The abstract states: 'Controlled experiments using pre- and post-tests and questionnaires revealed that participants using the application significantly outperformed those using conventional digital tools...' This indicates collection and analysis of primary data for statistical analysis.,high,True
03f7e093-8c0d-4796-9247-d2640f04ff76,Yes,"The abstract explicitly discusses designing a knowledge management model to improve business performance in knowledge-based enterprises, focusing on enhancing knowledge repositories, streamlining business processes, and strengthening competitive capabilities. This implies capturing and retaining knowledge from the organizational environment.",high,"The abstract does not specify a particular type of tacit knowledge; it broadly discusses knowledge management practices. However, the focus on 'knowledge repositories' and 'knowledge-oriented culture' suggests capturing knowledge that may include tacit elements, but no specific tacit knowledge is identified.",None identified,low,No,"The abstract mentions 'knowledge management model' and 'knowledge repositories' but does not specify any digital technologies used to capture or retain tacit knowledge. It discusses factors like leadership and culture, not specific technologies.",medium,None identified,None identified,Empirical Study,"The abstract states 'This research adopts an exploratory mixed-methods approach, integrating both qualitative and quantitative techniques' with interviews and questionnaires, and data analysis using grounded theory and PLS, indicating primary data collection and analysis.",high,False
0405e7f9-9fb3-49f2-a4f4-02b352d25474,No,"The abstract discusses AI-driven memory scripts to enhance learning and exam preparation, but does not discuss capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,high,No,"Digital technologies (NLP, machine learning) are used to generate personalized memory scripts, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Conceptual Framework,"The abstract states the approach 'remains conceptual' and 'provides a compelling framework', indicating no new data collection.",high,False
044493d0-ea49-4c66-abc0-dde4fbd7c7d1,No,"The abstract discusses developing a mixed-reality system for health education, focusing on knowledge acquisition and engagement. It does not explicitly discuss or strongly imply capturing or retaining knowledge from individuals or organizational environment.",high,None identified,None identified,high,No,"While MR technology is used for education, the abstract does not discuss using digital technologies to capture or retain tacit knowledge. The system delivers educational content but does not capture knowledge from individuals.",high,None identified,None identified,Empirical Study,The abstract states: 'Twenty participants were randomly assigned to two groups... Participants completed a 9-item knowledge test and semi-structured interviews... The HoloLens group further evaluated the system using the System Usability Scale (SUS) and the Questionnaire for User Interaction Satisfaction (QUIS)'. This indicates primary data collection and analysis.,high,False
044a28e6-570f-4610-89be-fa201e9b2865,No,"The study explores the use of podcasts to enhance learner experience in paramedic education, focusing on accessibility, engagement, and flexibility for knowledge acquisition, not on capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,high,No,"Podcasts are used as an educational tool for delivering content, but not for capturing or retaining tacit knowledge from individuals or organizations.",high,None identified,None identified,Empirical Study,"The abstract describes an action research study with apprentice paramedics, using an online survey to collect qualitative and quantitative data, analyzed using reflexive thematic analysis and descriptive statistics.",high,False
048d279c-0826-4776-8f60-b9d347648b2c,No,"The abstract explores how AI influences employee knowledge sharing and employee engagement in SMEs. It focuses on sharing behavior and engagement, not on capturing or retaining knowledge from individuals or the organization.",high,None identified,None identified,high,No,"AI is studied as a factor influencing knowledge sharing and engagement, but the abstract does not describe using digital technologies to capture or retain knowledge. The focus is on AI's role in facilitating sharing, not preservation.",high,None identified,None identified,Empirical Study,The researchers applied Structural Equation Modelling (SEM) for data analysis of approximately 125 targeted workers in the selected region of Malaysia.,high,False
04b71f2a-f5cf-45ce-9f6d-a23235b01bbb,No,"The abstract discusses Industry 4.0 adoption and dynamic capabilities, focusing on impacts on organization–industry actor relationships and the need for adaptive strategies like knowledge acquisition and talent development. It does not explicitly discuss or strongly imply capturing or retaining knowledge from individuals or the organizational environment.",high,None identified,None identified,high,No,The abstract mentions Industry 4.0 as a technological phenomenon but does not discuss specific digital technologies used to capture or retain knowledge.,high,None identified,None identified,Case Study,"The abstract states: 'A qualitative method was used. Semi-structured, open-ended face-to-face and online interviews were conducted with 18 directors, managers and chief executive officers (CEOs) of Savico, a leading Vietnamese car dealership.' This indicates data collection from a specific case.",high,False
04bf1762-b1c6-4d0b-8d8b-99b4d0f384e3,No,"The abstract focuses on multi-task federated learning for UAVs, optimizing bandwidth allocation, and task performance. It does not discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,high,No,"The study uses federated learning and UAVs for training models, but not for capturing or retaining knowledge. The focus is on training performance and communication efficiency.",high,None identified,None identified,Conceptual Framework,The abstract proposes a UAV-assisted multi-task federated learning scheme with convergence analysis and simulation results. It does not mention collecting primary or secondary data from real-world cases or experiments with human subjects.,medium,False
04c83932-70a5-41c0-b634-e3c27b7728bf,No,"The abstract is a systematic literature review on the use of Extended Reality for public understanding of science. It focuses on engagement and science literacy, not on capturing or retaining knowledge from individuals or organizations.",high,None identified,None identified,high,No,"The abstract discusses XR technologies (AR, VR) for science communication, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Literature review,"The abstract states 'A systematic literature review was conducted on the use of XR technologies for public understanding of science' and 'A total of 92 empirical studies... were included in the final analysis', indicating synthesis of existing literature without new data collection.",high,False
04cb4ecc-0de4-4ab5-95f8-aa7c89afb841,Yes,"The abstract explicitly discusses preserving traditional medical knowledge and addressing 'potential knowledge loss'. It describes digitizing ancient medical recipe books, fine-tuning an LLM, and using NFTs and blockchain to capture and retain this knowledge.",high,"traditional and indigenous medical knowledge, including treatments, recipes, prescriptions, and healing methods from ancient medical recipe books and practitioners",Collective Tacit Knowledge,medium,Yes,"The abstract explicitly describes using Generative AI (custom-trained Meta's Llama2 LLM), Blockchain, Self-Sovereign Identity (SSI), Non-Fungible Tokens (NFTs), and model cards to capture, preserve, and share traditional medical knowledge.",high,Generative AI (custom-trained Meta's Llama2 LLM); Blockchain; Self-Sovereign Identity (SSI); Non-Fungible Tokens (NFTs); model cards,"Distributed, Secure, and Trust Technologies",Conceptual Framework,"The abstract describes introducing 'WedaGPT, a Generative AI-enabled platform' and its features, but does not mention collecting or analyzing any new data. It presents a proposed system design and framework.",medium,False
04db5978-d8cc-403d-b30e-fcbe23ea0dd6,No,The abstract describes a service-learning intervention where university students taught biomechanics to high school students. It assesses perceptions and knowledge retention but does not discuss capturing or retaining knowledge from individuals or the organizational environment for organizational purposes.,high,None identified,None identified,high,No,"No digital technologies are used to capture or retain tacit knowledge, as no tacit knowledge capture or retention is discussed.",high,None identified,None identified,Empirical Study,"The abstract states 'This study examined university and high school students’ perceptions...' and 'self-assessment reliability was calculated', indicating data collection and analysis.",high,False
04de2a08-58c3-44a9-b64c-3d0a8927d1c4,No,"The abstract explores behavioral determinants of ChatGPT usage among students, focusing on knowledge acquisition and application. It does not discuss capturing or retaining knowledge from individuals or organizational environments.",high,None identified,None identified,high,No,"The abstract mentions ChatGPT as an AI chatbot, but not for capturing or retaining tacit knowledge.",high,None identified,None identified,Empirical Study,"The abstract describes an investigation into behavioral determinants, mentioning 'self-learning capabilities', 'individual impact', and 'behavioral intentions', which implies data collection and analysis (e.g., surveys). The abstract states: 'This study is undertaken against this backdrop to explore the behavioral determinants...' and discusses correlations, indicating empirical research.",medium,False
051a4465-7bea-4f65-95c5-3594462e7753,Yes,"The abstract explicitly discusses preserving ethnobotanical knowledge: 'Passing on of ethnobotanical knowledge orally is becoming a less common practice, thus resulting in knowledge loss for the future generation. Hence, it is crucial to digitally preserve ethnobotanical knowledge.'",high,Traditional plant knowledge of Ovahimba communities,Collective Tacit Knowledge,high,Yes,"The abstract states: 'a mobile ethnographic app was implemented, enabling indigenous communities to collect and curate their own data', which is a digital technology used to preserve and retain knowledge.",high,mobile ethnographic app,"Mobile, Social, and Communication Technologies",Case Study,"The abstract states: 'the main objective of this project was to develop a digital tool with indigenous communities living in Kunene' and 'Following a community-based co-design approach and an iterative prototyping development', indicating a specific case with deep contextual insight.",high,True
