uuid,kr_flag,kr_evidence,kr_confidence,tacit_knowledge,TK_normalized,TK_confidence,DT_flag,DT_evidence,DT_confidence,Digital_Technologies,DT_normalized,Doc_type,Doc_type_confidence,ic_label
0bdbdf5a-10f3-4633-ae73-066c0ab5a413,No,None identified,high,Not Specific,Not Specific,high,Yes,VR-based learning process using the modified Cognitive Affective Model of Immersive Learning (CAMIL).,high,VR; CAMIL,Human–Computer Interaction and Immersive Technologies,empirical study,high,False
646bca0d-1044-414e-97e3-b1435d3e5729,No,None identified,high,Not Specific,Not Specific,high,Yes,"AR triggered learners' enjoyment and epistemic emotions. Students learned about the solar system with AR or with static images, both on a tablet.",high,AR,Human–Computer Interaction and Immersive Technologies,empirical study,high,False
87f0c717-acd7-4f19-a158-48dbe12e5afc,No,None identified,high,Not Specific,Not Specific,high,Yes,"Chat Generative Pre-trained Transformer (ChatGPT), an AI tool, was integrated into a first-year DNP student’s daily study routines for concept simplification, reinforcement through repetition, and clarification of complex content.",high,ChatGPT,Artificial Intelligence and Intelligent Computation,case study,high,False
ebb150aa-4ca0-41b5-bd86-2de671c6e2e7,Yes,knowledge acquisition and sharing abilities influence company performance by examining the mediating roles of innovation culture and technology innovation strategy in AI companies operating in Istanbul/Turkey Technoparks.,high,knowledge acquisition; knowledge sharing,Cognitive tacit knowledge; Collective and relational tacit knowledge,high,No,None identified,high,None identified,None identified,empirical study,high,False
d41abff9-a005-4e92-b2e7-a2fab5c682cf,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,qualitative study,high,False
ff14e49e-6752-4bde-a669-0194172c6e7b,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,conceptual paper,high,False
63d3c601-dad0-4ddf-9157-b8ec2acbb726,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
f7dbc01c-bc51-45a2-8345-5549267e0e9c,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
c2c42ab0-0991-4e65-8e71-43b4db48ea32,No,None identified,high,Not Specific,Not Specific,high,Yes,use of digital twin (DT) and Internet of things (IoT) technologies in Ghanaian engineering education to mitigate skill shortages and enhance workforce preparedness,high,digital twin (DT); Internet of things (IoT),"Cyber-Physical Systems, IoT, and Smart Environments; Others(*)",empirical study,high,False
6882e45c-ea8b-4349-84e8-129baf0df184,No,None identified,high,Not Specific,Not Specific,high,Yes,computer-assisted digital expression of flow functional genes and an intelligent integrated innovative design approach,high,computer-assisted digital expression of flow functional genes; intelligent integrated innovative design approach,Artificial Intelligence and Intelligent Computation; Others(*),conceptual paper,high,False
1460fa91-7f92-4d45-9e43-10fc06a8fb1a,No,None identified,high,Not Specific,Not Specific,high,Yes,integrates Artificial Intelligence (AI) with Cognitive Load Theory (CLT) and the Cognitive Theory of Multimedia Learning (CTML) to enhance Open Distance eLearning (ODeL) systems,high,Artificial Intelligence (AI); Cognitive Load Theory (CLT); Cognitive Theory of Multimedia Learning (CTML); Open Distance eLearning (ODeL) systems,"Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems; Human–Computer Interaction and Immersive Technologies",conceptual paper,high,False
696ed597-3a91-473e-bd6a-55b7e6141d67,No,None identified,high,Not Specific,Not Specific,high,Yes,"leveraging augmented reality (AR) through a mobile application, SmartSelFuel, to enhance students’ interest in fuel cell education",high,"augmented reality (AR); mobile application, SmartSelFuel","Human–Computer Interaction and Immersive Technologies; Mobile, Social, and Communication Technologies",empirical study,high,False
e27d4a88-45e9-4cb6-9fb0-105f9b423bb2,No,None identified,high,Not Specific,Not Specific,high,Yes,Force Mixture Broad Learning System (FM-BLS) for static decoupling of six-axis F/M sensors,high,Force Mixture Broad Learning System (FM-BLS),Artificial Intelligence and Intelligent Computation,empirical study,high,False
9da8b7f4-7ac8-4039-813f-2890f6dd268c,No,None identified,high,Not Specific,Not Specific,high,Yes,integrating e-learning software and virtual simulation tools as cutting-edge means to improve maritime engineering training,high,e-learning software; virtual simulation tools,"Data, Information, and Knowledge Systems; Human–Computer Interaction and Immersive Technologies",empirical study,high,False
103b7357-edf7-4038-be9b-002f1b634376,No,None identified,high,Not Specific,Not Specific,high,Yes,utilisation of e-learning facilities by science education educators and learners at postsecondary institutions,high,e-learning facilities,"Data, Information, and Knowledge Systems",empirical study,high,False
db1cec75-d88a-45ee-b0d5-da957a543fe2,No,None identified,high,Not Specific,Not Specific,high,Yes,"GPT (generative pre-trained transformer) technologies, such as OpenAI’s ChatGPT, Microsoft’s New Bing, and Google’s Bard, could become a new way of retrieving knowledge, by making scientific knowledge more accessible to all and helping to share research results",high,GPT (generative pre-trained transformer) technologies; OpenAI’s ChatGPT; Microsoft’s New Bing; Google’s Bard,Artificial Intelligence and Intelligent Computation,conceptual paper,high,False
22c5b5e9-593c-4449-9ea3-a68eeb14eda1,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
a0ce1896-88bb-458b-9d68-ac4cda4ff27a,No,None identified,high,Not Specific,Not Specific,high,Yes,Knowledge Calibration Fusion and Label Space Graph Regularization-based Multi-center TSK Fuzzy System (KCF-LSG-MTSK),high,Knowledge Calibration Fusion and Label Space Graph Regularization-based Multi-center TSK Fuzzy System (KCF-LSG-MTSK),"Rule-Based, Decision, and Expert Systems",empirical study,high,False
e00ed4bb-576c-4d33-b285-66aecc27db60,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
aae615f3-a6f1-4747-97a1-917ac7f2714c,Yes,"absorbing online customer knowledge as a key priority for marketing managers; developing a comprehensive framework for KAC and offering actionable, strategic insights to help organizations better absorb and utilize customer knowledge",high,knowledge about the customer; knowledge from the customer,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Other(*)",high,Yes,"social media, mobile applications, and AI chatbots",high,"social media, mobile applications, and AI chatbots","Human–Computer Interaction and Immersive Technologies; Artificial Intelligence and Intelligent Computation; Mobile, Social, and Communication Technologies",conceptual paper,medium,False
18b12690-ee09-462f-9cb9-d8c52d615cb5,Yes,To construct a nursing informatics intelligent question-answering system based on generative artificial intelligence and conduct preliminary study for applying and testing; enhancing the reliability of the content output by the DeepSeek-V3 model; the system could improve knowledge acquisition efficiency and facilitates better understanding of nursing informatics research trends and academic exchange information,high,nursing informatics knowledge; knowledge acquisition efficiency; understanding of nursing informatics research trends and academic exchange information,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Adaptive tacit knowledge(Situational problem-solving, other)",high,Yes,generative artificial intelligence; DeepSeek-V3 model; fastGPT platform,high,generative artificial intelligence; DeepSeek-V3 model; fastGPT platform,"Artificial Intelligence and Intelligent Computation; Rule-Based, Decision, and Expert Systems",empirical study,high,True
e327f913-0d8f-4869-a5bb-5d81bd34683c,Yes,"ICT adoption exerts a significant influence on organizational performance, knowledge acquisition, and corporate entrepreneurship; knowledge acquisition is confirmed as a mediating construct that transforms digital capabilities into organizational learning and innovation",high,organizational performance; knowledge acquisition; corporate entrepreneurship; organizational learning and innovation,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Adaptive tacit knowledge(Situational problem-solving, other)",high,Yes,information and communication technology (ICT) adoption and use,high,information and communication technology (ICT) adoption and use,"Mobile, Social, and Communication Technologies",empirical study,high,True
935a841c-5502-4bd8-acfa-5e76e0920bc4,Yes,"Knowledge management (KM) is crucial for organisational success in volatile, uncertain, and ambiguous environments; its integration with PM and HRM might improve organisational resilience; social interaction, governance, and digital capability development",high,organisational success; organisational resilience; social interaction; governance; digital capability development,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Collective and relational tacit knowledge (Teamwork know-how, other); Adaptive tacit knowledge(Situational problem-solving, other)",high,Yes,digital capability development,medium,digital capability development,Others(*),literature review,high,False
59c80cdb-3f3e-49b2-8716-fd45f7bbf8cd,Yes,"the effectiveness of business incubators critically depends upon their ability to enable knowledge creation and transfer; an effective alignment between the nature of knowledge transactions, governance needs and governance mechanisms is crucial",high,knowledge creation; knowledge transfer; knowledge transactions; governance needs; governance mechanisms,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Adaptive tacit knowledge(Situational problem-solving, other)",high,No,None identified,high,None identified,None identified,case study,high,False
13a09e2d-3153-4a12-b9a6-54dca0ed1d19,Yes,"leverage advanced analytical methods to develop and implement innovative digital solutions; reevaluate infrastructure strategies, data governance policies, and institutional knowledge-sharing mechanisms; distributed systems integration, and strategic knowledge management dynamics",high,advanced analytical methods; infrastructure strategies; data governance policies; institutional knowledge-sharing mechanisms; distributed systems integration; strategic knowledge management dynamics,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Adaptive tacit knowledge(Situational problem-solving, other)",high,Yes,"cloud-based infrastructures, blockchain-enhanced security, or hybrid knowledge-sharing ecosystems",high,"cloud-based infrastructures, blockchain-enhanced security, or hybrid knowledge-sharing ecosystems","Distributed, Secure, and Trust Technologies; Others(*)",conceptual paper,medium,False
a8ae335a-afc3-4db6-b347-0fed66f82c30,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,Others(*),low,False
1a901e6d-d3e3-4b0b-9cfe-a42816fc3725,Yes,The use of Knowledge Management Systems (KMS) and Artificial Intelligence (AI) remains limited in developing countries. These technologies can help organizations understand their Business Intelligence (BI) and Marketing Capability (MC).,high,"Knowledge Acquisition (KA), Knowledge Sharing (KS), and Knowledge Application (KAP)",Cognitive tacit knowledge; Somatic tacit knowledge; Collective and relational tacit knowledge,high,Yes,"The study breaks down KMS into three key components: Knowledge Acquisition (KA), Knowledge Sharing (KS), and Knowledge Application (KAP), examining how each affects BIC. Additionally, AI serves as a moderator between the KA, application, and BICs, which also positively influence MC.",high,Knowledge Management Systems (KMS); Artificial Intelligence (AI),"Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems",empirical study,high,True
1fee803c-48b7-4b81-a162-20e489503a6b,Yes,generative artificial intelligence (GenAI) may help firms overcome persistent challenges in knowledge integration and rapid innovation iteration within circular supply chains.,high,knowledge integration; rapid innovation iteration,Cognitive tacit knowledge; Adaptive tacit knowledge,high,Yes,"Using partial least squares structural equation modeling (PLS-SEM) and survey data from 371 Chinese firms, we find that GenAI has a positive effect on circular supply chain practices, both directly and indirectly.",high,generative artificial intelligence (GenAI); partial least squares structural equation modeling (PLS-SEM),"Artificial Intelligence and Intelligent Computation; Rule-Based, Decision, and Expert Systems",empirical study,high,True
671592ac-07fd-4cdf-9303-f18c92fa1a76,Yes,"Drawing on the routine-based view and knowledge-based view, this study is designed to construct a comprehensive model to explain the intricate process that new knowledge is transformed into dynamic capabilities.",high,newly created knowledge,Cognitive tacit knowledge,high,No,None identified,low,None identified,None identified,empirical study,high,False
50f86aa0-d337-4f72-9a30-55063e03ecd0,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,literature review,high,False
a42c16de-4acc-4f11-af9e-27dabfb5d8b7,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,literature review,high,False
e143f918-9d93-4014-819e-c42dbd0d5a42,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,empirical study,high,False
adcc11b7-3e77-4440-b60c-2f6fce9fecb6,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,empirical study,high,False
4435f049-72b6-498e-8bfb-1dcd407674ba,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,empirical study,high,False
c0d46c51-510d-4025-b63f-f27995cf1b12,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,literature review,high,False
c04c9120-c22a-44f1-a577-0c7af8a9a765,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,empirical study,high,False
a0f4741f-d1c2-4dd7-ab37-cb94cd3ff82d,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,conceptual paper,high,False
a23301bc-3635-4b2e-a383-61ca6c310476,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
ff2b8d39-5fe5-48dc-a22f-1bdbad9191b0,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
dff6925d-e541-48e9-9a3f-0d0fd4065976,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
4bda5386-0a35-42b8-a907-aeaab8ee5a0d,Yes,"The model proposes the use of wearables for collecting data in real-time, adapting context and delivering tailored content which improves learning by providing educational materials that suit the environment and activities the learner is engaged in at that precise time.",medium,Situational problem-solving; Experiential know-how,Adaptive tacit knowledge; Somatic tacit knowledge,medium,Yes,"The model proposes the use of wearables for collecting data in real-time, adapting context and delivering tailored content which improves learning by providing educational materials that suit the environment and activities the learner is engaged in at that precise time. Through multimodal sensor fusion, natural language processing, and adaptive learning techniques, the system offers timely motivational feedback with relevant information.",high,Wearables; Multimodal sensor fusion; Natural language processing; Adaptive learning techniques,"Human–Computer Interaction and Immersive Technologies; Data, Information, and Knowledge Systems; Artificial Intelligence and Intelligent Computation",conceptual paper,high,False
b633d1dc-b865-4fac-8acd-879d6b4043cf,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,conceptual paper,high,False
16261321-a81f-43cf-ae94-cb46bb554a64,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
3a90405b-f54a-46fb-84d8-298840c9028c,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,conceptual paper,high,False
2de139e3-f737-44e1-a331-8cc430ff5e8a,Yes,"This study addresses this gap by conducting a three-month ethnographic study of two community organizations in South Bend, Indiana, complemented by semi-structured interviews, revealing the informal, ad-hoc KM methods CSWs use to manage information flows. Using a human-socio-technical KM framework, we compare these practices with the more structured KM systems found in large corporations, identifying key differences in formality and technological integration.",high,"Informal, ad-hoc KM methods; Information flows",Collective and relational tacit knowledge; Other(*),high,No,None identified,high,None identified,None identified,empirical study,high,False
26e2c865-3a26-4535-966c-44c06febaa34,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
a3af3709-16ee-4c87-91d5-a096f78a338a,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
e54edafa-280c-4ce8-8433-8f01643cfe0f,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,literature review,high,False
bcd81b3d-e455-46a4-85fe-b6585d83df25,Yes,"Spreadsheet collaboration provides valuable opportunities for learning and expertise sharing between colleagues. Sharing expertise is essential for the retention of important technical skillsets within organisations, but previous studies suggest that spreadsheet experts often fail to disseminate their knowledge to others.",high,technical skillsets; spreadsheet expertise,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)",high,No,None identified,high,None identified,None identified,empirical study,high,False
6ef2abda-f033-47de-9067-6ec8d5fbc5d8,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
c242ce76-d230-4a9b-b8b0-85765379f512,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
7d61ae54-4cf8-4418-b55f-f01192238313,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
7adde5db-931e-4db0-a538-eb795e1ee2cb,Yes,"The article reframes knowledge not as static content but as operational infrastructure, capable of reducing training costs by 20–40%, mitigating risk, and preserving expertise at scale.",high,expertise,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)",high,Yes,AI-enabled knowledge management platforms; Knowledge Retention Boards (KRBs) as a structured mechanism for capturing institutional knowledge,high,AI-enabled knowledge management platforms; Knowledge Retention Boards (KRBs),"Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems",conceptual paper,high,False
92db91a6-21cd-4308-ad1c-1647e897aa95,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
f0483c70-fdc9-4fce-b952-ec10321bfea7,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
0be01157-03a7-40b7-b025-bdeb2ae83709,No,None identified,high,Not Specific,Not Specific,high,No,None identified,high,None identified,None identified,empirical study,high,False
eae3afa9-3d08-4e43-b42d-e9bc52ce91a2,Yes,This study examines how distinct categories of work stressors influence physicians' knowledge-sharing behaviors. ... we developed a new deep learning model to detect physicians' stress levels while categorizing stressor types at the same time.,high,knowledge-sharing behaviors; physicians' stress levels; stressor types,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)",medium,Yes,we developed a new deep learning model to detect physicians' stress levels while categorizing stressor types at the same time.,high,deep learning model,Artificial Intelligence and Intelligent Computation,empirical study,high,True
3706010a-2c89-44ed-8131-9a04afc046f5,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,empirical study,high,False
157e8aad-2e2d-4c88-8d57-ef288cdc4326,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,empirical study,high,False
f83b6f91-8e0c-4930-82c6-90c77c5afeb5,Yes,"monitoring students' knowledge acquisition has become crucial. ... To address this gap, this study developed a Bayesian Knowledge Tracing (BKT) model specifically designed for tracking college students' English reading skills.",high,students' knowledge acquisition; English reading skills,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)",medium,Yes,"To address this gap, this study developed a Bayesian Knowledge Tracing (BKT) model specifically designed for tracking college students' English reading skills.",high,Bayesian Knowledge Tracing (BKT) model,"Rule-Based, Decision, and Expert Systems",empirical study,high,True
55110361-428c-4650-a9ed-5f80b8f6aae4,No,None identified,low,Not Specific,Not Specific,low,Yes,"The use of immersive technology, especially Augmented Reality (AR), is transforming teaching methods by establishing dynamic and interactive learning spaces.",high,Augmented Reality (AR),Human–Computer Interaction and Immersive Technologies,empirical study,high,False
9a52e70d-8ee2-4328-9b50-1097effd9f21,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,empirical study,high,False
e25fddac-0657-4452-a08a-e08e6db51f2b,Yes,"Based on the sequential data of students’ learning process, this paper constructs a deep knowledge tracking model to predict students’ mastery of knowledge points. According to students’ knowledge acquisition, the use of generative AI is further proposed to optimize the corresponding teaching strategies.",high,students’ mastery of knowledge points; students’ knowledge acquisition,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)",medium,Yes,"Based on the sequential data of students’ learning process, this paper constructs a deep knowledge tracking model to predict students’ mastery of knowledge points. ... the use of generative AI is further proposed to optimize the corresponding teaching strategies.",high,deep knowledge tracking model; generative AI,"Artificial Intelligence and Intelligent Computation; Rule-Based, Decision, and Expert Systems",empirical study,high,True
5446e584-5403-4f37-83f1-e7867e994fbc,No,None identified,low,Not Specific,Not Specific,low,No,None identified,low,None identified,None identified,conceptual paper,high,False
3d2e88fb-ff28-4601-8017-124570ea82,No,None identified,low,Not Specific,Not Specific,low,Yes,This study analyzes the effects of augmented reality technology on teaching English as a second language. ... AR technology enables language tutors to blend time-tested teaching approaches with interactive activities.,high,augmented reality technology,Human–Computer Interaction and Immersive Technologies,empirical study,high,False
a0faa309-d9ce-4ab9-b655-1c0eb43aa010,Yes,"The subject matter of the article is the development of a universal structural-functional model of computerized learning systems that integrates learner, learning, and explanation models. ... The goal of the work is to develop a universal structural-functional learning system model that combines modern adaptive algorithms, integrates psychological and cognitive aspects, and introduces new approaches to long-term knowledge retention.",high,"learner, learning, and explanation models; long-term knowledge retention","Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)",medium,Yes,"The subject matter of the article is the development of a universal structural-functional model of computerized learning systems that integrates learner, learning, and explanation models. ... The goal of the work is to develop a universal structural-functional learning system model that combines modern adaptive algorithms, integrates psychological and cognitive aspects, and introduces new approaches to long-term knowledge retention.",high,universal structural-functional model of computerized learning systems; modern adaptive algorithms; psychological profiling algorithms; knowledge actualization methods,"Artificial Intelligence and Intelligent Computation; Data, Information, and Knowledge Systems; Human–Computer Interaction and Immersive Technologies",empirical study,high,True
10e101b7-3037-487a-8ae0-44336dc20be0,No,"The abstract focuses on the effects of IT platforms and governance on relational value creation in digital supply chains, but does not explicitly discuss capturing or retaining knowledge.",high,Not Specific,Not Specific,high,No,The abstract mentions information technology platforms and governance but does not explicitly discuss using digital technologies to capture or retain knowledge.,high,None identified,None identified,empirical study,high,False
9818d4d5-ec10-4bea-8e9a-189712afa5a3,No,"The abstract focuses on identifying urban waterlogging risk zones using AHP and GIS/RS techniques, but does not explicitly discuss capturing or retaining knowledge.",high,Not Specific,Not Specific,high,No,"The abstract mentions the use of AHP, GIS, and RS, but these are used for modeling and mapping, not for capturing or retaining knowledge.",high,None identified,None identified,case study,high,False
7d707e60-27d5-4f2f-9aff-19f34f84660d,No,"The abstract focuses on the mechanisms and mass transfer kinetics of anammox during sludge enrichment, but does not explicitly discuss capturing or retaining knowledge.",high,Not Specific,Not Specific,high,No,"The abstract mentions the use of Generalized Fulazzaky equations for simulation, but this is for predicting mass transfer kinetics, not for capturing or retaining knowledge.",high,None identified,None identified,empirical study,high,False
aa2ea651-54ff-4ce5-aa96-4e2e806e4c16,Yes,"The paper proposes an immersive ideological and political education model integrating VR and AI to address the limitations of traditional unidirectional pedagogical approaches, which implies capturing and retaining knowledge through scenario-based learning and personalized content delivery.",medium,scenario-based learning; personalized content delivery,"Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other); Adaptive tacit knowledge(Situational problem-solving, other)",medium,Yes,"The framework combines real-time 3D rendering, multi-modal interfaces, and adaptive AI algorithms, including NLP dialogue agents and reinforcement learning, to enable scenario-based learning and personalized content delivery.",high,"virtual reality (VR) systems (haptic feedback, spatial audio); AI-driven components (NLP dialogue agents, reinforcement learning)",Human–Computer Interaction and Immersive Technologies; Artificial Intelligence and Intelligent Computation,empirical study,high,True
82ebbd8b-c110-4210-b4bb-0eb96e1012ee,No,"The abstract focuses on the detailed analysis of coke precursor formation in catalytic perhydro benzyltoluene dehydrogenation processes, but does not explicitly discuss capturing or retaining knowledge.",high,Not Specific,Not Specific,high,No,"The abstract mentions the use of GC-FID, HPLC-DAD, HRMS, and NMR for analytical identification and quantification, but these are used for chemical analysis, not for capturing or retaining knowledge.",high,None identified,None identified,empirical study,high,False
