node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location,Unnamed: 8
c103M01N30,wrist-mounted body-conducted-sound sensor prototype,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,The researchers created a prototype because none was commercially available.,Wrist-mounted body-conducted-sound sensor.,"Section 3.1 and Figure 1, p. 4",
c103M01N31,exposed-diaphragm electret condenser microphone,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,An exposed-diaphragm microphone was installed in the sensor housing.,The sensing element of the prototype.,"Section 3.1, p. 4",
c103M01N32,dominant-wrist sensor-securing wristband,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,A wristband secured the sensor to the dominant wrist.,Wearable mounting component.,"Section 3.1, p. 4",
c103M01N33,body-conducted-sound high-pass noise filter,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,A high-pass filter was applied to eliminate noise.,Digital preprocessing operation.,"Section 3.3, p. 4",
c103M01N34,analysis-frame fast Fourier transform,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,FFT was calculated for frames of seven lengths.,Frequency-domain processing method.,"Section 3.3, p. 4",
c103M01N35,5-Hz-to-4-kHz Mel filter bank,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,Mel filter-bank features were extracted from FFT amplitudes.,Method producing 40-dimensional features.,"Section 3.3, p. 4",
c103M01N36,analysis-window zero-crossing rate,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,Zero-crossing rate was evaluated for each analysis window.,Temporal signal feature concatenated with Mel features.,"Section 3.3, p. 4",
c103M01N37,DRLDCC-ELM handwork-recognition architecture,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,The proposed recognition method adopts DRLDCC-ELM.,Multilayer ELM using residual learning and dilated causal convolution.,"Abstract; Section 2.2, pp. 1 and 3",
c103M01N38,standard transformer handwork encoder,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,The baseline uses a standard transformer encoder and classification head.,Principal architecture of the comparison model.,"Section 3.5, p. 5",
c103M01N39,transformer-training Adam optimizer,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,The transformer was trained with Adam at a learning rate of 1e-5.,Transformer optimization algorithm.,"Section 3.5, p. 5",
c103M02N04,DRLDCC-ELM,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,The DRLDCC-ELM adopts a dilated causal convolution ELM in each layer to effectively expand the receptive fields of the multilayer ELMs.,Deep Residual Learning with Dilated Causal Convolution Extreme Learning Machine - a novel deep learning model for handwork recognition.,Section 2.2,
c103M02N05,Transformer baseline model,Digital Technology,E,Deep Extreme Learning Machine With Its Application To Body-Conducted-Sound-Based Handwork Recognition,"A standard transformer encoder composed of a stack of identical layers, followed by a simple classification head consisting of a single linear layer and softmax layer.",A standard transformer architecture used as a baseline comparison model.,Section 3.5,
c104M01N15,Mobile Augmented Reality technology,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,The study developed a Mobile Augmented Reality application to guide IoT circuit assembly.,Augmented reality delivered through a mobile device for overlaying digital information on physical components.,"Abstract and Sections 1 and 3.1, pp. 1–5",
c104M01N16,iPad Pro,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"An iPad Pro was selected for computational power, large screen size, stable AR tracking, and user experience.",Mobile hardware platform used to run the MAR application.,"Section 3.1, p. 4",
c104M01N17,Vuforia Engine,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,The marker-based AR application was developed with Vuforia Engine to track image targets.,Software engine used for image-target tracking in the MAR application.,"Section 3.1, p. 4",
c104M01N18,marker-based tracking,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,The application used marker-based tracking to support accurate rendering of 3D models during assembly.,Tracking mechanism that anchors virtual content to an image target in the physical workspace.,"Sections 3 and 3.1, pp. 4–5",
c104M01N19,QR code AR marker,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,A QR code served as the AR marker and was placed on the breadboard to support accurate 3D model rendering.,Physical image target used by the MAR application's tracking mechanism.,"Section 3.1, pp. 4–5",
c104M01N20,3D models and animations,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,The application used color-coded 3D models and animated virtual elements to guide wiring and component placement.,Virtual component representations and motion sequences overlaid on the breadboard.,"Section 3.1, p. 5",
c104M01N21,touch interaction,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,Touch controls allowed users to navigate assembly steps with Next and Back buttons and control the visibility of wires and models.,Touchscreen mechanism for navigating and manipulating MAR content.,"Section 3.1, p. 5",
c104M02N16,3D modeling software,Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,The development involved creating 3D models and animations for various IoT components.,Used to create 3D assets.,Page 5,
c104M02N18,Touch interaction (Next/Back buttons),Digital Technology,E,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,Touch interaction allowed users to navigate the assembly animation step-by-step by using Next and Back buttons.,User interface controls.,Page 5,
c105M01N25,Vuzix M400,Digital Technology,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,The knowledge-capture prototype used the Vuzix M400.,Assisted Reality glasses used for recording.,"PDF p. 6, Prototyping",
c105M01N26,Assisted Reality,Digital Technology,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,The capture prototype was described as an Assisted Reality system with glasses.,Glasses-based cognitive-support approach with a small field-of-view display.,"PDF pp. 3 and 6, Introduction and Prototyping",
c105M01N27,Python,Digital Technology,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,Python was used to obtain a transcription from the video.,Programming language used in the transcription workflow.,"PDF p. 6, Prototyping",
c105M01N28,whisper_timestamped,Digital Technology,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,The Python library whisper_timestamped was used for timestamped transcription.,Python library used for timestamped automatic speech recognition.,"PDF p. 6, Prototyping",
c105M01N29,Whisper models,Digital Technology,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,whisper_timestamped uses OpenAI Whisper multilingual speech-recognition models.,Multilingual automatic speech-recognition models.,"PDF p. 6, Prototyping",
c105M01N30,Magic Leap 2,Digital Technology,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,Magic Leap 2 glasses were used during the Company A pilot.,Optical see-through mixed-reality headset used in the pilot.,"PDF pp. 3 and 6, Introduction and Prototyping",
c105M01N31,Unity,Digital Technology,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,The CAD model and visual instructions were implemented in Unity.,Software environment used to implement the AR instructions.,"PDF p. 6, Prototyping",
c105M01N32,Augmented Reality,Digital Technology,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,AR projected digital instructions and 3D visualizations into the work context.,Technology that adds virtual information to the physical environment.,"PDF pp. 2-3 and 6, Introduction and Prototyping",
c106M01N19,Augmented Reality technology,Digital Technology,E,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,AR was used to project and superimpose digital instructions and component models within the physical scene.,Technology that supplements the physical workspace with computer-generated objects.,"Introduction and Sections 3.3–3.4, pp. 2 and 6–9",
c106M01N20,Microsoft HoloLens 2,Digital Technology,E,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,Microsoft HoloLens 2 was the head-mounted display used in the experiment.,The AR head-mounted display used by G2.,"Section 3.4.2, p. 8",
c106M01N22,Microsoft Mixed Reality Toolkit version 2.8.3,Digital Technology,E,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,MRTK version 2.8.3 was used with Unity and implemented the hand-menu interaction.,The mixed-reality software toolkit used in the application.,"Sections 3.4.2, pp. 8–9",
c106M02N07,HoloLens 2 (HMD),Digital Technology,E,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,The HMD used for the experiment was the Microsoft HoloLens 2. This is used by G2 as the guidance device.,The specific head-mounted display hardware used for implementing AR in the training module.,Page 8,
c106M02N08,Digital PDF / Screen,Digital Technology,E,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,"For G1, a large-sized smart screen for the visualisation of the digital instructions from the PDF form was located close to the machinery.","The technology used for the traditional group, consisting of digital instructions displayed on a screen.",Page 8,
c107M01N17,augmented reality,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,The application superimposes virtual content and 3D pneumatic models on the real environment.,Technology that combines the real and virtual worlds by superimposing virtual content on reality.,"Section 1, PDF pages 1–2; Section 4, PDF pages 4–5",
c107M01N18,serious game elements,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,AR elements and serious-game elements were used together in developing the training application.,Game-oriented digital elements used to support practice-oriented training.,"Section 4, PDF page 4",
c107M01N19,Unity programming environment,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,The AR application for mobile devices was implemented using the Unity programming environment.,The software development environment used to implement the application.,"Section 4, PDF page 4",
c107M01N20,iOS mobile device,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,The AR application was provided on a mobile device for iOS.,The mobile hardware and operating platform on which the application was used.,"Section 4, PDF page 5",
c107M01N21,QR-code marker tracking,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,The mobile camera captured QR-code markers so that printed components could be overlaid with 3D models.,Camera-based marker tracking used to locate components and align AR visualizations.,"Section 4, PDF page 5",
c107M01N22,3D models,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,Three-dimensional models of pneumatic components were overlaid on printed components.,Digital three-dimensional representations of pneumatic components.,"Section 4, PDF pages 4–5",
c107M01N23,virtual hoses,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,Users connected the components with virtual hoses to simulate pneumatic processes and test the circuit.,Digital connections used to assemble and simulate a pneumatic circuit.,"Section 4, PDF page 5",
c107M01N24,airflow tracking,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,The first additional visualization aid allowed users to track airflow between components within the hoses.,An implemented visualization showing airflow between pneumatic components.,"Section 4, PDF page 5",
c107M01N25,X-ray view,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,The second visualization aid allowed users to look inside components and track internal airflow.,An implemented visualization showing internal component structure and airflow.,"Section 4, PDF page 5",
c107M01N26,rating feedback,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,"After circuit testing, the application gave a rating based on use of the visualization aids to support reflection and replay.",Application-generated evaluative feedback intended to encourage self-reflection and repetition.,"Section 4, PDF page 5",
c107M02N27,QR codes,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,Tracking is carried out by capturing markers in the form of QR codes with the camera,Marker technology used for tracking and overlaying 3D models,p.5,
c107M02N32,3D printed components,Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,the immersion is enhanced by 3D-printed components that are based on real components,Physical printed components used as props for AR overlay via QR code tracking,p.4,
c107M02N33,Concept 1 (realistic simulation),Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,Concept 1: A realistic simulation of the pneumatic system,First AR visualization approach: realistic 3D models without additional visualization aids,p.3,
c107M02N34,Concept 2 (with AR elements),Digital Technology,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,Concept 2: A realistic simulation of the pneumatic system with additional AR elements for the visualization of pneumatic processes,Second AR visualization approach: includes airflow tracking and X-ray view,p.3,
c108M01N42,Unified Modeling Language for industrial know-how modeling,Digital Technology,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"UML diagrams represented static concepts, use cases, and constraints associated with know-how.",A visual modeling language used for semi-formal industrial knowledge representation.,"PDF p. 4, Section V-A",
c108M01N43,logic-based formal ontology technology,Digital Technology,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"Ontologies were used as formal and explicit, machine-understandable specifications of domain conceptualizations.",Logic-based semantic technology for formal domain-knowledge representation.,"PDF pp. 1 and 3-5, Sections I, IV, and V",
c108M01N44,Linked Open Vocabularies repository,Digital Technology,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,Existing domain ontologies available through Linked Open Vocabularies were integrated during formalization.,A repository providing reusable semantic vocabularies and domain ontologies.,"PDF pp. 4-5, Section V-B",
c108M01N45,artificial reasoning over luxury-packaging project knowledge,Digital Technology,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,The manufacturing application performed artificial reasoning over project and resource knowledge.,"Automated semantic reasoning used to retrieve comparable projects, risks, costs, and resources.","PDF p. 5, Section VI, Experimentation",
c108M02N21,Linked Open Vocabularies (LOV) external ontology database,Digital Technology,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,all or part of existing ontologies available in databases such as LOV (Linked Open Vocabularies) are integrated.,LOV (Linked Open Vocabularies) is a database of existing ontologies used for integration and alignment with domain-specific knowledge.,"Page 4, Section V.B",
c109M01N16,artificial intelligence used by manufacturing SMEs,Digital Technology,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","Artificial intelligence was measured in manufacturing SMEs and significantly moderated the relationship between tacit-knowledge sharing and green structural, human, and relational capital in both samples.",AI technology examined in the organizational context of Canadian and UAE manufacturing SMEs.,"PDF pp. 7 and 9–10, Sections 3.2 and 4.3",
c109M02N33,Artificial Intelligence (AI),Digital Technology,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""AI serves as a pivotal moderator in the intricate interplay between TKS and GSC, orchestrating the transformation of unstructured, intangible knowledge into actionable and systematized insights""","""Emerging technology for knowledge processing and transformation""",Page 5,
c109M02N35,Predictive analytics,Digital Technology,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""AI's predictability can help businesses uncover nascent green market opportunities both within and outside of existing partnerships""","""Analytical technology for prediction""",Page 12,
c110M01N20,large language model similar to ChatGPT,Digital Technology,E,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,The chatbot leverages a large language model similar to ChatGPT.,The large-language-model technology underlying the chatbot.,"PDF p. 3, Section 2.3",
c110M01N21,Dialogflow CX,Digital Technology,E,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,"AlFrEDo was developed using Google Cloud tools, specifically Dialogflow CX.",The Google Cloud conversational-agent development technology used to implement AlFrEDo.,"PDF pp. 3-4, Section 2.3",
c110M01N22,standard natural language understanding setting,Digital Technology,E,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,The standard NLU setting was selected to balance performance and cost and support intent recognition and auto-training.,The configured NLU mode used for recognizing diverse user intents.,"PDF p. 4, Section 2.3",
c110M01N23,Google Sites,Digital Technology,E,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,Google Sites was used to create the chatbot's dedicated webpage.,The web-authoring technology used for the multi-device chatbot webpage.,"PDF p. 4, Section 2.4",
c110M01N24,word cloud tool,Digital Technology,E,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,A word-cloud tool was used to examine students' conversation history.,The digital text-analysis tool used to expose prominent keywords in interaction records.,"PDF p. 6, Section 3.3",
c111M02N39,Natural Language Processing,Digital Technology,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,technologies based on natural language processing (NLP) for text recognition and processing,"AI technology for text recognition and processing, including language translation and conversational agents",Page 2,
c111M02N40,Machine Learning,Digital Technology,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,AI technologies based on machine learning for automated data analysis; applying algorithms such as linear or logistic regression or time series analyses,"AI technology applying algorithms for automated data analysis, prediction, and pattern recognition",Page 2,
c111M02N41,Process Automation,Digital Technology,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,AI for process automation and the creation of decision-making aids,AI technology for automating processes and creating decision support systems,Page 2,
c111M02N42,ERP Systems,Digital Technology,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,non-standardized ERP systems leading to poor data quality (e.g. different company codes in SAP),Enterprise Resource Planning systems for organizational data management and process control,Page 7,
c111M02N43,Cloud-based AI applications,Digital Technology,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,Data protection concerns with cloud-based AI applications,AI applications hosted and delivered via cloud computing infrastructure,Page 7,
c113M01N17,Microsoft HoloLens 2,Digital Technology,E,Augmented Reality Training For Improved Learnability,"The developed AR system was targeted on a head-mounted display, Microsoft HoloLens 2.",Head-mounted mixed-reality display used to superimpose holographic content on the real environment.,"Section 3.2, page 21",
c113M01N18,Unity engine,Digital Technology,E,Augmented Reality Training For Improved Learnability,The AR application was developed using Unity engine.,Multiplatform software engine used to develop the AR application.,"Section 3.2, page 21",
c113M01N19,Vuforia Engine,Digital Technology,E,Augmented Reality Training For Improved Learnability,Vuforia Engine was used as the vision-based tracking library.,Augmented- and mixed-reality SDK used for image identification and tracking.,"Section 3.2, page 21",
c113M01N20,Mixed Reality Toolkit,Digital Technology,E,Augmented Reality Training For Improved Learnability,The user interface was developed using the Mixed Reality Toolkit proposed by Microsoft for HoloLens 2.,Toolkit providing mixed-reality interface and interaction features.,"Section 3.2, page 21",
c113M02N27,Vuforia Image Target tracker,Digital Technology,E,Augmented Reality Training For Improved Learnability,"an image that the Vuforia Engine can identify, and track is used",Not mentioned,Page 3,
c114M02N11,Python,Digital Technology,E,The Impact Of Digital Technology Innovation Network Embedding On Firms’ Innovation Performance: The Role Of Knowledge Acquisition And Digital Transformation,using tools such as Python to calculate network embedding indicators and innovation performance indicators,"Programming language used for data processing, network construction, and metric calculation","Section 1, Page 2",
c114M02N12,IncoPat Patent Database,Digital Technology,E,The Impact Of Digital Technology Innovation Network Embedding On Firms’ Innovation Performance: The Role Of Knowledge Acquisition And Digital Transformation,IncoPat... currently contains more than 170 million patent documents from 158 countries,Patent database used for searching and retrieving digital technology invention patents,"Section 3.1, Page 6",
c114M02N13,WIND Database,Digital Technology,E,The Impact Of Digital Technology Innovation Network Embedding On Firms’ Innovation Performance: The Role Of Knowledge Acquisition And Digital Transformation,The WIND database contains data and information on global financial markets,"Financial database used for stock codes, financial indicators, and enterprise data","Section 3.1, Page 6",
c114M02N20,Digital Transformation,Digital Technology,E,The Impact Of Digital Technology Innovation Network Embedding On Firms’ Innovation Performance: The Role Of Knowledge Acquisition And Digital Transformation,"Digital transformation is an essential initiative for companies to use new digital technologies to improve business processes, create business models","Systematic process using digital technologies to empower business development, measured by keyword frequency in annual reports","Section 2.3, Page 5",
c115M02N13,IoT,Digital Technology,E,Harnessing Digital Transformation For Sustainable Performance: Exploring The Mediating Roles Of Green Knowledge Acquisition And Innovation Performance Under Digital Transformational Leadership,"""Digital technologies like IoT (internet of things), AI (artificial intelligence), and blockchain can significantly contribute to sustainable practices in the manufacturing sector""",Internet of Things technology used for sustainable practices,Page 6,
c115M02N14,AI,Digital Technology,E,Harnessing Digital Transformation For Sustainable Performance: Exploring The Mediating Roles Of Green Knowledge Acquisition And Innovation Performance Under Digital Transformational Leadership,"""Digital technologies like IoT (internet of things), AI (artificial intelligence), and blockchain can significantly contribute to sustainable practices in the manufacturing sector""",Artificial Intelligence technology used for sustainable practices,Page 6,
c115M02N15,Blockchain,Digital Technology,E,Harnessing Digital Transformation For Sustainable Performance: Exploring The Mediating Roles Of Green Knowledge Acquisition And Innovation Performance Under Digital Transformational Leadership,"""Digital technologies like IoT (internet of things), AI (artificial intelligence), and blockchain can significantly contribute to sustainable practices in the manufacturing sector""",Blockchain technology used for sustainable practices and collaborative innovation performance,Page 6,
c115M02N16,Cloud computing,Digital Technology,E,Harnessing Digital Transformation For Sustainable Performance: Exploring The Mediating Roles Of Green Knowledge Acquisition And Innovation Performance Under Digital Transformational Leadership,"""Advanced technologies such as cloud computing, data analytics, and artificial intelligence streamline information sharing and collaboration""",Cloud computing technology used for information sharing and collaboration,Page 7,
c115M02N18,Data analytics,Digital Technology,E,Harnessing Digital Transformation For Sustainable Performance: Exploring The Mediating Roles Of Green Knowledge Acquisition And Innovation Performance Under Digital Transformational Leadership,"""data analytics platforms can promote resource coordination and internal and external communication""",Technology used for resource coordination and communication,Page 3,
c117M01N40,AI-assisted social media sentiment monitoring tools,Digital Technology,E,The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry,A 2022 annual report documented deployment of AI-assisted sentiment monitoring tools.,AI-supported tools for analysing sentiment in social-media content.,"PDF page 15, Table 7",
c117M02N28,Keyword clustering tools,Digital Technology,E,The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry,"Basic analytics tools (e.g. sentiment analysis, keyword clustering) can structure external data",Digital tools for grouping related terms in social media data,Page 17,
c117M02N29,Social media analytics,Digital Technology,E,The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry,Firms that utilise social media analytics across NPD stages outperform peers in speed to market and customer alignment,Tools for analyzing social media data for business insights,Page 4,
c119M01N19,robot knowledge-representation ontologies,Digital Technology,E,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,"Ontologies are used for robot knowledge management, representation, integration, matching, and merging.",Formal semantic technologies for robot concepts and relations.,"Sections 2, 3, and 3.1, PDF pp. 4-6; printed pp. 3200-3202",
c119M01N20,WordNet lexical-semantic resource for robot knowledge,Digital Technology,E,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,The General Knowledge Base follows WordNet's synset and lexical-semantic structure.,A digital lexical resource underlying robot semantic knowledge.,"Section 3.1, PDF pp. 5-6; printed pp. 3201-3202",
c119M01N21,ImageNet visual-concept resource for robot knowledge,Digital Technology,E,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,Visual features extracted from ImageNet images were imported into the General Knowledge Base.,A digital image resource supplying robot visual-concept representations.,"Sections 3 and 3.1, PDF pp. 5-6; printed pp. 3201-3202",
c119M01N23,self-organizing maps for robot visual clustering,Digital Technology,E,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,Classical self-organizing maps were used for unsupervised visual semantic clustering.,Unsupervised neural maps used to organize robot object-image features.,"Sections 4.2 and 5, PDF pp. 7-8 and 10; printed pp. 3203-3204 and 3206",
c119M01N25,genetic algorithm for robot GHSOM tuning,Digital Technology,E,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,The genetic algorithm optimizes the GHSOM growth parameters through an evolutionary process.,An evolutionary algorithm for tuning robot GHSOM parameters.,"Sections 5.2-5.3, PDF pp. 11-18; printed pp. 3207-3214",
