"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location","Unnamed: 8","sub_category_id","sub_category"
"c106M01N12","Test Group (G2)","Knowledge Learner","E","A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup","Seven company workers formed the group trained with the VMAR module.","The learner group assigned to the AR training condition.","Sections 3.2.1 and 4, pp. 5 and 9","","KL02","Structured Occupational Trainees"
"c106M02N03","Company Workers / Operators","Knowledge Learner","E","A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup","The experiment involved 14 workers, 7 for each group. The participants are company workers who have to manage and maintain a variety of complex machinery and equipment.","The participants of the experiment, who are the trainees performing the machinery setup.","Page 9, 1","","KL02","Structured Occupational Trainees"
"c107M01N11","first-year industrial mechanics apprentices","Knowledge Learner","E","How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?","Fifteen trainees from two first-year industrial-mechanic classes participated and were divided into three groups.","The learner population whose knowledge acquisition and retention were evaluated.","Section 5, PDF pages 6–7","","KL02","Structured Occupational Trainees"
"c107M02N15","Vocational school trainees","Knowledge Learner","E","How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?","the training of industrial-technical professions... such as industrial mechanic or mechatronics technician","Broader category of trainees in industrial-technical professions including industrial mechanics and mechatronics technicians","p.2","","KL02","Structured Occupational Trainees"
"c107M02N16","Students","Knowledge Learner","E","How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?","the use of AR technologies in education or teaching has already been widely researched","General learners in educational context referenced in literature review","p.3","","KL11","Ambiguous Knowledge Learner(*)"
"c108M01N28","research team analyzing complete anonymized interview restitutions","Knowledge Learner","I","Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management","Complete interviews were transmitted only to the research team, which analyzed the expert-knowledge restitution.","The team receiving and analyzing the complete interview material.","PDF p. 3, Section III-C","","KL10","Knowledge Review and Validation Learners"
"c108M02N07","Knowledge elicitation analysts","Knowledge Learner","E","Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management","The analyst is often unfamiliar with the expert's domain. A gap can then arise between the expert's knowledge and that transcribed knowledge due to a misunderstanding of the expert's statements.","A knowledge analyst is the facilitator/elicitor who conducts interviews, analyzes transcripts, and learns the domain through the knowledge acquisition process.","Page 2, Section II; Page 3, Section III.C","","KL10","Knowledge Review and Validation Learners"
"c108M02N08","Corporate IT system implementers","Knowledge Learner","E","Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management","The IT personnel will be responsible for connecting the solution to the digital information system, implementing the final model, and developing different services to exploit it, which facilitates the integration of the digital transition process.","IT personnel are responsible for implementing the final model and developing digital services, learning through UML modeling and implementation.","Page 4, Section V.A","","KL04","Experienced Practitioner Upskilling Learners"
"c109M01N06","manufacturing SME team members","Knowledge Learner","E","Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","Tacit-information sharing enables team members to acquire practical skills, unique experiences, and specialized techniques.","Team members who receive and apply knowledge shared by colleagues in manufacturing SMEs.","PDF p. 4, Section 2.2","","KL09","Project and Organizational Collective Learners"
"c109M02N13","Workforce","Knowledge Learner","E","Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""businesses could foster a workforce that is inclined to innovate by investing in green human capital development programs that enable the sharing and understanding of tacit knowledge""","""Collective employee base""","Page 2","","KL09","Project and Organizational Collective Learners"
"c110M01N09","current students","Knowledge Learner","E","Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education","Current students used the chatbot in English and Spanish and evaluated its learning support.","Students who used and evaluated the implemented chatbot.","PDF pp. 5-6, Sections 2.5, 3, and 3.1","","KL01","Formal Higher-Education Learners"
"c110M01N10","alumni","Knowledge Learner","E","Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education","Alumni described their earlier manual-search and consultation practices and evaluated the potential role of the chatbot.","Former students providing the baseline comparison for earlier troubleshooting practices.","PDF pp. 5-6, Sections 2.5, 3, and 3.2","","KL10","Knowledge Review and Validation Learners"
"c111M01N01","controllers","Knowledge Learner","E","Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions","The study examines how controllers acquire knowledge on AI-related topics and which channels they use.","Members of controlling departments seeking knowledge about possible AI applications in controlling.","Section 4.3, PDF pages 8–9","","KL04","Experienced Practitioner Upskilling Learners"
"c111M02N22","Employees","Knowledge Learner","E","Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions","Lack of know-how about AI technologies in the department","Staff members requiring training and development in AI technologies","Page 7","","KL04","Experienced Practitioner Upskilling Learners"
"c113M01N08","students","Knowledge Learner","E","Augmented Reality Training For Improved Learnability","All thirteen participants were students.","The general learner role represented by the experimental participants.","Sections 3.3.2 and 4.1, pages 22-23","","KL01","Formal Higher-Education Learners"
"c113M01N09","users in the traditional AR group","Knowledge Learner","E","Augmented Reality Training For Improved Learnability","Four participants were assigned to the traditional AR group.","Learners assigned to the traditional augmented-reality condition.","Section 3.3.2, page 22","","KL01","Formal Higher-Education Learners"
"c113M01N11","users in the paper-based document group","Knowledge Learner","E","Augmented Reality Training For Improved Learnability","Four participants were assigned to the paper-based document group.","Learners assigned to the paper-document condition.","Section 3.3.2, page 22","","KL01","Formal Higher-Education Learners"
"c113M02N17","Trainee learners","Knowledge Learner","E","Augmented Reality Training For Improved Learnability","trainees who used the enhanced AR training systems statistically outperformed those in the paper-based group for long term retention test","Not mentioned","Page 1","","KL02","Structured Occupational Trainees"
"c114M01N08","Chinese A-share listed enterprises conducting digital technology innovation","Knowledge Learner","E","The Impact Of Digital Technology Innovation Network Embedding On Firms’ Innovation Performance: The Role Of Knowledge Acquisition And Digital Transformation","The empirical study examines Chinese A-share listed enterprises conducting digital technology innovation and their acquisition of external knowledge through network embedding.","Sampled firms that receive, absorb, transform, and integrate external knowledge from digital technology innovation networks.","Sections 3.1–3.2 and 5, pp. 6–9 and 16–17","","KL09","Project and Organizational Collective Learners"
"c114M02N04","Firms","Knowledge Learner","E","The Impact Of Digital Technology Innovation Network Embedding On Firms’ Innovation Performance: The Role Of Knowledge Acquisition And Digital Transformation","enterprises should actively embed into digital technology innovation networks to maximize access to external digital technology knowledge resources through organizational cooperation","Organizational entities (Chinese A-share listed firms) that participate in digital technology innovation networks to acquire external knowledge","Section 1, Page 1","","KL09","Project and Organizational Collective Learners"
"c115M02N24","Organizational members","Knowledge Learner","E","Harnessing Digital Transformation For Sustainable Performance: Exploring The Mediating Roles Of Green Knowledge Acquisition And Innovation Performance Under Digital Transformational Leadership","""Digital strategies enable firms to use digital technologies to establish an atmosphere for all organizational members to pursue the latest knowledge actively""","Members of the organization who pursue the latest knowledge","Page 8","","KL09","Project and Organizational Collective Learners"
"c117M01N19","cross-functional NPD teams","Knowledge Learner","E","The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry","Internal tools assemble cross-functional teams that co-develop and validate shortlisted ideas.","Teams integrating knowledge from R&D, design, research, analysis, and suppliers.","PDF page 14, Section 4.4.3","","KL10","Knowledge Review and Validation Learners"
"c117M02N13","R&D experts","Knowledge Learner","E","The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry","External ideas submitted through platforms like Idea-Point and technical collaboration tools are evaluated by our R&D experts","Experts who evaluate and develop submitted ideas","Page 13","","KL10","Knowledge Review and Validation Learners"
"c119M01N42","Pepper humanoid robot","Knowledge Learner","E","A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities","Pepper explored the environment, analyzed encountered objects, and applied the combined approach to suggest an available object.","The robotic system applying the acquired object-recognition capability.","Section 6.1, PDF pp. 19-21; printed pp. 3215-3217","","KL11","Ambiguous Knowledge Learner(*)"
"c120M02N11","SPRM","Knowledge Learner","E","Dynamic Scheduling For Job Shop With Machine Failure Based On Data Mining Technologies","...the effective SPRM is trained by the ELM...","The model which learns and stores the tacit knowledge for decision-making.","Section 5.2, Page 17","","KL11","Ambiguous Knowledge Learner(*)"
"c121M02N31","Knowledge Learner","Knowledge Learner","G","How Can Generative Artificial Intelligence Empower Circular Supply Chain Practices? Evidence From Chinese Companies","Organizations need to develop generative capability to address the question of knowledge acquisition, inheritance, and updating.","The role or entity that acquires, inherits, and updates knowledge in the knowledge retention process.","Page 9","","KL11","Ambiguous Knowledge Learner(*)"
"c122M01N19","employees","Knowledge Learner","E","Exploring The Role Of Metaverse-Enabled Knowledge Collaboration In Enhancing Knowledge Management Outcomes In Manufacturing","The model examines employees' knowledge sharing, acquisition, and application in Metaverse-enabled environments.","Not mentioned","Sections 3.3–3.5 and 6.1, PDF pages 8–10 and 21","","KL09","Project and Organizational Collective Learners"
"c122M01N20","team","Knowledge Learner","E","Exploring The Role Of Metaverse-Enabled Knowledge Collaboration In Enhancing Knowledge Management Outcomes In Manufacturing","Teams use knowledge acquired in the Metaverse to avoid recurring mistakes or operational inefficiencies.","Not mentioned","Appendix A, Table A.1, KAP2, PDF page 26","","KL09","Project and Organizational Collective Learners"
"c124M01N26","mechanical-maintenance organizations with greater absorptive capacity","Knowledge Learner","E","Digital Twin Adoption For Mechanical Maintenance Management: A Capability-Based Approach To Enhancing Operational Resilience","Organizations with greater absorptive capacity were found to translate digital knowledge into enhanced maintenance practices, more accurate fault interpretation, and quick recovery plans.","Organizations that successfully acquire, transform, and operationally apply knowledge generated in digital-twin environments.","Section 5, PDF page 11","","KL09","Project and Organizational Collective Learners"
"c125M01N17","small manufacturing business owners","Knowledge Learner","E","Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories","Small manufacturing business owners attended the experiential-learning workshop and were surveyed about its impact.","Not mentioned","Sections 3 and 3.3, PDF pages 4–5","","KL04","Experienced Practitioner Upskilling Learners"
"c125M01N18","shop floor workers","Knowledge Learner","E","Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories","Shop floor workers participated in the workshop and were intended to gain skills for deploying solutions.","Not mentioned","Abstract; Sections 2, 3, and 3.3, PDF pages 1 and 4–5","","KL02","Structured Occupational Trainees"
"c125M01N19","engineering students","Knowledge Learner","E","Insights Into The Pitech Academy Learning Platform For Small Manufacturing Businesses And Learning Factories","Engineering students attended the hands-on experiential-learning workshop and were surveyed about its impact.","Not mentioned","Sections 3 and 3.3, PDF pages 4–5","","KL01","Formal Higher-Education Learners"
"c126M01N12","workforce implementing and working with blockchain","Knowledge Learner","E","Unlocking Sustainable Performance With Blockchain Technology: Insights From Organizational Learning Theory","The workforce gains the knowledge and skills needed to implement and work with BT.","Employees learning to implement and operate blockchain.","Introduction, page 2","","KL04","Experienced Practitioner Upskilling Learners"
"c126M02N16","Employees","Knowledge Learner","E","Unlocking Sustainable Performance With Blockchain Technology: Insights From Organizational Learning Theory","Internal knowledge integration captures how firms ensure the workforce gains the necessary knowledge and skills to implement and work with BT","Workforce that gains knowledge and skills to implement and work with BT","Page 2","","KL04","Experienced Practitioner Upskilling Learners"

