node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location,Unnamed: 8
c105M01N20,Expert guidance,Traditional Human-central Practice,E,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,The non-expert repeatedly asked experts whether task steps were correct.,Direct assistance and confirmation supplied by an expert.,"PDF p. 7, Pilot results",
c105M02N21,Paper manual self-study,Traditional Human-central Practice,I,Knowledge Retention Through Cognitive Support Technology (Cst) In The Manufacturing Industry: A Process Inventory,current instructions for the processes mentioned are available on paper and digitally,Self-learning from paper instructions,Page 5,
c106M01N13,trainer-supported machinery setup training,Traditional Human-central Practice,E,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,"During Scenario 2, the trainer explained machinery parts, processes, functionalities, and technical features.",Human-led operative training through explanation and intervention by an experienced trainer.,"Sections 3.3.3–3.3.4, pp. 6–7",
c106M02N05,Traditional Training Approach,Traditional Human-central Practice,E,A Visual Management And Augmented-Reality-Based Training Module For The Enhancement Of Short And Long-Term Procedural Knowledge Retention In Complex Machinery Setup,The confirmation group (G1) has been selected to simulate the training of the machinery setup using the traditional approaches already employed in the company.,"The baseline training method involving digital PDFs on a screen, supported by visual management, with trainer intervention.",Page 9,
c107M01N12,traditional learning method with 3D-printed components,Traditional Human-central Practice,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,The control group learned with a replica of the pneumatic system made from 3D-printed components and physically connected the components with hoses.,The study's non-app comparison method for performing the practical pneumatic exercises.,"Section 5, PDF page 6",
c107M01N13,instructor-supported teaching,Traditional Human-central Practice,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,"The traditional method without teacher support was described as unsuitable for practical tasks, for which teaching support is usually provided by the instructor.",Human teaching support normally provided during practical pneumatics tasks.,"Section 7, PDF page 9",
c107M01N36,textbook-based teaching,Traditional Human-central Practice,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,The paper identifies textbooks as a current teaching method and describes current methods as often mostly theoretical.,Teaching in which textbooks are used to convey pneumatics content.,"Section 2, PDF page 2",
c107M01N38,training laboratories and learning systems,Traditional Human-central Practice,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,"Training laboratories and learning systems are practical teaching options but are costly, space-intensive and dependent on compressed-air provision.",Physical facilities and systems used for practical pneumatics training.,"Section 2, PDF page 2",
c107M01N39,special pneumatics training workshops,Traditional Human-central Practice,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,Special pneumatics training workshops are offered when companies or vocational schools lack training systems.,Externally or centrally provided workshops for practical pneumatics instruction.,"Section 2, PDF page 2",
c107M02N17,Textbook self-study,Traditional Human-central Practice,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,Current practice-oriented teaching methods in the field are based on textbooks,Learning through reading and studying printed educational materials,p.2,
c107M02N18,2D simulation software,Traditional Human-central Practice,E,How Can Pneumatics Be Trained With Augmented Reality In The Context Of Training For Industrial-Technical Professions?,"Current practice-oriented teaching methods in the field are based on... simulation software, which is predominantly two-dimensional",Computer-based theoretical practice using 2D representations of pneumatic systems,p.2,
c108M01N29,professional-activity analysis of company documents and processes,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"The first phase studies internal documents, generic knowledge, processes, and sometimes observation.","Human analysis used to prepare domain terminology, process lists, expert lists, and interview guides.","PDF p. 2, Section III-A",
c108M01N30,viticulture literature review for wine-industry vocabulary and risks,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,A literature review was conducted to understand wine-industry vocabulary and associated risks.,Human review of viticulture literature used to prepare the interview grids.,"PDF p. 5, Section VI, Experimentation",
c108M01N32,collective expert interviews for resolving know-how ambiguity,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,Collective interviews may follow individual-interview analysis to resolve ambiguity and standardize knowledge.,Group elicitation focused on confusion or disagreement between experts.,"PDF p. 3, Section III-B",
c108M01N33,observation of viticulture work for tacit-knowledge elicitation,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,The viticulture experiment associated explicit knowledge with implicit knowledge acquired through observation.,Observation used when verbal communication is insufficient for tacit-knowledge collection.,"PDF p. 1, Abstract; PDF p. 3, Section III-B",
c108M01N34,transcription and restitution of recorded industrial expert interviews,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"Recorded interview audio was reproduced as authentic, understandable, complete text for analysis.",Human-centered conversion and restitution of recorded interviews as structured text.,"PDF p. 3, Section III-C",
c108M01N35,categorical thematic analysis of industrial interview restitutions,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"Categorical thematic analysis identified, analyzed, and interpreted topic patterns in the interview texts.",Human and Social Sciences analysis of transcribed expert interviews.,"PDF p. 3, Section III-C",
c108M01N65,semi-structured interviews with twenty vine growers and five wine professionals,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,Twenty vine growers and five wine professionals were interviewed using six topic-specific grids.,Viticulture elicitation sessions using six semi-structured interview grids.,"PDF p. 5, Section VI, Experimentation",
c108M02N09,Semi-directive individual knowledge elicitation interviews,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"Our design method starts by conducting a set of individual interviews, allowing the acquisition of general information about the know-how practiced in an individual way.",Semi-directive individual interviews are conversational techniques using interview guides with directive questions followed by free-form questions based on expert answers to extract knowledge from individual domain experts.,"Page 2, Section III.B; Page 3, Section III.B",
c108M02N10,Collective interviews for expert consensus building,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,Collective interviews may be then conducted in case of confusion or disagreement between experts. These will be performed after analyzing individual interviews and address specific themes to resolve ambiguity and standardize the knowledge collected.,"Collective interviews are conducted after individual interviews to resolve confusion or disagreements between experts, addressing specific themes to resolve ambiguity and standardize knowledge.","Page 3, Section III.B",
c108M02N11,Workplace observation for tacit skill capture,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,observational techniques can be used when verbal communication becomes insufficient for collecting tacit knowledge. Observation techniques can also be used for the verification and validation of collected knowledge.,"Observational techniques are used to collect tacit knowledge when verbal communication is insufficient, and for verification and validation of collected knowledge.","Page 3, Section III.B",
c108M02N12,Corporate document and state-of-the-art analysis,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"Inspired by analytic elicitation techniques, this phase consists of studying the company's internal documents and, in some cases, conducting a state-of-the-art on the field in order to collect generic knowledge (regulations, standards, processes, etc.).","Document analysis is an analytic technique involving the study of internal company documents and state-of-the-art research to collect generic knowledge including regulations, standards, and processes.","Page 2, Section III.A",
c108M02N13,Semi-formal UML conceptual modeling practice,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"The goal of this phase is to transform the informal representation of know-how, expressed in natural language, into a coherent, structured and semi-formal model using mind maps and UML diagrams.","Semi-formal modeling transforms informal natural language knowledge into structured models using UML diagrams and mind maps, serving as an intermediate representation between informal and formal knowledge.","Page 4, Section V.A",
c108M02N42,Anonymous expert knowledge restitution and review practice,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"The collected knowledge and the results of analysis are presented to the domain experts for validation before the formalization and digital transformation of this knowledge. For ethical reasons, the restitution is anonymous.",Knowledge restitution is the process of presenting collected knowledge and analysis results to domain experts for validation before formalization.,"Page 3, Section III.C",
c108M02N43,Expert validation of synthesized semi-formal models,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,The collected knowledge and the results of analysis are presented to the domain experts for validation before the formalization and digital transformation of this knowledge.,Expert validation is the process where domain experts review and validate collected knowledge and analysis results before formalization.,"Page 3, Section III.C",
c108M02N44,Systematic interview audio-to-text transcription,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"The interview transcription is a process by which recorded audio of an interview is reproduced as a text document. It is the restitution of the experts' knowledge for analysis, and should be authentic, understandable, and complete.","Interview transcription is the process of reproducing recorded interview audio as text documents for analysis, ensuring authenticity, understandability, and completeness.","Page 3, Section III.C",
c108M02N45,Qualitative categorical thematic analysis of transcripts,Traditional Human-central Practice,E,Cooperative Knowledge Elicitation For Formal Ontology Design: An Exploratory Study Applied In Industry For Knowledge Management,"To analyze restitution, categorical thematic analysis is used. It is a Human and Social Science technique used for describing and making conclusions about the characteristics of a communication.",Thematic analysis is a qualitative analysis technique for identifying and interpreting patterns and themes within interview texts.,"Page 3, Section III.C",
c109M01N07,workplace social interaction for tacit knowledge sharing,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment",Tacit knowledge is acquired through social interaction and is shared informally through social interactions.,Workplace interaction through which employees exchange experience-based knowledge.,"PDF pp. 2 and 4, Sections 1 and 2.2",
c109M01N09,workplace observation of manufacturing know-how,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment",Observation is identified as a principal means through which tacit knowledge is acquired.,Acquisition of manufacturing know-how by observing another person's work or behavior.,"PDF p. 2, Section 1",
c109M01N10,formal tacit-knowledge training,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment",The paper states that tacit-knowledge sharing occurs formally through training.,Formal training used to exchange experience-based organizational knowledge.,"PDF p. 4, Section 2.2",
c109M01N11,tacit-knowledge-sharing conferences,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment",The paper states that tacit-knowledge sharing occurs formally through conferences.,Formal conferences through which organizational participants exchange tacit knowledge.,"PDF p. 4, Section 2.2",
c109M01N12,informal task-group knowledge sharing,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment",The paper states that tacit-knowledge sharing occurs informally through task groups.,Informal sharing of experience-based knowledge among members of work-oriented groups.,"PDF p. 4, Section 2.2",
c109M02N14,Mentoring/shadowing programs,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""Methods like job shadowing, mentor programs, and observational learning also aid in knowledge transfer from tacit employees""","""Non-digital human-to-human knowledge transfer""",Page 12,
c109M02N15,Training and conferences,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""Tacit knowledge sharing occurs formally through training or conferences and informally through task groups and social interactions""","""Formal structured learning events""",Page 4,
c109M02N16,Observational learning,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""Methods like job shadowing, mentor programs, and observational learning also aid in knowledge transfer""","""Learning through watching others""",Page 12,
c109M02N17,Focus groups,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""Canadian SMEs which are orientated more individualistically in their culture, may employ some of the more structured methods such as interviewing, focus groups or narrative storytelling in order to systematically capture tacit knowledge""","""Group discussion for knowledge capture""",Page 12,
c109M02N18,Narrative storytelling,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""Canadian SMEs which are orientated more individualistically in their culture, may employ some of the more structured methods such as interviewing, focus groups or narrative storytelling in order to systematically capture tacit knowledge""","""Story-based knowledge sharing""",Page 12,
c109M02N19,Training workshops,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""Canadian workers are likely to value more structured knowledge resources, such as training workshops or centralized knowledge repositories""","""Structured skill development sessions""",Page 12,
c109M02N20,Person-to-person contacts,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""hybrid systems that integrate digital tools and person-to-person contacts can facilitate an effective transfer of tacit knowledge for innovation and organizational development""","""Direct human interaction for knowledge transfer""",Page 12,
c109M02N21,Interpersonal networks,Traditional Human-central Practice,E,"Unseen Seeds, Green Minds In The Digital Era: How Smes Foster Innovation Through Green Intellectual Capital, Ai, And Resource Commitment","""SMEs in the UAE can use interpersonal networks to promote informal knowledge sharing due to the focus on work groups as a result of the collectivist culture of the UAE""","""Social networks for informal knowledge exchange""",Page 12,
c110M01N11,independent manual searching,Traditional Human-central Practice,E,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,Alumni often had to search manuals independently for troubleshooting information.,Learner-directed searching of technical manuals without chatbot assistance.,"PDF p. 6, Section 3.2",
c110M01N13,consulting professors,Traditional Human-central Practice,E,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,Alumni resorted to consulting professors when manuals did not adequately address complex problems.,Interpersonal troubleshooting assistance sought from professors.,"PDF p. 6, Section 3.2",
c110M01N14,hands-on learning,Traditional Human-central Practice,E,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,Alumni emphasized that the chatbot should complement hands-on learning.,Practical learning through direct engagement with manufacturing equipment.,"PDF pp. 5 and 7, Results and Section 4",
c110M01N15,surveys of current students and alumni,Traditional Human-central Practice,E,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,"Surveys of current students and alumni evaluated functionality, user experience, problem-solving, and knowledge retention.",The survey-based validation and evaluation process used in the study.,"PDF p. 5, Sections 2.5 and 3",
c110M02N04,Manual Self-Study by Students,Traditional Human-central Practice,E,Integrating Ai-Driven Large Language Models Tools For Enhanced Problem-Solving And Troubleshooting In Automation Of Manufacturing Systems Education,Alumni often had to search for information independently in manuals,"A non-digital, human-driven learning mechanism where students independently read and interpret technical documentation.",Page 6,
c111M01N14,exchange with other innovative companies that use AI,Traditional Human-central Practice,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,"This was the most frequently mentioned personal channel, occurring eleven times across five interview documents.",Interorganizational exchange with companies that already use AI.,"Table 4, PDF pages 8–9",
c111M01N15,exchange of experiences among colleagues (formal & informal setting),Traditional Human-central Practice,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,Table 4 lists formal and informal exchange of experiences among colleagues.,Interpersonal exchange of work-related experience between colleagues.,"Section 4.3 and Table 4, PDF pages 8–9",
c111M01N16,external consultants,Traditional Human-central Practice,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,Table 4 lists external consultants as a personal knowledge-acquisition channel.,Acquisition of information through interaction with external consultants.,"Section 4.3 and Table 4, PDF pages 8–9",
c111M01N17,contacts with institutes at universities,Traditional Human-central Practice,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,Contacts with institutes at universities appear as a personal knowledge-acquisition channel.,Direct interpersonal or institutional contact with university institutes.,"Table 4, PDF pages 8–9",
c111M01N18,visits to trade fairs,Traditional Human-central Practice,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,Table 4 lists visits to trade fairs among personal channels.,Physical attendance at trade fairs to encounter relevant information and actors.,"Table 4, PDF pages 8–9",
c111M01N19,training environment of consultants and providers of AI solutions,Traditional Human-central Practice,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,Table 4 identifies the training environment of consultants and AI-solution providers as an institutional channel.,A provider-led environment for instruction concerning AI solutions.,"Table 4, PDF pages 8–9",
c111M01N20,further education institutes,Traditional Human-central Practice,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,Table 4 lists further education institutes as an institutional channel.,Institutions providing continuing education.,"Table 4, PDF pages 8–9",
c111M01N21,existing specialized training or extra-occupational studies,Traditional Human-central Practice,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,Table 4 lists existing specialized training or extra-occupational studies.,Formal specialized or part-time educational programs.,"Table 4, PDF pages 8–9",
c111M02N23,Exchange with other innovative companies,Traditional Human-central Practice,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,Exchange with other innovative companies that use AI,Direct interaction and knowledge sharing between controllers at different companies with AI experience,"Page 8, Table 4",
c111M02N26,Professional networks/special interest groups,Traditional Human-central Practice,E,Exploring Ai Frontiers: Insights From Austria'S Industrial Sector On Enhancing Control Functions,interactions in professional networks or special interest groups,Structured professional communities and thematic interest groups for knowledge exchange,Page 8,
c113M01N12,paper-based document,Traditional Human-central Practice,E,Augmented Reality Training For Improved Learnability,The paper-based document served as the control learning interface and contained textual instructions and pictures for the wiring task.,Nondigital learning approach based on a paper document containing task information and instructions.,"Sections 3.3.1 and 3.3.1.1, page 22",
c113M02N18,Paper-based wiring manual training,Traditional Human-central Practice,E,Augmented Reality Training For Improved Learnability,The paper-based document... contains all information about the electronic system and its components. It also consists of a step-by-step information in the form of textual instruction and pictures to complete a wiring task,Not mentioned,Page 4,
c113M02N19,In-class wiring training,Traditional Human-central Practice,E,Augmented Reality Training For Improved Learnability,traditional training such as in-class training and paper-based manual are not reliable means for teaching job tasks,Not mentioned,Page 1,
c113M02N20,Conventional maintenance training,Traditional Human-central Practice,E,Augmented Reality Training For Improved Learnability,"conventional training could lead to long hours of training, frustration, and overall decrease in worker productivity",Not mentioned,Page 2,
c114M01N09,interfirm communication and cooperation in digital innovation,Traditional Human-central Practice,E,The Impact Of Digital Technology Innovation Network Embedding On Firms’ Innovation Performance: The Role Of Knowledge Acquisition And Digital Transformation,Digital technology innovation requires cooperation and communication between enterprises and other organizations to facilitate knowledge and resource sharing.,"Human-centered interaction among firms used to exchange knowledge, information, and other innovation resources.","Introduction, p. 2; Section 5, pp. 16–17",
c115M02N17,Traditional knowledge systems,Traditional Human-central Practice,G,Harnessing Digital Transformation For Sustainable Performance: Exploring The Mediating Roles Of Green Knowledge Acquisition And Innovation Performance Under Digital Transformational Leadership,"Digital transformation ""reshape[s] green knowledge acquisition capabilities"" and ""transform[s] traditional knowledge system frameworks""",Not mentioned,Page 21,
c117M01N20,internal round-table idea discussions,Traditional Human-central Practice,E,The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry,"After expert selection, subsequent interactions with submitters may occur through round-table discussions.",Human discussions used to develop selected product ideas.,"PDF page 13, Section 4.4.1",
c117M01N21,internal product-idea knowledge-sharing workshops,Traditional Human-central Practice,E,The Role Of Internal And External Social Media In The Idea Generation Phases Of New Product Development: Evidence From The Technology Industry,"After expert selection, subsequent interactions may occur through knowledge-sharing workshops.",Facilitated human sessions for sharing and developing selected product ideas.,"PDF page 13, Section 4.4.1",
c119M01N47,manual selection and semantic grouping of robot-recognition concepts,Traditional Human-central Practice,E,A Combined Approach For Improving Humanoid Robots Autonomous Cognitive Capabilities,Researchers manually selected 34 concepts and defined five semantic classes.,Human-driven selection and semantic grouping before digital robot-learning experiments.,"Section 5.1 and Table 1, PDF pp. 10-11; printed pp. 3206-3207",
c120M02N14,Dynamic SDR Selection Mechanism (DSSC),Traditional Human-central Practice,E,Dynamic Scheduling For Job Shop With Machine Failure Based On Data Mining Technologies,...the data-mining-based dynamic SDR selection mechanism to mine a DSSC...,A practice of using a classifier to select an appropriate dispatching rule from a set.,"Section 1, Introduction, Page 2",
c120M02N15,Aggregation of Multiple SDRs with Weights,Traditional Human-central Practice,E,Dynamic Scheduling For Job Shop With Machine Failure Based On Data Mining Technologies,...an aggregation of multiple SDRs with appropriate weights can offer a better adaptation...,"A proposed traditional practice of combining multiple rules using a weighted sum, though determining weights is a challenge.","Section 1, Introduction, Page 2",
c121M01N12,traditional circular-supply-chain trial-and-error methods,Traditional Human-central Practice,E,How Can Generative Artificial Intelligence Empower Circular Supply Chain Practices? Evidence From Chinese Companies,The paper compares GenAI-supported virtual simulation with traditional trial-and-error methods and states that organizations can iterate more quickly with GenAI.,Conventional human-centered testing and adjustment of circular designs or operational solutions through successive trials.,"p. 4, Mediating role of iterative innovation",
c121M02N16,Traditional trial-and-error methods,Traditional Human-central Practice,E,How Can Generative Artificial Intelligence Empower Circular Supply Chain Practices? Evidence From Chinese Companies,"It can substantially shorten the innovation cycle, allowing organizations to iterate on innovation more quickly than traditional trial-and-error methods.",Conventional innovation approach involving physical testing and experimentation.,Page 4,
c122M01N21,static document exchange,Traditional Human-central Practice,E,Exploring The Role Of Metaverse-Enabled Knowledge Collaboration In Enhancing Knowledge Management Outcomes In Manufacturing,The paper contrasts immersive collaboration with knowledge collaboration confined to static document exchange.,Exchange of static documents as a conventional knowledge-collaboration mechanism.,"Section 3.6, PDF page 10",
c124M01N13,reactive mechanical maintenance,Traditional Human-central Practice,E,Digital Twin Adoption For Mechanical Maintenance Management: A Capability-Based Approach To Enhancing Operational Resilience,The paper contrasts digitally supported predictive and adaptive maintenance frameworks with reactive and preventive concepts.,Mechanical maintenance performed after a fault or failure occurs.,"Introduction, PDF page 1",
c124M01N14,preventive mechanical maintenance,Traditional Human-central Practice,E,Digital Twin Adoption For Mechanical Maintenance Management: A Capability-Based Approach To Enhancing Operational Resilience,The paper contrasts digitally supported predictive and adaptive maintenance frameworks with reactive and preventive concepts.,Scheduled mechanical maintenance intended to prevent equipment failures.,"Introduction, PDF page 1",
