src_node_id,dst_node_id,relation_type,src_l1_node_id,dst_l1_node_id,evidence_label,case_title,evidence_statement
s001M02TP01,s001M02TK09,evaluate,c001M01N07,c001M01N02,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),This study measures the practical performance to evaluate the effectiveness of the proposed VR training system.
s001M02THR03,s001M02EK04,evaluate,c001M01N06,c001M01N01,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"In this comparative study, participants' safety knowledge was measured via a knowledge test, which was applicable to the participants from both groups."
s001M02TK09,s001M02KH01,be_held_by,c001M02N10,c001M02N13,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Construction workers are the target population who need practical performance skills
s001M02TK09,s001M02KH03,be_held_by,c001M02N10,c001M01N05,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),University students participated and held practical performance as measured
s001M02TK09,s001M02KH01,be_absorbed_by,c001M02N10,c001M02N13,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"VR training significantly improved practical performance, indicating absorption by construction workers"
s001M02TK09,s001M02TP02,be_captured_by,c001M02N10,c001M02N19,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Participants' practical performance was assessed in VR before and immediately after training
s001M02EK01,s001M02THR03,be_transferred_by,c001M02N03,c001M01N06,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Control group received training via an excavation health and safety manual
s001M02EK01,s001M02TP01,be_transferred_by,c001M02N04,c001M01N07,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The VR training system delivered training on seven critical hazards
s001M02TK09,s001M02TP01,be_transferred_by,c001M02N10,c001M01N07,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),VR training aimed to improve hazard response skills
s001M02KH02,s001M02TP02,participate_in,c001M01N04,c001M02N18,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),All participants completed knowledge tests via Google Forms
s001M02KH03,s001M02TP02,participate_in,c001M01N05,c001M02N18,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),All participants completed knowledge tests via Google Forms
s001M02TP01,s001M02OD05,depend_on,c001M01N07,c001M02N28,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The movement area was confined to a 3m x 3m square
s001M02TP01,s001M02OD06,depend_on,c001M01N07,c001M02N31,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Massey University Research Ethics Committee granted ethics approval to conduct this study
s001M02TP02,s001M02EK01,evaluate,c001M02N18,c001M02N04,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The knowledge test included questions covering the seven critical hazards
s001M02TP02,s001M02TK09,evaluate,c001M02N19,c001M02N10,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"Practical performance assessment measured ability to identify, evaluate, and respond to hazards"
s001M02TP01,s001M02EK01,adopt,c001M01N07,c001M02N02,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Training objectives were based on WorkSafe guidelines
s001M02TP01,s001M02LI02,be_constrained_by,c001M01N07,c001M02N37,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),This study uses only questioning as the instructional method
s001M02TP01,s001M02LI02,mitigate,c001M01N07,c001M01N13,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"VR training significantly improved practical performance (p<0.001), bridging the knowledge-to-practice gap"
s001M02TK03,s001M02KH01,be_held_by,c002M01N01,c002M01N02,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),the craftsmanship process such as wooden construction and rammed earth technology are recorded in sequence.
s001M02TK03,s001M02TP05,be_captured_by,c002M01N01,c002M01N12,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"Then, an interactive knowledge graph is constructed to digitalize the recording of craftsmanship process."
s001M02KH01,s001M02TP05,participate_in,c002M01N02,c002M01N12,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"the craftsman-ship process such as wooden construction and rammed earth technology are recorded in sequence. Then, an interactive knowledge graph is constructed."
s001M02TP04,s001M02EK01,adopt,c002M01N10,c002M01N03,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"A graded protection framework is proposed based on Technical Standards for Historical Building Digitization (2021) [2], Core buildings are required to model at millimeter level"
s001M02TK10,s001M02KH03,be_held_by,c002M01N05,c002M01N06,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The historical cognition of visitors increased by 53% after the QR code animation triggered by Unity3D engine.
s001M02TK03,s001M02THR03,be_transferred_by,c002M01N01,c002M01N07,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"1st (1930s) Paper-based Surveying, 2D Planar, Unidirectional Recording."
s001M02TK10,s001M02THR03,be_transferred_by,c002M01N05,c002M01N09,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),85% of digital exhibitions only passively show building exterior and wartime timeline but lack recreation of wartime life.
s001M02KH03,s001M02TP03,participate_in,c002M01N06,c002M01N14,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),A digital twin system realizes the real-time monitoring of visitors and AR virtual tour.
s001M02TP04,s001M02TE05,adopt,c002M01N10,c002M01N15,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),FARO Focus S350 realizes millimeter-level point cloud modeling.
s001M02TP03,s001M02TE02,adopt,c002M01N14,c002M01N17,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The historical cognition of visitors increased by 53% after the QR code animation triggered by Unity3D engine.
s001M02TP05,s001M02EK01,adopt,c002M01N12,c002M01N04,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Digital Preservation of Intangible Cultural Heritage: Digital Resource Collection and Cataloguing (WH/T 99.9-2023) Part 9... knowledge graph is constructed.
s001M02TP04,s001M02ED04,depend_on,c002M01N10,c002M01N19,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),point cloud data transmission failure rate in rural areas is as high as 18.7% because of technical challenges rural areas face.
s001M02TP04,s001M02LI05,be_constrained_by,c002M01N10,c002M01N20,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"although digital technologies can reduce surveying errors by 92%, when using advanced methods, cost of modeling per building is 3-5 times higher."
s001M02TP04,s001M02LI04,be_constrained_by,c002M01N10,c002M01N21,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"In comparison, modeling precision of county-level projects is restricted to LOD200 models... and data interoperability rate is below 30%."
s001M02THR03,s001M02LI02,be_constrained_by,c002M01N09,c002M01N22,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"For instance, when exhibiting bomb shelter, most cases only use static pictures to show Bombing site instead of Scenically reproduce."
s001M02TP01,s001M02LI02,resolve,c002M01N13,c002M01N22,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),A new framework of 'graded protection-living inheritance-digital twin' is proposed... under metaverse scenario... reconstruction of bombing scene.
s001M02TP01,s001M02LI11,be_constrained_by,c002M01N13,c002M01N23,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),the excessive commercial operation would decrease the number of EEG positive signals by 40%.
s001M02TP01,s001M02TK10,evaluate,c002M01N13,c002M01N05,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"Tobii Pro eye tracker and Emotiv EEG device, the distribution of visitor's attention and the emotion of visitors in VR scenario are quantified."
s001M02TK10,s001M02LI04,be_difficult_to_capture_due_to,c002M01N05,c002M01N21,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"In comparison, modeling precision of county-level projects is restricted to LOD200 models... and data interoperability rate is below 30%."
s001M02TP04,s001M02THR03,complement,c002M01N10,c002M01N08,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Intergenerational Comparison of Conservation Technologies... error rate decreases from 2-3% to 0.5%.
s001M02TP01,s001M02THR03,complement,c002M01N13,c002M01N09,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"Compared with traditional exhibition, VR exhibition hall extended average stay time for 22 minutes and elevated repeat visitation rate by 18%."
s001M02TK01,s001M02TP09,be_captured_by,c002M02N08,c002M02N15,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),dynamic narrative system reconstructs historical scene such as bombing scene with temporal-space information
s001M02TK01,s001M02KH01,be_held_by,c002M02N08,c002M02N10,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),indigenous people ... return rate below 30% ... ICH skills at risk
s001M02TP07,s001M02TE02,adopt,c002M02N14,c002M01N17,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Unity3D Engine Application ... digital twin system
s001M02TP02,s001M02TE05,adopt,c002M02N27,c002M02N20,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Tobii Pro eye tracker ... quantify the distribution of visitor's attention
s001M02TP05,s001M02EK02,adopt,c002M02N28,c002M02N03,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),LOD400 modeling precision is adopted for projects in the central urban districts (via graded protection framework)
s001M02TP02,s001M02EK02,evaluate,c002M02N27,c002M02N01,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),eye tracker and EEG ... quantify the distribution of visitor's attention and emotion
s001M02TP09,s001M02EK04,evaluate,c002M02N15,c002M02N02,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),dynamic narrative system improves historical knowledge retention rate by 58%
s001M02TP09,s001M02OD06,depend_on,c002M02N15,c002M02N04,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),under the standard of Digital Protection of Intangible Cultural Heritage (2023)
s001M02TP04,s001M02OD06,depend_on,c002M02N13,c002M02N22,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),graded protection framework based on Technical Standards for Historical Building Digitization (2021)
s001M02TP05,s001M02OD06,depend_on,c002M02N28,c002M02N22,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),graded protection framework is proposed based on Technical Standards for Historical Building Digitization (2021)
s001M02THR03,s001M02LI04,be_constrained_by,c002M02N12,c002M02N25,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),most cases only use static pictures ... lack haptic devices
s001M02TP03,s001M02LI04,be_constrained_by,c002M01N14,c002M02N25,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),AR guides need to wait for an average of 2.7 seconds ... only 5% of venues provide haptic devices
s001M02TP04,s001M02LI03,mitigate,c002M02N13,c002M02N24,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),digital technology can improve architectural data collection accuracy (error rate < 0.5%) compared to traditional surveying error rate 2.3%
s001M02TP05,s001M02LI11,mitigate,c002M01N12,c002M02N26,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"interactive knowledge graph captures ICH skills, addressing transmission crisis"
s001M02EK01,s001M02TK02,translate_into,c003M01N01,c003M01N03,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"effectiveness of these safety training sessions on the knowledge acquisition of construction workers, which ultimately translates into safe construction practice"
s001M02TK09,s001M02KH03,be_absorbed_by,c003M01N02,c003M01N05,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Their feedback was collected using an online questionnaire and the responses were analysed using... process (IT2F-AHP) to measure knowledge acquisition
s001M02TK02,s001M02KH03,be_held_by,c003M01N03,c003M01N05,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"effectiveness of these safety training sessions on the knowledge acquisition of construction workers, which ultimately translates into safe construction practice"
s001M02TP03,s001M02LI01,mitigate,c003M01N08,c003M01N15,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"AR visualizations were most effective at imparting knowledge, and their interactive nature allowed trainees to retain the learned knowledge."
s001M02TP03,s001M02OD05,depend_on,c003M01N08,c003M01N12,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),designing customized training relevant to specific tasks being performed on-site is important in ensuring efficient knowledge acquisition
s001M02EK01,s001M02TK09,translate_into,c003M02N02,c003M02N05,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The safety training aimed to educate the trainees on the different fall risks... to improve hazard identification ability.
s001M02TK02,s001M02KH03,be_absorbed_by,c003M02N06,c003M01N05,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Safe working practices application is a learning outcome.
s001M02EK01,s001M02TP03,be_transferred_by,c003M02N02,c003M02N12,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),AR-based safety training using Microsoft Hololens 2 transferred the same safety content.
s001M02TP01,s001M02TE04,adopt,c003M02N13,c003M02N17,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),VR training used building models (BIM).
s001M02TP03,s001M02ED01,depend_on,c003M02N12,c003M02N19,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Training content based on code of practice.
s001M02TP03,s001M02LI09,be_constrained_by,c003M02N12,c003M02N23,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),moving around them in a physical space was cumbersome for the participants.
s001M02TK02,s001M02LI02,be_difficult_to_capture_due_to,c003M02N06,c003M02N22,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Insufficient absorption of information hinders acquisition of safe working practices.
s001M02TK06,s001M02KH02,be_held_by,c004M01N10,c004M01N04,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Beta's reliance on the bid manager's intuition
s001M02THR03,s001M02EK03,evaluate,c004M01N15,c004M01N09,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Ground truth labels for the requirements extraction module were generated through manual annotation of the RFPs by the research team
s001M02TP05,s001M02TE01,adopt,c004M01N16,c004M01N21,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),GPT-4o LLM is used in extracting predefined requirements from the uploaded RFP
s001M02THR03,s001M02LI03,be_constrained_by,c004M01N13,c004M01N27,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"often constrained by fragmented information, inconsistent documentation"
s001M02TP05,s001M02LI03,be_constrained_by,c004M01N16,c004M01N28,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"First, the current extraction process only supports PDF documents; accuracy decreases for scanned or image-based documents, as no Optical Character Recognition (OCR) is integrated"
s001M02TP05,s001M02LI03,mitigate,c004M01N17,c004M01N27,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),This component mitigates knowledge loss by surfacing prior bids most relevant to new RFP requirements
s001M02TP05,s001M02THR03,cannot_fully_replace,c004M01N18,c004M01N14,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"While human oversight remains essential for contextual refinement, the system shows strong potential"
s001M02TP05,s001M02THR03,complement,c004M01N18,c004M01N13,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"The AI-generated sections demonstrated near-human quality while being produced in seconds, compared to several hours of manual drafting"
s001M02THR03,s001M02OD06,depend_on,c004M01N13,c004M01N24,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),suggesting that investment in integrated digital infrastructure and centralized data management will be critical for scaling automation
s001M02THR03,s001M02OD05,depend_on,c004M01N13,c004M01N25,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),firms must invest in digital infrastructure to support these systems
s001M02EK03,s001M02TP05,be_transferred_by,c004M01N08,c004M01N16,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The user uploads a new RFP document (PDF format) into the system. GPT-4o extracts predefined requirements
s001M02EK03,s001M02KH02,be_held_by,c004M01N07,c004M02N14,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Historical bid documents were stored and used by the bid preparation team.
s001M02KH02,s001M02TP05,participate_in,c004M02N16,c004M02N22,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Management reviews extracted requirements to make final bid/no-bid decisions.
s001M02TP05,s001M02TE04,adopt,c004M02N22,c004M02N29,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The system adopts Pinecone vector database for semantic retrieval.
s001M02TP05,s001M02TE07,adopt,c004M02N22,c004M02N31,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The system adopts Streamlit for the graphical interface.
s001M02TP07,s001M02TE07,adopt,c004M02N26,c004M02N31,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Human-in-the-loop interface built with Streamlit.
s001M02TP05,s001M02LI12,mitigate,c004M02N23,c004M02N38,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),This component (semantic retrieval) mitigates knowledge loss by surfacing prior bids most relevant to new RFP requirements.
s001M02THR03,s001M02LI06,be_constrained_by,c004M02N17,c004M02N37,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Manual drafting is time-consuming and repetitive.
s001M02TP05,s001M02OD05,depend_on,c004M02N22,c004M02N35,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Automation success depends on digital infrastructure maturity.
s001M02TK06,s001M02LI03,be_difficult_to_capture_due_to,c004M02N07,c004M02N40,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Contextual judgment is difficult to capture due to customization challenges and need for expert input.
s001M02TP05,s001M02LI07,be_constrained_by,c004M02N24,c004M02N42,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Requirements extraction trained on small dataset (13 documents).
s001M02TK02,s001M02KH01,be_held_by,c005M01N02,c005M01N01,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),One is to know the physical abilities and skills of each worker.
s001M02TK05,s001M02KH01,be_held_by,c005M01N04,c005M01N01,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),We have tested the physical performance of construction workers... and also measured their physical workload using wearable sensors.
s001M02TK02,s001M02TP08,be_captured_by,c005M01N02,c005M01N10,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"Physical performance assessment of construction workers... To measure the physical performance of individuals and analyses the correlation with diseases, physical strength measurements and health questionnaires of workers were conducted."
s001M02TK01,s001M02TP08,be_captured_by,c005M01N03,c005M01N11,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"Workload measurement using wearable sensors... To collect workload data and determine the presence or absence of manual loads, we were present at each worker's worksite and recorded video footage."
s001M02TK05,s001M02TP08,be_captured_by,c005M01N04,c005M01N11,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"In this study, a lumbar load measuring device with multiple IMU sensors was used to measure workload."
s001M02KH01,s001M02THR03,participate_in,c005M01N01,c005M01N08,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"...evaluation charts such as the OWAS method, RULA, REBA and HOHSRAM have been utilized. Based on this result, the development of assistive technology suitable for work is required."
s001M02KH01,s001M02TP08,participate_in,c005M01N01,c005M01N11,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),Lumbar load measurement devices equipped with multiple IMU sensors were used to measure the workload of 64 of these workers.
s001M02KH01,s001M02TP03,participate_in,c005M01N01,c005M01N12,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),We introduced multiple assistive suits to the site and conducted a questionnaire survey on the workers who wore them to compile an objective evaluation.
s001M02TP08,s001M02EK04,evaluate,c005M01N10,c005M01N06,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),An evaluation equation (1) for physical performance was developed from eight items adding age to the seven items of physical strength test.
s001M02TP08,s001M02TE07,adopt,c005M01N10,c005M01N15,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"In addition, a dedicated web application (Fig.6) has been developed separately for the purpose of streamlining questionnaires and is used to tabulate and analyse the data."
s001M02TP08,s001M02TE05,adopt,c005M01N11,c005M01N13,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"In this study, a lumbar load measuring device with multiple IMU sensors was used to measure workload."
s001M02THR03,s001M02LI13,be_constrained_by,c005M01N09,c005M01N17,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The application of robots on construction sites is a cherished desire for the construction industry where one-item production is the basis... task allocation based on age was not conducted.
s001M02TP03,s001M02LI10,mitigate,c005M01N12,c005M01N21,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"By properly using the Smartsuit, the burden and fatigue on the body can be reduced... This helps maintain and enhance physical strength and prevent work-related injuries such as LBP."
s001M02TP08,s001M02LI13,resolve,c005M01N11,c005M01N19,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),It was found that introducing assistive technologies uniformly is difficult... evaluation was performed using equation (16) to avoid being influenced by workers' physical information.
s001M02TK02,s001M02LI10,be_difficult_to_capture_due_to,c005M01N02,c005M01N20,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"...they have reduced flexibility and balance and may not be aware of their weakening core. Consequently, they are more prone to developing low back pain (LBP) syndromes from overexertion at work."
s001M02THR03,s001M02LI09,be_constrained_by,c005M01N08,c005M01N16,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"The risk of injury and death in the construction industry relative to the number of workers is 1.6 times higher... Therefore, creating a safe environment is important, and evaluation charts... have been utilized."
s001M02THR03,s001M02LI05,be_constrained_by,c005M01N09,c005M01N18,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"General contractors are racing to develop construction robots... Many of the construction robots that have been presented are 'heavy, large and expensive'... task allocation based on age was not conducted."
s001M02KH01,s001M02TP07,participate_in,c005M01N01,c005M02N20,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),A dedicated web application... is used to tabulate and analyse the data (workers fill the questionnaire).
s001M02TP08,s001M02TE03,adopt,c005M01N11,c005M02N22,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"Smartsuit... which is based on logical and scientific evidence, among the numerous passive assistance suits (Fig. 5)."
s001M02TP07,s001M02EK04,evaluate,c005M02N20,c005M02N02,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),A dedicated web application... is used to tabulate and analyse the data.
s001M02THR03,s001M02TK02,evaluate,c005M02N15,c005M02N09,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"Evaluation charts such as the OWAS method, RULA, REBA and HOHSRAM have been utilized. (These evaluate postures)"
s001M02TP08,s001M02LI08,be_constrained_by,c005M01N11,c005M02N29,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),The result of the one-sided T-test showed that p = 0.158 and no significant difference was found in the evaluation of physical performance according to the presence or absence of LBP.
s001M02THR03,s001M02LI08,be_constrained_by,c005M02N15,c005M02N31,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"As there is no correlation between the workload and the assistive technologies, it is unclear who the target audience is."
s001M02TP08,s001M02OD06,depend_on,c005M02N17,c005M02N26,I,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),We visited actual work sites... we were present at each worker's worksite. (Implies permission needed)
s001M02TP08,s001M02ED03,depend_on,c005M01N11,c005M02N28,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),We visited actual work sites.
s001M02TK02,s001M02LI08,be_difficult_to_capture_due_to,c005M02N09,c005M02N31,E,SIC 15 - Construction (Building Construction—General Contractors And Operative Builders),"As there is no correlation between the workload and the assistive technologies, it is unclear who the target audience is."
