"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N25","NOTS graded online course tasks and activities","Technology-enable Practice","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Individual grades were assigned based on completion of course tasks and activities.","Online activities used to grade participant progress and determine course completion.","Journal p. 471; PDF p. 2, Methods—Participant Engagement"
"N26","NOTS anonymous online post-course evaluation","Technology-enable Practice","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","At the conclusion of the online modules, enrollees were prompted to anonymously evaluate their online learning experience.","An online questionnaire capturing participant perceptions and recommendations.","Journal p. 471; PDF p. 2, Methods—Participant Engagement and Analysis"
"N28","Cure4Kids online learning platform","Digital Technology","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Invited teams were enrolled into the prerequisite modules in Cure4Kids.","The named digital platform used to host the prerequisite NOTS modules.","Journal p. 471; PDF p. 2, Methods—Participant Engagement"
"N31","Reliable internet connectivity for NOTS online learning","Environmental Dependency","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Unreliable internet connectivity can hinder online engagement by participants in LMICs.","Availability of a sufficiently reliable internet connection for online participation.","Journal pp. 474–475; PDF pp. 5–6, Discussion"
"N32","Access to digital devices and online-learning infrastructure in LMICs","Environmental Dependency","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Limited access to digital devices and insufficient infrastructure frequently hinder online engagement.","Availability of devices and supporting infrastructure required for online learning in LMICs.","Journal pp. 474–475; PDF pp. 5–6, Discussion"
"N33","Geographic and financial barriers to pediatric neuro-oncology in-person training","Limitation","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Healthcare professionals face geographic and financial barriers to in-person learning.","Constraints limiting access to face-to-face pediatric neuro-oncology training.","Journal p. 470; PDF p. 1, Introduction"
"N34","NOTS participants' time constraints and clinical work overload","Limitation","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","A respondent requested more time because participants were already overwhelmed with work.","Insufficient time to complete online course activities alongside clinical responsibilities.","Journal p. 474; PDF p. 5, Qualitative Results"
"N35","English-language and lecture-audio clarity barriers in NOTS","Limitation","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Respondents requested clearer lectures and audio enhancements for people not speaking English.","Difficulty understanding English-language recorded or live course content because of language and audio clarity.","Journal p. 474; PDF p. 5, Qualitative Results"
"N36","NOTS online-course noncompletion and early dropout","Limitation","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","Some participants did not complete the course, had no grades, or dropped out early.","Failure to complete all required NOTS online modules and activities.","Journal pp. 470, 472, and 475; PDF pp. 1, 3, and 6"
"N37","Self-report and evaluation-completer bias in the NOTS study","Limitation","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","The study relied on self-reported measures and contained inherent bias among participants who completed the evaluation.","Measurement vulnerability resulting from self-reporting and selective evaluation completion.","Journal p. 475; PDF p. 6, Discussion—Limitations"
"N38","Lack of long-term pediatric neuro-oncology competency and clinical-outcome assessment","Limitation","E","Online Outcomes of a Pediatric Neuro-Oncology Course for Multidisciplinary Healthcare Professionals in Low- and Middle-Income Countries","The study did not establish long-term effects on clinical competency, clinical practice, or patient outcomes.","Absence of longitudinal evidence concerning competency, practice change, and patient outcomes.","Journal p. 475; PDF p. 6, Discussion"
