"src_node_id","dst_node_id","relation_type","evidence_label","case_title","evidence_statement","evidence_location"
"N09","N43","depend_on","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Robot acquisition remains framed by the General Knowledge Base for consistency.","Section 3.1, PDF p. 6; printed p. 3202"
"N07","N19","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The General Knowledge Base adopts an ontological model.","Section 3.1, PDF pp. 5-6; printed pp. 3201-3202"
"N07","N20","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The General Knowledge Base follows WordNet.","Section 3.1, PDF p. 6; printed p. 3202"
"N07","N21","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The General Knowledge Base imports ImageNet-derived features.","Section 3.1, PDF p. 6; printed p. 3202"
"N07","N01","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Semantic knowledge is represented in the General Knowledge Base.","Sections 3.1 and 4, PDF pp. 5-7; printed pp. 3201-3203"
"N07","N03","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The General Knowledge Base imports image-derived visual features.","Section 3.1, PDF p. 6; printed p. 3202"
"N07","N04","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The General Knowledge Base represents semantic concepts as synsets.","Sections 3-3.1, PDF pp. 5-6; printed pp. 3201-3202"
"N08","N01","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The Local Knowledge Base retains machine-specific semantic knowledge.","Sections 3-3.1, PDF pp. 5-6; printed pp. 3201-3202"
"N08","N02","adopt","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Knowledge acquired from observations is retained locally rather than altering the General Knowledge Base.","Section 3.1, PDF p. 6; printed p. 3202"
"N08","N04","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The Local Knowledge Base contains and adds semantic concepts.","Sections 3-3.1, PDF pp. 5-6; printed pp. 3201-3202"
"N09","N01","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The acquisition phase uses robot semantic knowledge.","Sections 3-4, PDF pp. 5-7; printed pp. 3201-3203"
"N09","N02","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The acquisition phase uses robot perceptual knowledge.","Sections 3-4, PDF pp. 5-7; printed pp. 3201-3203"
"N10","N02","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Bottom-up acquisition uses sensor-derived perceptual knowledge.","Sections 4-4.1, PDF p. 7; printed p. 3203"
"N10","N03","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Bottom-up acquisition uses object-image visual features.","Sections 4 and 5.1, PDF pp. 7 and 11; printed pp. 3203 and 3207"
"N11","N01","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Top-down acquisition uses semantic knowledge.","Section 4, PDF p. 7; printed p. 3203"
"N11","N04","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Top-down acquisition uses semantic concepts.","Sections 4 and 6, PDF pp. 7 and 19; printed pp. 3203 and 3215"
"N12","N01","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combined classifier incorporates semantic knowledge.","Sections 4.4 and 6, PDF pp. 9 and 18-19; printed pp. 3205 and 3214-3215"
"N12","N02","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combined classifier incorporates perceptual knowledge.","Sections 4.4 and 6, PDF pp. 9 and 18-19; printed pp. 3205 and 3214-3215"
"N12","N05","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combined classifier takes predicted synset lists as inputs.","Section 6, PDF p. 19; printed p. 3215"
"N12","N26","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combined classifier uses Ordered-Weighted Averaging operators.","Sections 4.4 and 6, PDF pp. 9-10 and 18-19; printed pp. 3205-3206 and 3214-3215"
"N12","N27","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combination algorithm was implemented in Python.","Section 6, PDF p. 19; printed p. 3215"
"N12","N50","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combined classifier was tested on a test set extracted from the 34-synset dataset.","Section 6, PDF pp. 18-19; printed pp. 3214-3215"
"N13","N02","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","SOM clustering operates on visual observations.","Sections 4.1-4.2, PDF pp. 7-8; printed pp. 3203-3204"
"N13","N03","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","SOM experiments use extracted visual features.","Sections 4.2 and 5.1, PDF pp. 8 and 11; printed pp. 3204 and 3207"
"N13","N22","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","SOM experiments use convolutional-network activation features.","Sections 4.2 and 5.1, PDF pp. 8 and 11; printed pp. 3204 and 3207"
"N13","N23","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The SOM workflow uses self-organizing maps.","Sections 4.2 and 5, PDF pp. 7-10; printed pp. 3203-3206"
"N13","N49","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","SOM experiments use semantic-domain labels to assess cluster coherence.","Sections 5.1-5.2, PDF pp. 10-13; printed pp. 3206-3209"
"N13","N50","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","SOM experiments use the prepared object-image dataset.","Sections 5.1-5.2, PDF pp. 10-12; printed pp. 3206-3208"
"N14","N02","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM clustering operates on visual observations.","Sections 4.1 and 4.3, PDF pp. 7-9; printed pp. 3203-3205"
"N14","N03","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM experiments use image-feature data.","Section 5.2, PDF pp. 11-12; printed pp. 3207-3208"
"N14","N22","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM experiments use convolutional-network features.","Section 5.2, PDF p. 12; printed p. 3208"
"N14","N24","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The hierarchical workflow uses GHSOM technology.","Sections 4.3 and 5, PDF pp. 8-10; printed pp. 3204-3206"
"N14","N49","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM experiments compare clusters with semantic-domain labels.","Section 5.2, PDF pp. 12-16; printed pp. 3208-3212"
"N14","N50","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM experiments use the 34-synset object-image dataset.","Section 5.2, PDF pp. 11-12; printed pp. 3207-3208"
"N15","N04","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM optimization uses semantic labels and Wu-Palmer similarity among concepts.","Section 5.3, PDF pp. 16-18; printed pp. 3212-3214"
"N15","N25","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The optimization workflow uses a genetic algorithm.","Sections 5.2-5.3, PDF pp. 11-18; printed pp. 3207-3214"
"N15","N49","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM optimization uses semantic-domain labels.","Section 5.3, PDF pp. 16-18; printed pp. 3212-3214"
"N15","N50","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM parameter optimization operates on the experimental dataset.","Sections 5.2-5.3, PDF pp. 11-18; printed pp. 3207-3214"
"N16","N12","be_composed_of","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The Pepper validation workflow includes the implemented combined classifier as its object-recognition component.","Section 6.1, PDF pp. 19-20; printed pp. 3215-3216"
"N16","N05","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper validation uses classification predictions to select a semantically similar object.","Section 6.1, PDF pp. 20-21; printed pp. 3216-3217"
"N16","N27","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper communication uses its Python interface.","Section 6.1, PDF p. 21; printed p. 3217"
"N16","N28","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper validation uses the 2D camera.","Section 6.1, PDF p. 20; printed p. 3216"
"N16","N29","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper validation uses movement sensors.","Section 6.1, PDF p. 20; printed p. 3216"
"N16","N30","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper validation uses external speech-recognition technology.","Section 6.1, PDF p. 21; printed p. 3217"
"N17","N30","adopt","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","IBM Watson supplies the replacement speech-recognition technology.","Section 6.1, PDF p. 21; printed p. 3217"
"N12","N05","evaluate","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combined algorithm ranks predicted synsets and computes top-one and top-five accuracy.","Section 6, PDF p. 19; printed p. 3215"
"N14","N04","evaluate","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM experiments assess semantic coherence of concept clusters.","Sections 5.2-5.3, PDF pp. 12-18; printed pp. 3208-3214"
"N15","N49","evaluate","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Optimization fitness evaluates semantic-label diversity and similarity.","Section 5.3, PDF pp. 16-18; printed pp. 3212-3214"
"N16","N18","evaluate","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The physical validation tests Pepper's object-recognition capability.","Section 6.1, PDF pp. 19-21; printed pp. 3215-3217"
"N48","N50","evaluate","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Manual review evaluates image consistency in the experimental dataset.","Section 5.1, PDF pp. 10-11; printed pp. 3206-3207"
"N07","N32","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The ontological basis is rigid in handling knowledge exceptions.","Sections 2 and 3.1, PDF pp. 4-6; printed pp. 3200-3202"
"N07","N33","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","General robot acquisition is limited to the General Knowledge Base's concepts.","Section 3.1, PDF p. 6; printed p. 3202"
"N07","N35","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","A single centralized knowledge base impairs retrieval as it grows.","Section 3.1, PDF p. 6; printed p. 3202"
"N08","N33","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Local robot knowledge remains framed by the General Knowledge Base.","Section 3.1, PDF p. 6; printed p. 3202"
"N09","N34","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Real-environment acquisition can introduce observation errors.","Section 3.1, PDF p. 6; printed p. 3202"
"N13","N36","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Classical SOM learning is constrained by fixed map size.","Section 4.3, PDF p. 8; printed p. 3204"
"N13","N37","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Classical SOM learning is constrained by flat structure.","Section 4.3, PDF p. 8; printed p. 3204"
"N16","N38","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper validation is constrained by limited onboard hardware.","Section 6.1, PDF p. 21; printed p. 3217"
"N16","N39","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper validation is constrained by onboard sensor quality.","Section 6.1, PDF p. 21; printed p. 3217"
"N12","N40","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Confidence in combined-classification findings is limited by dataset size.","Section 6, PDF p. 19; printed p. 3215"
"N16","N41","be_constrained_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper response time depends on the communication platform.","Section 6.1, PDF p. 21; printed p. 3217"
"N08","N34","mitigate","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Local stores keep observation errors from altering the General Knowledge Base.","Section 3.1, PDF p. 6; printed p. 3202"
"N08","N35","mitigate","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Local stores reduce reliance on one growing centralized knowledge base.","Section 3.1, PDF p. 6; printed p. 3202"
"N14","N36","mitigate","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Dynamically growing GHSOM maps address fixed SOM size.","Section 4.3, PDF pp. 8-9; printed pp. 3204-3205"
"N14","N37","mitigate","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The GHSOM hierarchy addresses flat SOM organization.","Section 4.3, PDF pp. 8-9; printed pp. 3204-3205"
"N17","N38","mitigate","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","IBM Watson reduced computational load on Pepper.","Section 6.1, PDF p. 21; printed p. 3217"
"N18","N42","be_absorbed_by","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper demonstrates the acquired capability by recognizing encountered objects.","Section 6.1, PDF pp. 20-21; printed pp. 3216-3217"
"N42","N16","participate_in","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper performs the physical validation workflow.","Section 6.1, PDF pp. 19-21; printed pp. 3215-3217"
"N44","N46","be_shared_by","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Researchers apply semantic judgment when grouping concepts.","Section 5.1 and Table 1, PDF pp. 10-11; printed pp. 3206-3207"
"N45","N46","be_shared_by","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Researchers apply visual-semantic judgment when checking images.","Section 5.1, PDF pp. 10-11; printed pp. 3206-3207"
"N44","N47","be_transferred_by","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Semantic-domain judgment is applied through manual concept grouping.","Section 5.1 and Table 1, PDF pp. 10-11; printed pp. 3206-3207"
"N45","N48","be_transferred_by","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Visual-semantic judgment is applied through manual image review.","Section 5.1, PDF pp. 10-11; printed pp. 3206-3207"
"N46","N47","participate_in","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Researchers manually select concepts and define semantic classes.","Section 5.1 and Table 1, PDF pp. 10-11; printed pp. 3206-3207"
"N46","N48","participate_in","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Researchers manually check retrieved images for inconsistencies.","Section 5.1, PDF pp. 10-11; printed pp. 3206-3207"
"N49","N47","be_transferred_by","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Semantic-domain labels are conveyed through manual concept grouping.","Section 5.1 and Table 1, PDF pp. 10-11; printed pp. 3206-3207"
