src_node_id,dst_node_id,relation_type,evidence_label,case_title,evidence_statement,evidence_location
"N15","N01","evaluate","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The real-time monitoring practice evaluates the captured data against the Temperature Thresholds to determine compliance.","Section 4.5, Table 3"
"N15","N28","be_constrained_by","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The real‑time monitoring relies on occupancy sensors, whose inaccuracy can affect the quality of the data collected.","Section 4.4, Page 18"
"N16","N01","evaluate","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The analysis process uses the thresholds to classify and quantify the monitored data.","Sections 4.5 and 4.6"
"N16","N03","adopt","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The data-to-knowledge analysis process adopts the measured IoT data as a structural data file for its analytical operations.","Section 3.3, Page 11"
"N16","N04","adopt","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The analysis process adopts the calculated thermal inertia as a structural outcome used for understanding building behavior.","Section 4.2, Pages 15-16"
"N16","N05","adopt","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The analysis process adopts the identified sawtooth pattern as a structural outcome to characterize thermal morphology.","Section 4.1, Page 13"
"N16","N06","adopt","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The analysis process adopts the quantified potential savings as a structural outcome to demonstrate economic impact.","Section 4.6, Page 21"
"N16","N28","be_constrained_by","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The data analysis relies on the same occupancy data, so it is also constrained by the inaccuracy of the sensors.","Section 4.4, Page 18"
"N02","N08","translate_into","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The legislative directives, such as RDL 14/2022, set rules that influence the practical judgment of when to open windows, as occupants react to their thermal environment.","Section 4.4, Page 18"
"N09","N13","participate_in","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The building managers are the participants in the traditional practice of weekly heating scheduling.","Section 4.3, Page 16"
"N12","N14","participate_in","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","Building operators/managers are the intended participants who would engage with the new IoT-driven methodology to improve their management.","Page 1, Abstract"
"N29","N12","be_absorbed_by","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The improved heating control strategy, derived from IoT insights, is the new tacit knowledge that building operators/managers are expected to absorb and apply.","Page 24, Discussion, Paragraph 1"
"N29","N14","be_captured_by","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The new and improved heating strategy is the tacit knowledge that is captured and made possible through the implementation of the IoT-driven methodology.","Page 24, Discussion, Paragraph 1"
"N01","N02","be_derived_from","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The temperature thresholds (17‑21°C, 19°C) are explicitly derived from the legislative directives RDL 486/1997, RDL 14/2022, and EN 16798‑1:2019.","Section 3.3, Page 11"
"N08","N10","be_shared_by","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The tacit judgment on when to open windows/doors is held by building occupants, as they are the ones who perform these actions.","Section 4.4, Page 18"
"N08","N27","be_difficult_to_capture_due_to","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The paper states that non‑pattern behaviours (like opening windows) are unpredictable and cause discrepancies, making this tacit knowledge difficult to capture.","Section 4.4, Page 17"
"N11","N14","participate_in","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The authors (researchers) conceptualized and designed the IoT‑driven methodology, thus they participate in its development.","Author Contributions, Page 24"
"N14","N15","be_composed_of","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The IoT‑driven methodology includes the real‑time temperature monitoring as a core component.","Section 3.3, Page 11"
"N14","N16","be_composed_of","E","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The methodology also comprises the data‑to‑knowledge analysis process.","Section 3.3, Page 11"
"N04","N11","be_shared_by","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The calculated thermal inertia value is an explicit finding derived by the researchers, who hold this knowledge.","Section 4.2, Pages 15-16"
"N05","N11","be_shared_by","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The identified sawtooth pattern is an explicit finding derived by the researchers.","Section 4.1, Page 13"
"N06","N11","be_shared_by","I","Internet of Things (IoT) for Smart Built Environment (SBE) Understanding the Complexity and Contributing to Energy Efficiency; A Case Study In Mediterranean Climates","The quantified potential savings is an explicit finding derived by the researchers.","Section 4.6, Page 21"
