"node_id","node_name","category","evidence_label","case_title","evidence_statement","object_definition","evidence_location"
"N11","robot semantics-driven top-down acquisition","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The top-down approach contributes semantics and produces concept predictions with probabilities.","A semantics-driven approach for constructing robot knowledge.","Sections 4 and 6, PDF pp. 7 and 18-19; printed pp. 3203 and 3214-3215"
"N12","robot semantic-perceptual combined classification","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combined approach merges top-down and bottom-up predictions through weighted aggregation.","A robot object-classification workflow integrating semantic and perceptual outputs.","Sections 4.4 and 6, PDF pp. 9-10 and 18-20; printed pp. 3205-3206 and 3214-3216"
"N13","robot visual SOM semantic clustering","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Self-organizing maps were employed to detect semantic clusters from visual observations.","An implemented SOM workflow for clustering robot object observations.","Sections 4.2 and 5, PDF pp. 7-8 and 10-11; printed pp. 3203-3204 and 3206-3207"
"N14","robot visual GHSOM semantic clustering","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The authors implemented and evaluated growing hierarchical self-organizing maps on image features.","An implemented hierarchical workflow for clustering robot object observations.","Sections 4.3 and 5.2, PDF pp. 8-9 and 11-14; printed pp. 3204-3205 and 3207-3210"
"N15","robot GHSOM genetic-parameter optimization","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","A genetic algorithm fine-tunes the parameters controlling growth of the GHSOM architecture.","An optimization workflow for robot GHSOM growth parameters.","Section 5.3, PDF pp. 14 and 16-18; printed pp. 3210 and 3212-3214"
"N16","Pepper robot object-recognition validation","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The combined approach was tested on Pepper in a physical object-search and human-interaction scenario.","A real-world workflow validating Pepper's object-recognition performance.","Section 6.1, PDF pp. 19-21; printed pp. 3215-3217"
"N17","Pepper IBM Watson speech-recognition service","Technology-enable Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","IBM Watson replaced Pepper's integrated speech-recognition engine to reduce computational load and voice-recognition problems.","An external speech-recognition service used during Pepper interaction.","Section 6.1, PDF p. 21; printed p. 3217"
"N18","Pepper robot object-recognition capability","Tacit Knowledge","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper analyzed encountered objects with the combined approach and accomplished the recognition task in the real-world scenario.","Pepper's operational capability to recognize physical objects rather than a discrete codified statement.","Sections 6.1 and 7, PDF pp. 20-21; printed pp. 3216-3217"
"N19","robot knowledge-representation ontologies","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Ontologies are used for robot knowledge management, representation, integration, matching, and merging.","Formal semantic technologies for robot concepts and relations.","Sections 2, 3, and 3.1, PDF pp. 4-6; printed pp. 3200-3202"
"N20","WordNet lexical-semantic resource for robot knowledge","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The General Knowledge Base follows WordNet's synset and lexical-semantic structure.","A digital lexical resource underlying robot semantic knowledge.","Section 3.1, PDF pp. 5-6; printed pp. 3201-3202"
"N21","ImageNet visual-concept resource for robot knowledge","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Visual features extracted from ImageNet images were imported into the General Knowledge Base.","A digital image resource supplying robot visual-concept representations.","Sections 3 and 3.1, PDF pp. 5-6; printed pp. 3201-3202"
"N22","convolutional neural networks for robot visual-feature extraction","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Activation features from selected convolutional neural networks were extracted from each image.","Deep models used to extract robot-recognition image features.","Section 5.1, PDF p. 11; printed p. 3207"
"N23","self-organizing maps for robot visual clustering","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Classical self-organizing maps were used for unsupervised visual semantic clustering.","Unsupervised neural maps used to organize robot object-image features.","Sections 4.2 and 5, PDF pp. 7-8 and 10; printed pp. 3203-3204 and 3206"
"N24","growing hierarchical self-organizing maps for robot visual clustering","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","GHSOM provides a hierarchy of dynamically growing self-organizing maps.","An unsupervised hierarchical architecture for robot visual clustering.","Sections 4.3 and 5, PDF pp. 8-10; printed pp. 3204-3206"
"N25","genetic algorithm for robot GHSOM tuning","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The genetic algorithm optimizes the GHSOM growth parameters through an evolutionary process.","An evolutionary algorithm for tuning robot GHSOM parameters.","Sections 5.2-5.3, PDF pp. 11-18; printed pp. 3207-3214"
"N26","Ordered-Weighted Averaging operators for robot classification fusion","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Ordered-Weighted Averaging operators combine probability outputs from the two approaches.","Aggregation operators used to fuse robot classification results.","Sections 4.4 and 6, PDF pp. 9-10 and 18-19; printed pp. 3205-3206 and 3214-3215"
"N27","Python implementation of robot knowledge acquisition","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The learning algorithms and Pepper communication interface were implemented in Python.","The programming environment used for robot knowledge acquisition and communication.","Sections 5, 5.1, and 6.1, PDF pp. 10-11 and 21; printed pp. 3206-3207 and 3217"
"N28","Pepper robot 2D camera","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The Pepper validation mainly used the robot's 2D camera.","Pepper's onboard visual sensor for acquiring object images.","Section 6.1, PDF p. 20; printed p. 3216"
"N29","Pepper robot movement sensors","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The Pepper validation mainly used the robot's movement sensors with its camera.","Pepper's onboard sensors supporting movement and exploration.","Section 6.1, PDF p. 20; printed p. 3216"
"N30","Pepper external speech-recognition technology","Digital Technology","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","A more sophisticated speech-recognition engine was supplied through IBM Watson.","External technology converting speech into robot-processable input.","Section 6.1, PDF p. 21; printed p. 3217"
"N31","Pepper physical object environment","Environmental Dependency","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Bottom-up acquisition retrieves knowledge from perceived environmental elements, and Pepper observes objects placed along its path.","The external physical setting containing objects observable by Pepper.","Sections 4, 4.1, and 6.1, PDF pp. 7 and 20; printed pp. 3203 and 3216"
"N32","robot ontology rigidity in handling knowledge exceptions","Limitation","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Ontologies are described as monolithic and too rigid to manage exceptions and shades of knowledge easily.","Inflexibility of robot ontology representations when knowledge contains exceptions or nuance.","Section 2, PDF p. 4; printed p. 3200"
"N33","robot knowledge-acquisition scope constraint from the General Knowledge Base","Limitation","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Acquisition is normally limited to concepts contained in the General Knowledge Base.","Restriction of robot acquisition to the General Knowledge Base's conceptual scope.","Section 3.1, PDF p. 6; printed p. 3202"
"N34","robot knowledge errors from real-environment observation","Limitation","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Observation of a real environment during acquisition can introduce possible errors.","Errors that may enter robot knowledge through physical observation.","Section 3.1, PDF p. 6; printed p. 3202"
"N35","robot centralized knowledge-base retrieval degradation","Limitation","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","A single growing centralized knowledge base would impair querying and retrieval performance.","Reduced robot information-retrieval performance caused by central knowledge growth.","Section 3.1, PDF p. 6; printed p. 3202"
"N36","fixed map size in robot SOM learning","Limitation","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","A fixed SOM size can produce inappropriate or meaningless clusters when new knowledge is added.","The inability of a fixed robot SOM map to adapt to growing knowledge.","Section 4.3, PDF p. 8; printed p. 3204"
"N37","flat structure in robot SOM knowledge organization","Limitation","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The flat SOM structure cannot organize robot data hierarchically.","Absence of hierarchical organization in classical robot SOM learning.","Section 4.3, PDF p. 8; printed p. 3204"
"N38","limited Pepper onboard computing hardware","Limitation","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Humanoid robots have limited hardware relative to sophisticated machine-learning requirements.","Insufficient Pepper onboard capacity for demanding learning algorithms.","Section 6.1, PDF p. 21; printed p. 3217"
"N39","inaccurate or low-quality Pepper onboard sensors","Limitation","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Sensors on mainstream robot platforms are often inaccurate or not high quality.","Deficient accuracy or quality of Pepper-class onboard sensors.","Section 6.1, PDF p. 21; printed p. 3217"
"N40","limited robot object-image experimental dataset size","Limitation","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The authors state that wider datasets could increase confidence in the experimental findings.","Restricted scale of the object-image data used to evaluate robot recognition.","Section 6, PDF p. 19; printed p. 3215"
"N41","platform-dependent Pepper response time","Limitation","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","No systematic timing analysis was performed because response time depends on the communication platform.","Variation in Pepper response time caused by the supporting platform.","Section 6.1, PDF p. 21; printed p. 3217"
"N42","Pepper humanoid robot","Knowledge Learner","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Pepper explored the environment, analyzed encountered objects, and applied the combined approach to suggest an available object.","The robotic system applying the acquired object-recognition capability.","Section 6.1, PDF pp. 19-21; printed pp. 3215-3217"
"N43","robot-local knowledge alignment with the General Knowledge Base","Organizational Dependency","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Each Local Knowledge Base retains a reference to the General Knowledge Base, which guarantees whole-system consistency.","The internal architectural condition aligning locally acquired robot knowledge with the shared knowledge structure.","Section 3.1, PDF p. 6; printed p. 3202"
"N44","researcher judgment for robot-recognition semantic-domain grouping","Tacit Knowledge","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Researchers manually selected 34 concepts and defined five semantic classes with differing semantic coherence.","Uncodified researcher judgment for grouping robot-recognition concepts into semantic domains.","Section 5.1 and Table 1, PDF pp. 10-11; printed pp. 3206-3207"
"N45","researcher judgment for robot object-image consistency","Tacit Knowledge","I","A combined approach for improving humanoid robots autonomous cognitive capabilities","Researchers manually checked inconsistencies in automatically retrieved object images.","Uncodified visual-semantic judgment for identifying inconsistent robot-recognition images.","Section 5.1, PDF pp. 10-11; printed pp. 3206-3207"
"N46","robot knowledge-acquisition researchers","Knowledge Holder","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The researchers selected concepts, defined semantic classes, and checked retrieved-image inconsistencies.","The research team applying semantic and visual judgment during robot dataset preparation.","Section 5.1, PDF pp. 10-11; printed pp. 3206-3207"
"N47","manual selection and semantic grouping of robot-recognition concepts","Traditional Human-central Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Researchers manually selected 34 concepts and defined five semantic classes.","Human-driven selection and semantic grouping before digital robot-learning experiments.","Section 5.1 and Table 1, PDF pp. 10-11; printed pp. 3206-3207"
"N48","manual consistency review of robot object images","Traditional Human-central Practice","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","Researchers manually checked inconsistencies in images retrieved through an automated Python script.","Human visual review of object-image consistency before robot-learning experiments.","Section 5.1, PDF pp. 10-11; printed pp. 3206-3207"
"N49","robot-recognition semantic-domain labels","Explicit Knowledge","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The concepts were organized into Animals, Food, Vehicles, Dishes, and Other semantic classes.","Codified semantic-domain labels assigned to robot-recognition concepts.","Section 5.1 and Table 1, PDF pp. 10-11; printed pp. 3206-3207"
"N50","robot object-image experimental dataset","Explicit Knowledge","E","A combined approach for improving humanoid robots autonomous cognitive capabilities","The researchers collected 1477 object-image samples for 34 synset classes.","The codified object-image collection used in robot knowledge-acquisition experiments.","Sections 5.1-5.2 and Tables 1-3, PDF pp. 10-12; printed pp. 3206-3208"
