node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
N17,Predictive and Adaptive Maintenance Frameworks,Technology-enable Practice,E,"The core of maintenance has changed and now revolves around more predictive and adaptive maintenance frameworks that are supported by digital intelligence","Maintenance frameworks supported by digital intelligence that focus on prediction and adaptation","Section 1, Page 37"
N18,Real-time Condition Monitoring,Technology-enable Practice,E,"Real time condition monitoring and predictive analytics ensured by digital twin can be used to minimize the occurrence of unplanned downtimes","A digital practice that monitors asset conditions in real-time to identify potential failures","Section 1, Page 37-38"
N19,Predictive Analytics,Technology-enable Practice,E,"Predictive analytics ensured by digital twin can be used to minimize the occurrence of unplanned downtimes, improve the accuracy of failure detection","A digital practice that uses data analytics to predict future failures and maintenance needs","Section 1, Page 37-38"
N20,Virtual Simulation,Technology-enable Practice,E,"Digital twin-facilitated maintenance can greatly increase the operational and organizational agility through virtual simulation","A digital practice that creates virtual models to simulate system behavior and test interventions","Section 1, Page 38"
N21,Digital Twin-enabled Maintenance System,Technology-enable Practice,E,"Digital twin schemes subjects organizations to unending flows of equipment condition data, simulation data, and predictive diagnostic data","The implemented system where digital twin technology is applied to mechanical maintenance management","Section 2.1, Page 40"
N22,Sensor Data,Explicit Knowledge,E,"Digital twins are fed with both operational and state data from sensors","Data collected from sensors monitoring physical asset conditions and operations","Section 2.1, Page 40"
N23,Historical Data,Explicit Knowledge,E,"Digital twins integrate sensor outcomes, historical data, and the results of simulations","Past operational records and maintenance history used for analysis","Section 1, Page 38"
N24,Simulation Results,Explicit Knowledge,E,"Digital twins integrate sensor outcomes, historical data, and the results of simulations","Output data from virtual simulations of system behavior","Section 1, Page 38"
N25,Predictive Diagnosis Knowledge,Explicit Knowledge,E,"Digital twin can be used to minimize the occurrence of unplanned downtimes, improve the accuracy of failure detection, and enable more informed decisions regarding maintenance","Knowledge generated from predictive analytics about potential failures and maintenance needs","Section 1, Page 37-38"
N26,Operational Data,Explicit Knowledge,E,"Digital twins are fed with both operational and state data","Real-time operational information from mechanical assets","Section 2.1, Page 40"
N27,Intuitive Fault Detection,Tacit Knowledge,I,"The ability of the maintenance team and technical unit to identify useful external information and combine it with knowledge on the operational level","The intuitive skill of detecting faults based on experience and pattern recognition","Section 2.1, Page 40"
N28,Maintenance Situation Awareness,Tacit Knowledge,I,"Maintenance teams can comprehend the signals of degradation and integrate new technical knowledge into maintenance practices","The tacit understanding of the current state and potential issues in mechanical systems","Section 2.1, Page 40"
N29,Quick Decision-Making Skills,Tacit Knowledge,I,"Organizations with high absorptive capacity demonstrate enhanced adaptation and improve response to machinery failure","The tacit ability to make rapid, effective decisions during maintenance operations","Section 2.1, Page 40"
N30,Data Interpretation Skills,Tacit Knowledge,E,"Organizations with high absorptive capacity are able to convert sensor data, vendor input, and analytical information into actionable maintenance fixes","The skill of interpreting complex technical data for maintenance decisions","Section 2.1, Page 40"
N31,Reactive Maintenance Habits,Tacit Knowledge,E,"Maintenance practices through digital intelligence enhance the ability to respond quickly to faults and improve decision-making","The behavioral tendency to respond to failures reactively rather than proactively","Section 2, Page 39"
N32,Organizational Learning Capabilities,Organizational Dependency,E,"Research indicates that companies that proactively formulate learning processes, routines of sharing knowledge and mastering of interpretations scale higher in reliability","Internal capabilities for continuous learning and knowledge acquisition","Section 2.1, Page 40"
N33,Knowledge Sharing Routines,Organizational Dependency,E,"Companies that proactively formulate learning processes, routines of sharing knowledge and mastering of interpretations scale higher in reliability","Established organizational practices for sharing knowledge among members","Section 2.1, Page 40"
N34,Training Programs,Organizational Dependency,I,"Organizations must create training sessions, data interpretation proficiencies and knowledge sharing habits","Structured programs to develop maintenance team capabilities","Section 6.2, Page 48"
N35,Management Buy-in,Organizational Dependency,I,"Managers are supposed to take digital twin technologies not as an instrument of operations but as a strategic asset","Leadership support and commitment to digital twin adoption","Section 6.2, Page 48"
N36,Cross-functional Collaboration,Organizational Dependency,I,"Organizations must develop cross-functional collaboration and be adjusted to environmental conditions","Collaboration across different functional areas","Section 6.2, Page 48"
N37,Knowledge-to-Practice Gap,Limitation,E,"Sophisticated digital technologies do not necessarily lead to better performance outcomes without absorptive capacity","The gap between having knowledge and effectively applying it in practice","Section 2.1, Page 40"
N38,Inability to Translate Data into Action,Limitation,E,"Absorptive capability defines whether data is appropriately perceived, incorporated into technical expertise, and utilized to redesign maintenance policies","The failure to convert data into actionable maintenance improvements","Section 2.1, Page 40"
N39,Sensor Readings,Explicit Knowledge,E,"Sensor outcomes are integrated into coherent decision-making environments","Raw data outputs from physical sensors attached to mechanical assets","Section 1, Page 38"
N40,Condition Monitoring Data,Explicit Knowledge,E,"Digital twins are fed with operational and state data for monitoring, diagnostics, predictive modeling, and optimization","Data from continuous monitoring of asset condition","Section 2.1, Page 40"
