ID,Object,Question,Answer,Evidence,rag_rate
c007DS01Q11,be_captured_by,which tacit knowledge is captured by technology-enable practices?,"Robot operation and competency, motivation to use the robot, and self-efficacy in using robot","[Robot operation and competency, is, Hands-on, uncodified coordination and operational skill to control the machine safely; Motivation to use the robot, is, The psychological drive of an operator to run the automated system rather than default to manual methods; self-efficacy in using robot, is, Not mentioned]",Not Mentioned
c007DS01Q12,be_transferred_by,"Which uncodified skills, intuitions, or behavioral routines  are actively transferred via technology‑enabled practices?",Not Mentioned,"[{'t': {'evidence_statement': 'helping them acquiring the competencies to manage the robot (goal 2).', 'evidence_label': 'E', 'evidence_location': 'Page 2', 'case_title': 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study', 'node_name': 'Robot operation and competency', 'object_definition': 'Hands-on, uncodified coordination and operational skill to control the machine safely.', 'category': 'Tacit Knowledge', 'node_id': 'c007M01N04'}}, {'t': {'evidence_statement': 'Complex technical use, downtime periods, and insufficient training caused a drop in motivation', 'evidence_label': 'E', 'evidence_location': 'Page 1', 'case_title': 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study', 'node_name': 'Motivation to use the robot', 'object_definition': 'The psychological drive of an operator to run the automated system rather than default to manual methods.', 'category': 'Tacit Knowledge', 'node_id': 'c007M01N06'}}, {'t': {'evidence_statement': '""self‑efficacy in their ability to use the robot""', 'evidence_label': 'E', 'evidence_location': 'Page 4', 'case_title': 'Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study', 'node_name': 'self-efficacy in using robot', 'object_definition': 'Not mentioned', 'category': 'Tacit Knowledge', 'node_id': 'c007M02N06'}}]",Not Mentioned
c007DS01Q13,participate_in,Which knowledge holders actively take part in knowledge retention practices?,Not Mentioned,"[('Trainer', 'knowledge_holder_id', 'c007M01N07'), ('Trainee', 'knowledge_holder_id', 'c007M01N08'), ('Training pharmacist', 'knowledge_holder_id', 'c007M01N09'), ('operators (pharmacy technicians)', 'knowledge_holder_id', 'c007M02N09'), ('trainee operators', 'knowledge_holder_id', 'c007M02N11')]",Not Mentioned
c007DS01Q14,depend_on,which organization or environment conditions technology-enable practices depend on?,Organizational and Environmental Dependencies,"[('Dedicated training hours', 'category', 'Organizational Dependency'), ('PhD thesis framework', 'category', 'Organizational Dependency'), ('Cleanroom constraints', 'category', 'Environmental Dependency'), ('work schedule of the unit', 'category', 'Organizational Dependency'), ('Good Manufacturing Practices standards', 'category', 'Organizational Dependency')]",Not Mentioned
c007DS01Q15,evaluate,which tacit knowledge technology-enable practices evaluate?,Not Mentioned,"['their robot knowledge was assessed on a 0-24-scale, motivation and self-efficacy in using it on 0-to-100 scales.', 'Complex technical use, downtime periods, and insufficient training caused a drop in motivation', 'Complex technical use, downtime periods, and insufficient training caused a drop in motivation', '""self‑efficacy in their ability to use the robot""']",Not Mentioned
c007DS01Q16,adopt,Which digital technologies technology‑enabled practices adopt?,Not Mentioned,"[('Framindmap software', 'is a', 'digital technology'), ('Learning Designer software', 'is a', 'digital technology'), ('PharmaHelp robot', 'is a', 'digital technology')]",Not Mentioned
c007DS01Q17,be_constrained_by,Which limitations technology-enable practices are constrained by?,"The limitations include forgetting curve for motivation and self-efficacy, machine downtime and breakdowns, small sample size, low number of questions, time to develop, and knowledge decay.","[Motivation was evaluated on a scale from 0 to 100 and increased... however, it decreased to 70.4 at six months, Forgetting curve for motivation and self-efficacy, The observed mathematical decay of human motivation and confidence metrics across extended periods of non-use., Limitation], [our PharmaHelp robot was little used during the six months post-training because of a breakdown, Machine downtime and breakdowns, Mechanical failures and technical halts that block consistent operational practice., Limitation], [The present study's limitations include its small sample size (14 operators), Small sample size, The constraint of testing outcomes on a limited cohort of fourteen participants., Limitation], [""small sample size (14 operators)"", small sample size (14 operators), Not mentioned, Limitation], [""low number of questions (10) used to survey their knowledge"", low number of questions (10), Not mentioned, Limitation], [""probable total of more than 100 hours"", time to develop (>100 hours), Not mentioned, Limitation], [""decrease in motivation and self‑efficacy over time suggests that regular refresher sessions are necessary"", knowledge decay at 6 months (motivation and self-efficacy), Not mentioned, Limitation]",Not Mentioned
c007DS01Q18,resolve,"Which limitations technology‑enabled practices resolve, and what evidence supports this?","Technology-enabled practices resolve limitations including the forgetting curve for motivation and self-efficacy, drop in motivation, and insufficient training. Evidence shows a training program improved knowledge retention for six months, game-based training increased motivation from 57.6% to 86.6%, and game-based training provided sufficient training addressing prior insufficiency.","[{'limitation': 'Forgetting curve for motivation and self-efficacy', 'limitation_id': 'c007M01N16', 'evidence_statement': 'This highly appreciated training program efficiently improved knowledge retention out to six months.', 'evidence_label': 'E', 'evidence_location': 'Page 1'}, {'limitation': 'drop in motivation', 'limitation_id': 'c007M02N40', 'evidence_statement': 'Game‑based training increased motivation from 57.6% to 86.6% post‑training.', 'evidence_label': 'I', 'evidence_location': 'Page 5'}, {'limitation': 'insufficient training', 'limitation_id': 'c007M02N42', 'evidence_statement': 'Game‑based training provided sufficient training, addressing prior insufficiency.', 'evidence_label': 'E', 'evidence_location': 'Page 1'}]","Based on the context, the technology-enabled practices (specifically, a short, standardized, sustainable training program using innovative pedagogical approaches like game-based training) were designed to resolve limitations related to disparities in operator training and knowledge, as well as drops in motivation that led to underuse of the robot and extended depreciation time. The evidence supporting this includes: results from surveys on knowledge about the robot (score/24) and motivation to use the robot (score/100) (Figures 3 and 4), along with qualitative feedback from participants who appreciated the training sessions, particularly training in pairs. However, the context also notes that motivation and self-efficacy decreased over time, indicating that regular refresher sessions are needed, though a robot breakdown during the six months post-training limited its use."
c007DS01Q19,mitigate,Which limitations technology‑enabled practices mitigate?,Not Mentioned,"[('Forgetting curve for motivation and self-efficacy', 'has evidence', 'Motivation was evaluated on a scale from 0 to 100 and increased... however, it decreased to 70.4 at six months'), ('drop in motivation', 'has evidence', '""drops in motivation"" (traditional context)'), ('insufficient training', 'has evidence', '""insufficient training caused a drop in motivation and disparities""')]",Not Mentioned
c007DS01Q20,complement,Which traditional human-central practices  technology‑enabled practices complement?,Not Mention,,Not Mentioned
c007DS01Q21,cannot_fully_replace,Which traditional human-central practice technology-enable practice cannot replace fully?,Not Mention,,Not Mentioned
c007DS01Q22,be_difficult_to_capture_due_to,Which limitations make tacit knowledge difficult to capture?,Not Mentioned,"['PharmaHelp robot was little used during the six months post-training because of a breakdown', 'drops in motivation (traditional context)', 'insufficient training caused a drop in motivation and disparities']",Not Mentioned
c007DS02Q01,RQ1: What emerging technologies are adopted and how they support tacit knowledge capture and retention?,"What's the mechanism of each technology-enable practice? introduce this from relations among knowledge holders, tacit knowledge, digital technology, organizational dependency, resource dependency, and limitation perspectives.","The game-based training program uses Framindmap software, Learning Designer software, and PharmaHelp robot to transfer tacit knowledge (robot operation, motivation, self-efficacy) and explicit knowledge (manufacturing steps, error handling) from trainers, trainees, and pharmacists, supported by organizational dependencies (training hours, PhD framework, work schedule, GMP standards) and environmental dependencies (cleanroom constraints), with limitations including forgetting curve, machine downtime, small sample size, low question count, development time, and knowledge decay, mitigated by addressing motivation and training insufficiency. The knowledge evaluation survey (pre/post/6M) has no specified mechanisms or relations.","[{'technology_enable_practice': 'Game-based training program', 'digital_technologies': ['Framindmap software', 'Learning Designer software', 'PharmaHelp robot'], 'organizational_dependencies': ['Dedicated training hours', 'PhD thesis framework', 'work schedule of the unit', 'Good Manufacturing Practices standards'], 'environmental_dependencies': ['Cleanroom constraints'], 'constraints': ['Forgetting curve for motivation and self-efficacy', 'Machine downtime and breakdowns', 'Small sample size', 'small sample size (14 operators)', 'low number of questions (10)', 'time to develop (>100 hours)', 'knowledge decay at 6 months (motivation and self-efficacy)'], 'mitigations': ['Forgetting curve for motivation and self-efficacy', 'drop in motivation', 'insufficient training'], 'knowledge_holders': ['Trainer', 'Trainee', 'Training pharmacist', 'operators (pharmacy technicians)', 'trainee operators'], 'tacit_knowledge_involved': ['Robot operation and competency', 'Motivation to use the robot', 'self-efficacy in using robot'], 'explicit_knowledge_involved': ['Theoretical manufacturing steps', 'Criteria for using the robot', 'Real-life production errors handling', '16 steps of robot process']}, {'technology_enable_practice': 'knowledge evaluation survey (pre/post/6M)', 'digital_technologies': [], 'organizational_dependencies': [], 'environmental_dependencies': [], 'constraints': [], 'mitigations': [], 'knowledge_holders': [], 'tacit_knowledge_involved': [], 'explicit_knowledge_involved': []}]",Not Mentioned
c007DS02Q02,RQ1: What emerging technologies are adopted and how they support tacit knowledge capture and retention?,"What's the mechanism of each traditional human-central practice? introduce this from relations among knowledge holders, tacit knowledge, organizational dependency, resource dependency, and limitation perspectives.","The conventional training format involves Trainer and Trainee as knowledge holders, with tacit knowledge including skill to use robot, no organizational dependencies, environmental dependencies like Cleanroom constraints, and limitations such as machine downtime, motivation drop, knowledge disparities, and insufficient training.","[{'traditional_practice': 'Conventional training format', 'knowledge_holders': ['Trainer', 'Trainee'], 'tacit_knowledge_involved': ['skill to use robot'], 'organizational_dependencies': [], 'environmental_dependencies': ['Cleanroom constraints'], 'limitations': ['Machine downtime and breakdowns', 'drop in motivation', 'disparities in knowledge', 'insufficient training']}]",Not Mentioned
c007DS03Q01,"RQ2: What resources and capabilities are required, such as data input, expert participation, technical infrastructure, and organizational resources?",Which tangible organizational asset is required for the technology-enabled practices?,Not Mentioned,"['Trainer/ trainee teams participated in 2-hour training sessions with three games and a debriefing.', 'This was possible as the work was performed as part of a PhD thesis, with the doctoral student involved in 100% of the project.', '""teams of trainer/trainee constituted according to the work schedule""', '""standards of quality expected in Good Manufacturing Practices""']",The PharmaHelp® robot
c007DS03Q02,"RQ2: What resources and capabilities are required, such as data input, expert participation, technical infrastructure, and organizational resources?",Which external environment condition is required for the technology-enabled practices?,Cleanroom constraints,"[('Cleanroom constraints', 'is', 'The external physical and regulatory environment mandating strict safety and posture protocols.')]",Not Mentioned
c007DS04Q01,"RQ3: How organizational culture influence effectiveness, such as culture, trust, leadership support, motivation, and expert participation?",Whether organization dependency like incentive or reward was used to encourage knowledge holders to actively participate in technology-enable practices?,Not Mentioned,"[Trainer, with the best scores placed in the trainer group and the lower scores in the trainee group., Trainer, An operator showing high ICT mastery assigned to support a peer during workflows., Game-based training program, We created a short, playful, standardized, gamed-based training program to address this, and evaluated its impact., Game-based training program, An interactive, multi-modal instructional system combining digital orchestration tools, card games, and peer instruction., Dedicated training hours, Trainer/ trainee teams participated in 2-hour training sessions with three games and a debriefing., Dedicated training hours, The precise institutional block of time cleared from heavy daily clinical workloads to permit training., Trainee, Each trainer was randomly paired with a trainee to constitute teams., Trainee, An operator demonstrating lower baseline ICT literacy who receives active peer mentoring., Training pharmacist, The trainer was a pharmacist who specialized in using the robot., Training pharmacist, A specialized institutional pharmacist who manages, guides, and observes the learning intervention., operators (pharmacy technicians), ""operators"" (context of pharmacy technicians), operators (pharmacy technicians), Not mentioned, trainee operators, ""trainee"" (repeatedly used to designate learners), trainee operators, Not mentioned, PhD thesis framework, This was possible as the work was performed as part of a PhD thesis, with the doctoral student involved in 100% of the project., PhD thesis framework, The administrative research environment that permitted over 100 hours of development time.]",Not Mentioned
c007DS04Q02,"RQ3: How organizational culture influence effectiveness, such as culture, trust, leadership support, motivation, and expert participation?",Whether organization dependency like trust or safety climate was used to encourage knowledge holders to actively participate in technology-enable practices?,Not Mention,,Not Mentioned
c007DS05Q01,"What inherent vulnerability, shortcoming, or failure points the knowledge retention practices face?","What inherent vulnerability, shortcoming, or failure point of  the traditional human-central practices?","Machine downtime and breakdowns, drop in motivation, disparities in knowledge, insufficient training","[Conventional training format, limitation, Machine downtime and breakdowns] [Conventional training format, limitation, drop in motivation] [Conventional training format, limitation, disparities in knowledge] [Conventional training format, limitation, insufficient training]","The inherent vulnerability of traditional human-centric practices is that they fail to maintain consistent operator knowledge and skills over time due to hiring and departures, leading to disparities in training and motivation that result in underutilization of complex technology."
c007DS05Q02,"What inherent vulnerability, shortcoming, or failure points the knowledge retention practices face?","What inherent vulnerability, shortcoming, or failure point of  the technology-enabled practices?","Forgetting curve for motivation and self-efficacy, machine downtime and breakdowns, small sample size, low number of questions, time to develop, knowledge decay at 6 months","[{'practice': 'Game-based training program', 'limitation': 'Forgetting curve for motivation and self-efficacy', 'evidence': 'Motivation was evaluated on a scale from 0 to 100 and increased... however, it decreased to 70.4 at six months'}, {'practice': 'Game-based training program', 'limitation': 'Machine downtime and breakdowns', 'evidence': 'our PharmaHelp robot was little used during the six months post-training because of a breakdown'}, {'practice': 'Game-based training program', 'limitation': 'Small sample size', 'evidence': ""The present study's limitations include its small sample size (14 operators)""}, {'practice': 'Game-based training program', 'limitation': 'small sample size (14 operators)', 'evidence': '""small sample size (14 operators)""'}, {'practice': 'Game-based training program', 'limitation': 'low number of questions (10)', 'evidence': '""low number of questions (10) used to survey their knowledge""'}, {'practice': 'Game-based training program', 'limitation': 'time to develop (>100 hours)', 'evidence': '""probable total of more than 100 hours""'}, {'practice': 'Game-based training program', 'limitation': 'knowledge decay at 6 months (motivation and self-efficacy)', 'evidence': '""decrease in motivation and self‑efficacy over time suggests that regular refresher sessions are necessary""'}]","The context identifies a vulnerability: the robot's complex technical use and periods of machine downtime caused drops in motivation, leading operators to revert to traditional nonautomated methods, resulting in underutilization and extended depreciation."
c007DS05Q03,"What inherent vulnerability, shortcoming, or failure points the knowledge retention practices face?",Which limitations the technology-enabled practices resolve or at least mitigate the traditional human-central practices have faced?,Not Mention,,"The technology-enabled practices (robot system and game-based training) resolve or mitigate the following limitations of traditional human-centered practices:

- Disparities in operator training and knowledge due to inconsistent hiring and departures.
- Drops in motivation and self-efficacy caused by complex technical use and machine downtime, leading to a return to manual methods.
- Underutilization of expensive equipment (robot not used to full capacity, extended depreciation time).
- Lack of standardized, sustainable skill acquisition and knowledge retention over time."
,,,Not Mentioned,"['Theoretical manufacturing steps be_held_by Trainer', 'Theoretical manufacturing steps be_absorbed_by Trainee', 'Theoretical manufacturing steps be_transferred_by Conventional training format', 'Theoretical manufacturing steps be_transferred_by Game-based training program', 'Criteria for using the robot be_held_by Trainer', 'Criteria for using the robot be_absorbed_by Trainee', 'Criteria for using the robot be_transferred_by Game-based training program', 'Real-life production errors handling be_absorbed_by Trainee', 'Real-life production errors handling be_transferred_by Game-based training program', 'Robot operation and competency be_held_by Trainer']",E
,,,Not Mentioned,"['Theoretical manufacturing steps be_held_by Trainer', 'Theoretical manufacturing steps be_absorbed_by Trainee', 'Theoretical manufacturing steps be_transferred_by Conventional training format', 'Theoretical manufacturing steps be_transferred_by Game-based training program', 'Criteria for using the robot be_held_by Trainer', 'Criteria for using the robot be_absorbed_by Trainee', 'Criteria for using the robot be_transferred_by Game-based training program', 'Real-life production errors handling be_absorbed_by Trainee', 'Real-life production errors handling be_transferred_by Game-based training program', 'Robot operation and competency be_held_by Trainer']",E
