uuid,Title,tacit_knowledge_array,digital_technology_array,sector
00f043d7-72dd-427c-87d4-171f65a7d6c9,Tcm Academy—Online Platform For Acupuncture And Traditional Chinese Medicine Education: Advancing Global Standards,[],"[{'digital_technology': 'video chunking', 'digital_technology_normalized': 'Others(*)'}, {'digital_technology': 'interactive quizzes', 'digital_technology_normalized': 'Others(*)'}, {'digital_technology': 'worksheets', 'digital_technology_normalized': 'Others(*)'}]","{'sector_name': 'Services (Educational Services)', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
a3b7239a-ce83-4f1e-a38f-5fcd4c915182,Deep Learning Models For Cultural Pattern Recognition: Preserving Intangible Heritage Of Li Ethnic Subgroups Through Intelligent Documentation Systems,"[{'tacit_knowledge': 'oral traditions and inter-group cultural differences', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)', 'tacit_knowledge_confidence': 'medium'}, {'tacit_knowledge': 'traditional textiles, music, oral traditions, artifacts, and architectural heritage', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)', 'tacit_knowledge_confidence': 'medium'}]","[{'digital_technology': 'convolutional neural networks', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'bidirectional LSTM networks', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'transformer-based models', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Services (Engineering, Accounting, Research, Management, And Related Services)', 'sector_id': 'SIC 87', 'sector_confidence': 'medium'}"
966a99d8-fc50-4641-afbe-283887710203,Harnessing Model-Based Group Decision Support Systems For More Effective Stakeholder Engagement: Reflections From The Field,[],"[{'digital_technology': 'group decision support system technology', 'digital_technology_normalized': 'Rule-Based, Decision, and Expert Systems'}, {'digital_technology': 'causal mapping', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}]","{'sector_name': 'Public Administration (Administration Of Environmental Quality And Housing Programs)', 'sector_id': 'SIC 95', 'sector_confidence': 'medium'}"
ca119e57-e375-4175-b864-5e86d8b4d958,The Relationship Between Knowledge Management And Information Technology Components In Kerman City Telecommunications Company,"[{'tacit_knowledge': 'knowledge sharing', 'tacit_knowledge_normalized': 'Collective and relational tacit knowledge (Teamwork know-how, other)', 'tacit_knowledge_confidence': 'medium'}]","[{'digital_technology': 'information technologies', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}]","{'sector_name': 'Transportation, Communications, Electric, Gas, And Sanitary Services (Communications)', 'sector_id': 'SIC 48', 'sector_confidence': 'high'}"
d609e181-f816-4ae9-8470-a2c75bb3c53c,Zero Sample Power Grid Equipment Ontology Defect Grade Idetification Method Based On Knowledge Enhanced Large Language Model,"[{'tacit_knowledge': 'prior knowledge of large language models', 'tacit_knowledge_normalized': 'Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)', 'tacit_knowledge_confidence': 'medium'}]","[{'digital_technology': 'large language models (LLM)', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'knowledge retrieval-augmented generation technology', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Electric, Gas, And Sanitary Services', 'sector_id': 'SIC 49', 'sector_confidence': 'medium'}"
a4e15449-0e5e-496f-be04-cba15158d69e,Effective Enablers And Tools For Inhabitants’ Knowledge Acquisition In Public Policymaking Organizations: A Delphi Study In Gcc Countries,[],"[{'digital_technology': 'social media', 'digital_technology_normalized': 'Mobile, Social, and Communication Technologies'}]","{'sector_name': 'Public Administration (Executive, Legislative, And General Government, Except Finance)', 'sector_id': 'SIC 91', 'sector_confidence': 'high'}"
fb7f06b0-87c7-4403-aad0-9261f37a193c,Applying Knowledge Management Within The Information Security Domain To Strengthen Policy Development In Developing Countries,"[{'tacit_knowledge': 'tacit knowledge elicited from information security stakeholders', 'tacit_knowledge_normalized': 'Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)', 'tacit_knowledge_confidence': 'medium'}]","[{'digital_technology': 'COBIT', 'digital_technology_normalized': 'Rule-Based, Decision, and Expert Systems'}, {'digital_technology': 'ISO/IEC 27005', 'digital_technology_normalized': 'Rule-Based, Decision, and Expert Systems'}, {'digital_technology': 'knowledge management system (KMS)', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}]","{'sector_name': 'Engineering, Accounting, Research, Management, And Related Services', 'sector_id': 'SIC 87', 'sector_confidence': 'medium'}"
6c6706ac-dc22-4d85-9ac9-459dc09cc9f0,Shareflows: Seamless Knowledge Capture And Proactive Push For Efficient Teacher Workflows In Higher Education,"[{'tacit_knowledge': 'task steps (i.e., denoted as ShareFlow) that can be subsequently recommended to novices', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Procedural know-how, other)', 'tacit_knowledge_confidence': 'high'}]","[{'digital_technology': 'large language model (Claude 3 Haiku)', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Services (Educational Services)', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
d2d5b162-48c0-411e-9c8b-b39bd5d2f4f8,Evaluating Knowledge Gain And Retention In Iot Circuit Assembly Using Mobile Augmented Reality Technology,"[{'tacit_knowledge': 'knowledge gain and retention in a complex Internet of Things (IoT) assembly task', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Operational know-how, other)', 'tacit_knowledge_confidence': 'high'}]","[{'digital_technology': 'Mobile Augmented Reality (MAR)', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}, {'digital_technology': '3D animated models', 'digital_technology_normalized': 'Imaging, Sensing, and Perception Technologies'}]","{'sector_name': 'Manufacturing (Electronic And Other Electrical Equipment And Components, Except Computer Equipment)', 'sector_id': 'SIC 36', 'sector_confidence': 'medium'}"
cbc870a4-b020-4f29-940d-0ad7dcb357c3,Leveraging Virtual Reality To Support Inclusive Design For The Visually Impaired,"[{'tacit_knowledge': 'identifying and addressing accessibility flaws in a graphical interface', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Procedural know-how, other)', 'tacit_knowledge_confidence': 'high'}]","[{'digital_technology': 'virtual reality (VR)', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}, {'digital_technology': 'desktop VR simulations', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}, {'digital_technology': 'immersive VR experiences', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}]","{'sector_name': 'Services (Engineering, Accounting, Research, Management, And Related Services)', 'sector_id': 'SIC 87', 'sector_confidence': 'medium'}"
10e6ae5d-62f9-4454-a2c9-5f2b054829f4,Learning With Short Bursts: How Effectively Can We Build Competencies In Climate Change-Related Areas Based On Microlearning?,"[{'tacit_knowledge': ""confidence in one's influence"", 'tacit_knowledge_normalized': 'Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)', 'tacit_knowledge_confidence': 'high'}, {'tacit_knowledge': 'willingness to act sustainably', 'tacit_knowledge_normalized': 'Adaptive tacit knowledge (Situational problem-solving, other)', 'tacit_knowledge_confidence': 'high'}]","[{'digital_technology': 'smartphone', 'digital_technology_normalized': 'Mobile, Social, and Communication Technologies'}]","{'sector_name': 'Services (Educational Services)', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
6fdcfbf5-4981-49e8-ae7f-e6dc8bb7d9a9,A Knowledge-Graph-Based Intelligent Question Answering System: A Case Study In Agro-Engineering Integration,[],"[{'digital_technology': 'Named Entity Recognition (NER)', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'Neo4j', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}, {'digital_technology': 'Django', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}, {'digital_technology': 'Rasa', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'DeepSeek large language model', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Services (Engineering, Accounting, Research, Management, And Related Services)', 'sector_id': 'SIC 87', 'sector_confidence': 'high'}"
1286e08e-f402-47c1-b669-82aa9de50c20,"Designing An Intelligent Learning System Based On The Knowledge Tracing Model To Enhance Self-Efficacy, Academic Passion, And Achievement Among Educational Technology Students",[],"[{'digital_technology': 'Knowledge Tracing Model', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'intelligent learning system (ILS)', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Services (Educational Services)', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
6c1fcd0d-7ff5-435f-b2ea-697ffee25f84,Research On Intelligent Management And Assisted Decision Making Technology Of Electric Power Research Enterprise Based On Knowledge Engineering,[],"[{'digital_technology': 'Knowledge Graph(KG)', 'digital_technology_normalized': 'Data, Information, and Knowledge Systems'}, {'digital_technology': 'Large Language Model(LLM)', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'ERNIE model', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'TransE method', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Services (Engineering, Accounting, Research, Management, And Related Services)', 'sector_id': 'SIC 87', 'sector_confidence': 'high'}"
03915b58-efc3-4836-a583-e249ce7fec9a,Impact Of Integrating The Flipped Learning Environment And Educational Technologies On Scientific Knowledge Acquisition,[],"[{'digital_technology': 'educational technologies', 'digital_technology_normalized': 'Mobile, Social, and Communication Technologies'}]","{'sector_name': 'Services (Educational Services)', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
1358020b-7d97-4986-80c5-801fd3671814,Gamified Micro:Bit For Computational Thinking And Low-Code Programming In Sustainable Mathematics Education,[],"[{'digital_technology': 'micro:bit', 'digital_technology_normalized': 'Cyber-Physical Systems, IoT, and Smart Environments'}, {'digital_technology': 'low-code programming', 'digital_technology_normalized': 'Others(*)'}]","{'sector_name': 'Services (Educational Services)', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
fbc332dc-d393-43d4-b3be-e7104a1cc6ec,Empowering Eco-Innovation: How Artificial Intelligence And Green Leadership Enhance Knowledge Capital For Sustainable Performance,[],"[{'digital_technology': 'artificial intelligence', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Textile Mill Products', 'sector_id': 'SIC 22', 'sector_confidence': 'high'}"
d074f051-9363-4ba1-8df6-8531d65dc553,Leveraging Storytelling For Effective Tacit Knowledge Capture And Management In The Construction Industry: Framework Development And Empirical Validation,"[{'tacit_knowledge': 'construction practitioners’ situated narratives that recount context, cues, decisions, and consequences from real project episodes', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)', 'tacit_knowledge_confidence': 'high'}]",[],"{'sector_name': 'Construction—Special Trade Contractors', 'sector_id': 'SIC 17', 'sector_confidence': 'high'}"
57ed930b-58c4-47a1-97f2-4fde979d5ee6,Research On Rag And Fine-Tuning In The Construction Of Intelligent Auxiliary Design Dialogue Systems For Coal Preparation Plants,[],"[{'digital_technology': 'Retriever Augmented Generation', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'fine-tuning technology', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}]","{'sector_name': 'Mining', 'sector_id': 'SIC 10-15', 'sector_confidence': 'medium'}"
fd1271e3-9d67-4e49-bdb4-b7e811efdc26,Updatingems: An Online Updating Framework For Deep Reinforcement Learning-Based Energy Management Of Fuel Cell Hybrid Electric Bus With Integrated Transfer Learning,"[{'tacit_knowledge': 'correlation mechanism between real-time traffic information and efficient hydrogen utilization', 'tacit_knowledge_normalized': 'Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)', 'tacit_knowledge_confidence': 'medium'}, {'tacit_knowledge': 'dynamic programming addressing coupled spatiotemporal constraints in traffic information', 'tacit_knowledge_normalized': 'Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)', 'tacit_knowledge_confidence': 'medium'}]","[{'digital_technology': 'Deep reinforcement learning', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'transfer learning', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'dynamic programming', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'soft actor-critic', 'digital_technology_normalized': 'Artificial Intelligence and Intelligent Computation'}, {'digital_technology': 'processor-in-the-loop experiment', 'digital_technology_normalized': 'Cyber-Physical Systems, IoT, and Smart Environments'}]","{'sector_name': 'Transportation, Communications, Electric, Gas, And Sanitary Services', 'sector_id': 'SIC 47', 'sector_confidence': 'high'}"
61b983a1-d651-41f1-8896-155c61c50f01,Virtual Reality As A Tool To Alleviate Library Anxiety And Promote Service Knowledge Acquisition Among Visually Impaired Students,"[{'tacit_knowledge': 'familiarity with library resources', 'tacit_knowledge_normalized': 'Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)', 'tacit_knowledge_confidence': 'medium'}]","[{'digital_technology': 'Virtual Reality', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}, {'digital_technology': 'Virtual Reality for Impaired Students in Library Services (VR-ISLS)', 'digital_technology_normalized': 'Human–Computer Interaction and Immersive Technologies'}]","{'sector_name': 'Services', 'sector_id': 'SIC 82', 'sector_confidence': 'high'}"
