uuid,Title,tacit_knowledge_array,digital_technology_array,sector,tacit_taxonomy,digital_taxonomy,sector_taxonomy
f83b6f91-8e0c-4930-82c6-90c77c5afeb5,A Novel Bayesian Knowledge Tracing Model For College Students In Language Learning,"[{""tacit_knowledge"": ""College students' mastery of English reading sub-skills such as vocabulary inference, main idea summarization, inference making, and information interpretation"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""college students' English reading skills"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""high""}]","[{""digital_technology"": ""Bayesian Knowledge Tracing (BKT) model"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}, {""digital_technology"": ""Bayesian Knowledge Tracing (BKT) model"", ""digital_technology_normalized"": ""Rule-Based, Decision, and Expert Systems""}]","[{""sector_name"": ""Services (Educational Services)"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""high""}, {""sector_name"": ""Educational Services"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""high""}]",["Cognitive tacit knowledge"],"[""Artificial Intelligence and Intelligent Computation"", ""Rule-Based, Decision, and Expert Systems""]",["82"]
e25fddac-0657-4452-a08a-e08e6db51f2b,Generative Ai Based On Deep Knowledge Tracing For Academic Insight And Intelligent Learning Strategy Optimization,"[{""tacit_knowledge"": ""Students' mastery of knowledge points evaluated through a deep knowledge tracking model to optimize teaching strategies"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""students’ mastery of knowledge points"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""high""}]","[{""digital_technology"": ""deep knowledge tracking model"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}, {""digital_technology"": ""generative AI"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}]","[{""sector_name"": ""Services (Educational Services)"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""high""}, {""sector_name"": ""Educational Services"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""high""}]",["Cognitive tacit knowledge"],["Artificial Intelligence and Intelligent Computation"],["82"]
a1bd51fd-22b8-449c-a075-1ceda6942947,A Comparative Evaluation Of Augmented Reality And Virtual Reality On Chemistry Experiment Learning In Higher Level Education,"[{""tacit_knowledge"": ""conducting chemistry experiments"", ""tacit_knowledge_normalized"": ""Somatic tacit knowledge (Operational know-how, other)"", ""tacit_knowledge_confidence"": ""high""}]","[{""digital_technology"": ""Augmented Reality (AR)"", ""digital_technology_normalized"": ""Human–Computer Interaction and Immersive Technologies""}, {""digital_technology"": ""Virtual Reality (VR)"", ""digital_technology_normalized"": ""Human–Computer Interaction and Immersive Technologies""}]","[{""sector_name"": ""Services (Educational Services)"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""high""}, {""sector_name"": ""Educational Services"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""high""}]",["Somatic tacit knowledge"],["Human–Computer Interaction and Immersive Technologies"],["82"]
423898f5-1048-4148-ae78-f57cbb2b0e8e,Factors Affecting Knowledge Sharing In Blockchain Technology In The Chinese Construction Industry,[],[],[],[],[],[]
b6647cdb-055d-406e-be4a-87af86cb2b9b,Construction Of Knowledge Graph For Marine Diesel Engine Faults Based On Deep Learning Methods,"[{""tacit_knowledge"": ""knowledge of fault causality network linking 'high exhaust temperature' to potential causes such as 'turbine failure' and 'poor cooling'"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""fault diagnosis accuracy and efficiency"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}]","[{""digital_technology"": ""BiLSTM-CRF"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}, {""digital_technology"": ""deep learning"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}, {""digital_technology"": ""knowledge graph"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}, {""digital_technology"": ""Neo4j"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}, {""digital_technology"": ""knowledge graph technology"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}]","[{""sector_name"": ""Manufacturing (Transportation Equipment)"", ""sector_id"": ""SIC 37"", ""sector_confidence"": ""high""}, {""sector_name"": ""Transportation, Communications, Electric, Gas, And Sanitary Services"", ""sector_id"": ""SIC 47"", ""sector_confidence"": ""low""}, {""sector_name"": ""Transportation Equipment"", ""sector_id"": ""SIC 37"", ""sector_confidence"": ""high""}]",["Cognitive tacit knowledge"],"[""Artificial Intelligence and Intelligent Computation"", ""Data, Information, and Knowledge Systems""]",["37"]
127daca6-7e67-44ed-8cba-8e046577b8fc,Ict Knowledge Absorptive Capacity: A Critical Factor For Technology Integration In Schools,"[{""tacit_knowledge"": ""knowledge-sharing mechanisms within the school"", ""tacit_knowledge_normalized"": ""Collective and relational tacit knowledge (Teamwork know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""collaborative efforts with competitors (coopetition)"", ""tacit_knowledge_normalized"": ""Collective and relational tacit knowledge (Teamwork know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""activation triggers, social integration mechanisms and regimes of appropriability"", ""tacit_knowledge_normalized"": ""Other(*)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""knowledge-sharing mechanisms within the school"", ""tacit_knowledge_normalized"": ""Collective and relational tacit knowledge (Teamwork know-how, other)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""collaborative efforts with competitors (coopetition)"", ""tacit_knowledge_normalized"": ""Collective and relational tacit knowledge (Teamwork know-how, other)"", ""tacit_knowledge_confidence"": ""high""}]","[{""digital_technology"": ""information and communication technology (ICT)"", ""digital_technology_normalized"": ""Mobile, Social, and Communication Technologies""}, {""digital_technology"": ""machine learning"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}, {""digital_technology"": ""information and communication technology (ICT)"", ""digital_technology_normalized"": ""Cyber-Physical Systems, IoT, and Smart Environments""}, {""digital_technology"": ""structural equation modelling"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}]","[{""sector_name"": ""Services (Educational Services)"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""high""}]","[""Collective and relational tacit knowledge"",""Other""]","[""Mobile, Social, and Communication Technologies"", ""Artificial Intelligence and Intelligent Computation"", ""Cyber-Physical Systems, IoT, and Smart Environments"", ""Data, Information, and Knowledge Systems""]",["82"]
0765ca3b-9603-4713-bfec-5e4fa3b34cb3,Knowledge Sharing Based Fine-Tuning For Large Pre-Trained Model In Wireless Networks,[],[],[],[],[],[]
6d8611ac-0205-4238-99ee-d799c9fbadf7,Developing A Knowledge Management Model For A Small It Business,"[{""tacit_knowledge"": ""knowledge loss mitigation strategies"", ""tacit_knowledge_normalized"": ""Adaptive tacit knowledge (Situational problem-solving, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""retaining and circulating knowledge, particularly in the face of high staff turnover and dynamic market conditions"", ""tacit_knowledge_normalized"": ""Adaptive tacit knowledge (Situational problem-solving, other)"", ""tacit_knowledge_confidence"": ""medium""}]","[{""digital_technology"": ""G Suite tools"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}, {""digital_technology"": ""automated idea tank"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}, {""digital_technology"": ""automated idea tank"", ""digital_technology_normalized"": ""Rule-Based, Decision, and Expert Systems""}]","[{""sector_name"": ""Services (Business Services)"", ""sector_id"": ""SIC 73"", ""sector_confidence"": ""high""}, {""sector_name"": ""Services (Engineering, Accounting, Research, Management, And Related Services)"", ""sector_id"": ""SIC 87"", ""sector_confidence"": ""high""}, {""sector_name"": ""Manufacturing (Industrial And Commercial Machinery And Computer Equipment)"", ""sector_id"": ""SIC 35"", ""sector_confidence"": ""high""}]",["Adaptive tacit knowledge"],"[""Data, Information, and Knowledge Systems"", ""Rule-Based, Decision, and Expert Systems""]","[""73"", ""87"", ""35""]"
2e9dc1f7-5a44-48e5-8c5b-f6562b91daf7,Capturing And Sharing Know-How Through Visual Process Representations: A Human-Centred Approach To Teacher Workflows,"[{""tacit_knowledge"": ""Expert workflows of teachers captured from log data using Sequential Pattern Mining"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""expert workflows"", ""tacit_knowledge_normalized"": ""Somatic tacit knowledge (Experiential know-how, Procedural know-how, Craft knowledge, Operational know-how, other)"", ""tacit_knowledge_confidence"": ""high""}, {""tacit_knowledge"": ""teachers' workflows"", ""tacit_knowledge_normalized"": ""Somatic tacit knowledge (Procedural know-how)"", ""tacit_knowledge_confidence"": ""high""}]","[{""digital_technology"": ""Sequential Pattern Mining (SPM)"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}, {""digital_technology"": ""Visual Process Representations (VPR)"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}, {""digital_technology"": ""Visual Process Representations (VPR)"", ""digital_technology_normalized"": ""Human–Computer Interaction and Immersive Technologies""}]","[{""sector_name"": ""Services (Educational Services)"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""high""}, {""sector_name"": ""Educational Services"", ""sector_id"": ""SIC 82"", ""sector_confidence"": ""high""}]","[""Cognitive tacit knowledge"",""Somatic tacit knowledge"",""Somatic tacit knowledge""]","[""Data, Information, and Knowledge Systems"", ""Human–Computer Interaction and Immersive Technologies""]",["82"]
b01ad298-c323-4630-854a-e846f5bcf96a,Linking Digital Knowledge Management Practices To Organizational Performance: A Serial Mediation Perspective,[],[],[],[],[],[]
5b6d2795-de88-433c-b09f-da494089621f,A Hybrid Cooperative Game And Shapley Value Approach For Knowledge Sharing And Profit Allocation In Technology Supply Chain Strategic Alliance,"[{""tacit_knowledge"": ""Knowledge investment, absorptive capacity, and coordination costs in technology supply chain alliances"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""knowledge-driven contributions"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment, Decision rules, Clinical know-how, other)"", ""tacit_knowledge_confidence"": ""medium""}, {""tacit_knowledge"": ""knowledge-driven contributions"", ""tacit_knowledge_normalized"": ""Cognitive tacit knowledge (Expert judgment)"", ""tacit_knowledge_confidence"": ""medium""}]","[{""digital_technology"": ""Monte Carlo simulations"", ""digital_technology_normalized"": ""Artificial Intelligence and Intelligent Computation""}, {""digital_technology"": ""Monte Carlo simulations"", ""digital_technology_normalized"": ""Data, Information, and Knowledge Systems""}]","[{""sector_name"": ""Manufacturing (Transportation Equipment)"", ""sector_id"": ""SIC 37"", ""sector_confidence"": ""high""}, {""sector_name"": ""Manufacturing (Industrial And Commercial Machinery And Computer Equipment)"", ""sector_id"": ""SIC 35"", ""sector_confidence"": ""low""}]","[""Cognitive tacit knowledge"",""Cognitive tacit knowledge""]","[""Artificial Intelligence and Intelligent Computation"", ""Data, Information, and Knowledge Systems""]",["37"]
