start_id,end_id,type,case_title
N20,N11,LEARNS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N20,N13,LEARNS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N21,N27,USES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N21,N29,USES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N22,N1,USES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N22,N8,ENACTS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N22,N9,ENACTS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N22,N10,EMBODIES_I,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N22,N11,TRANSMITS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N22,N12,REINFORCES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N23,N8,ENACTS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N23,N11,TRANSMITS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N23,N12,REINFORCES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N24,N3,TRANSMITS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N25,N11,TRANSMITS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N26,N13,TRANSMITS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N27,N6,CREATES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N28,N5,CREATES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N29,N6,PUBLISHES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N29,N7,BUILDS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N29,N41,OVERCOMES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N30,N4,SHARES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N31,N24,UNDERPINS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N31,N25,UNDERPINS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N32,N25,UNDERPINS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N33,N22,UNDERPINS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N33,N23,UNDERPINS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N34,N24,WEAKENS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N35,N25,WEAKENS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N36,N11,THREATENS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N37,N23,TRANSFORMS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N38,N22,MARGINALIZES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N39,N29,LIMITS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N40,N27,CONSTRAINS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N40,N28,CONSTRAINS_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N42,N8,TEACHES_E,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N42,N10,EMBODIES_I,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
N43,N10,EMBODIES_I,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology
