id,case_title,name,category,labels
N30,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Virtual contest,Technology-enable practices,E
N31,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Word-of-mouth transmission,Organizational Culture Dependency,E
N32,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Face-to-face real-time space,Organizational Culture Dependency,E
N33,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Communal participation,Organizational Culture Dependency,E
N34,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Generation gap,Other limitations,E
N35,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Youth unwillingness to learn,Other limitations,E
N36,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Migration / displacement,Other limitations,E
N37,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Religious conversion shift,Other limitations,E
N38,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Hyper-modern preference,Other limitations,E
N39,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Minimal engagement with indigenous knowledge,Other limitations,E
N40,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Ethical boundary of digital documentation,Other limitations,E
N41,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Spatio-temporal constraint,Other limitations,E
N42,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Performer,Knowledge holders,E
N43,Illustrating the Intangible Cultural Heritage of Santhals and Kuki: Pushing the Boundaries of Knowledge Sharing in the Era of Technology,Festival participant,Knowledge holders,E
