node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location,sub_category_id,sub_category,sub_category_id_h,sub_category_h
c005M01N14,wearable camera,Digital Technology,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,We were present at each worker's worksite and recorded video footage of the work situation using a wearable camera.,A first-person recording lens worn by the worker or observer to confirm hand weights and job steps.,"Page 2, Chapter 1.2",TE05,"Computer Vision, Sensing, and Perception",,
c005M01N15,dedicated web application,Digital Technology,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"In addition, a dedicated web application (Fig.6) has been developed separately for the purpose of streamlining questionnaires and is used to tabulate and analyse the data.",A software program hosting data ingestion forms and generating analytical radar charts.,"Page 3, Chapter 3",TE07,"Mobile, Social and Communication Technologies",,
c005M02N22,Smartsuit hardware,Digital Technology,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,"Smartsuit ... which is based on logical and scientific evidence, among the numerous passive assistance suits (Fig. 5). Quoted from Smart Support Inc.","Passive assistive suit product that embodies the KEIROKA concept, equipped with sensors for posture measurement.","Page 2, Section 2",TE03,"Cyber-Physical Systems, IoT, and Smart Environments",,
c005M02N24,Lumbar load measuring device,Digital Technology,E,Fundamental Knowledge Acquisition by Using Wearable Sensor for “KEIROKA” of Construction Industry,A lumbar load measuring device with multiple IMU sensors was used to measure workload.,Hardware device integrating multiple IMU sensors to estimate spinal compression force.,"Page 2, Section 1.2; Page 4, Section 4",TE05,"Computer Vision, Sensing, and Perception",,
c006M01N14,SQL server on Microsoft Azure platform,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction",a relational table (SQL) data server has been developed on the Microsoft Azure platform.,Cloud-hosted structural database for real-time storage without hardware dependencies,"Page 4, Phase 4",TE04,Information Systems and Data Management,,
c006M02N08,Microsoft Excel,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","""an application was developed in Microsoft Excel""",Not mentioned,"Section 3.3, Page 3",TE04,Information Systems and Data Management,,
c006M02N09,Navisworks,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","""export the file to an .nwc format for 4D simulation in Navisworks""",Not mentioned,"Section 3.2, Page 2",TE04,Information Systems and Data Management,,
c006M02N10,Microsoft Azure,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","""a relational table (SQL) data server has been developed on the Microsoft Azure platform""",Not mentioned,"Section 3.4, Page 4",TE04,Information Systems and Data Management,,
c006M02N11,SQL server,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","""relational table (SQL) data server""",Not mentioned,"Section 3.4, Page 4",TE04,Information Systems and Data Management,,
c006M02N12,PowerApps,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","""In PowerApps, an application was created""",Not mentioned,"Section 3.4, Page 4",TE07,"Mobile, Social and Communication Technologies",,
c006M02N13,Autodesk Revit,Digital Technology,E,"Integration of 4D BIM, PtD and databases to improve OHS and knowledge management in construction","""3D modeling of architecture, structure and sanitary facilities was developed using Autodesk's Revit software""",Not mentioned,"Section 3.1, Page 2",TE04,Information Systems and Data Management,,
c007M01N12,ICT tools,Digital Technology,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,Learning Designer free online software was used to help build the training program... mind map representing the training program's goals... was created on Framindmap,"The digital ecosystem including Learning Designer, Framindmap, and digital survey frameworks used to build and track the process.",Page 2,TE07,"Mobile, Social and Communication Technologies",,
c007M02N27,Framindmap software,Digital Technology,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"""Framindmap"" (online software)",Not mentioned,Page 2,TE07,"Mobile, Social and Communication Technologies",,
c007M02N28,Learning Designer software,Digital Technology,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"""Learning Designer's free online software""",Not mentioned,Page 2,TE07,"Mobile, Social and Communication Technologies",,
c007M02N30,PharmaHelp robot,Digital Technology,E,Effectiveness Of Virtual Reality In Construction Quality Training: Comparative Study,"""PharmaHelp robot system"" used during practical part",Not mentioned,Page 1,TE03,"Cyber-Physical Systems, IoT, and Smart Environments",,
