node_id,total_evidence_count,node_name,category,evidence_label,case_title,Description
h001M01KH06,7,Domain Experts and Expert Reviewers Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH07,15,"Operational, Project, and Middle Managers Set",Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH08,7,Executive and Strategic Leadership Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH09,2,"Public Authorities, Regulators, and Standard-Setting Bodies Set",Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH10,6,"Researchers, Analysts, and Knowledge Developers Set",Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH11,1,"Educators, Trainers, and Mentors Set",Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH12,1,Peer Knowledge Contributors Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH13,7,Commercial and Value-Chain Professionals Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH14,3,Organizational and Inter-organizational Collectives Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH15,2,Other (*) – Insufficient Evidence of a Knowledge-Holding Role Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KH16,2,Ambiguous Knowledge Holder(*) Set,Knowledge Holder,G,HOO1:Hard Aggregation,
h001M01KL01,3,Formal Higher-Education Learners Set,Knowledge Learner,G,HOO1:Hard Aggregation,
h001M01KL02,10,Structured Occupational Trainees Set,Knowledge Learner,G,HOO1:Hard Aggregation,
h001M01KL03,4,Novice and Early-Career Workforce Learners Set,Knowledge Learner,G,HOO1:Hard Aggregation,
h001M01KL04,5,Experienced Practitioner Upskilling Learners Set,Knowledge Learner,G,HOO1:Hard Aggregation,
h001M01KL05,2,Frontline Safety Knowledge Recipients Set,Knowledge Learner,G,HOO1:Hard Aggregation,
h001M01KL06,3,Operational Decision and Action Learners Set,Knowledge Learner,G,HOO1:Hard Aggregation,
h001M01KL07,3,Public and Heritage-Experience Learners Set,Knowledge Learner,G,HOO1:Hard Aggregation,
h001M01KL08,1,Indigenous and Local-Community Learners Set,Knowledge Learner,G,HOO1:Hard Aggregation,
h001M01KL09,5,Project and Organizational Collective Learners Set,Knowledge Learner,G,HOO1:Hard Aggregation,
h001M01KL10,2,Knowledge Review and Validation Learners Set,Knowledge Learner,G,HOO1:Hard Aggregation,
h001M01LI01,6,Individual Knowledge and Memory Decay Set,Limitation,G,HOO1:Hard Aggregation,
h001M01LI02,4,"Individual Ergonomic, Usability and Immediate Safety Risks Set",Limitation,G,HOO1:Hard Aggregation,
h001M01LI03,6,"Human Physiological, Cognitive-Capacity and Demographic Constraints Set",Limitation,G,HOO1:Hard Aggregation,
h001M01LI04,25,"Instructional Design, Delivery, Assessment and Transfer Shortcomings Set",Limitation,G,HOO1:Hard Aggregation,
h001M01LI05,30,"Software, Algorithmic, Data Quality and Interoperability Barriers Set",Limitation,G,HOO1:Hard Aggregation,
h001M01LI06,8,"Hardware, Sensor and Technical Infrastructure Constraints Set",Limitation,G,HOO1:Hard Aggregation,
h001M01LI07,8,Financial and Capital Constraints Set,Limitation,G,HOO1:Hard Aggregation,
h001M01LI08,20,"Time, Staffing, Expertise, Scheduling and Workload Constraints Set",Limitation,G,HOO1:Hard Aggregation,
h001M01LI09,23,"Organizational Culture, Leadership and Adoption Barriers Set",Limitation,G,HOO1:Hard Aggregation,
h001M01LI10,19,"Knowledge Continuity, Documentation, Governance, Privacy and Security Set",Limitation,G,HOO1:Hard Aggregation,
h001M01LI11,8,Physical-Environmental and Operational Variability Set,Limitation,G,HOO1:Hard Aggregation,
h001M01LI12,2,"Market, Commercialization, Regulatory and External Institutional Change Set",Limitation,G,HOO1:Hard Aggregation,
h001M01LI13,10,"Research Design, Measurement and Validation Flaws Set",Limitation,G,HOO1:Hard Aggregation,
h001M01LI14,5,Empirical Sample and Generalizability Limitations Set,Limitation,G,HOO1:Hard Aggregation,
h001M01LI15,2,Ambiguous Limitation(*) Set,Limitation,G,HOO1:Hard Aggregation,
h001M01OD01,9,"Governance, Standards & Formal Control Set",Organizational Dependency,G,HOO1:Hard Aggregation,
h001M01OD02,10,Strategic Leadership & Sponsorship Set,Organizational Dependency,G,HOO1:Hard Aggregation,
h001M01OD03,12,"Financial, Technical & Information Resources Set",Organizational Dependency,G,HOO1:Hard Aggregation,
h001M01OD04,3,"Time, Workload & Operational Scheduling Set",Organizational Dependency,G,HOO1:Hard Aggregation,
h001M01OD05,9,"Human Capacity, Roles & Participation Set",Organizational Dependency,G,HOO1:Hard Aggregation,
h001M01OD06,10,"Culture, Trust & Relational Climate Set",Organizational Dependency,G,HOO1:Hard Aggregation,
h001M01OD07,1,Incentives & Performance Alignment Set,Organizational Dependency,G,HOO1:Hard Aggregation,
h001M01OD08,8,Organizational Structure & Process Design Set,Organizational Dependency,G,HOO1:Hard Aggregation,
h001M01TE01,26,Artificial Intelligence and Intelligent Computation Set,Digital Technology,G,HOO1:Hard Aggregation,
h001M01TE02,44,Human–Computer Interaction and Immersive Technologies Set,Digital Technology,G,HOO1:Hard Aggregation,
h001M01TE03,3,"Cyber-Physical Systems, IoT, and Smart Environments Set",Digital Technology,G,HOO1:Hard Aggregation,
h001M01TE04,20,"Data, Information, and Knowledge Systems Set",Digital Technology,G,HOO1:Hard Aggregation,
h001M01TE05,17,"Imaging, Sensing, and Perception Technologies Set",Digital Technology,G,HOO1:Hard Aggregation,
h001M01TE07,7,"Mobile, Social and Communication Technologies Set",Digital Technology,G,HOO1:Hard Aggregation,
h001M01TE08,3,"Rule-Based, Decision and Expert Systems Set",Digital Technology,G,HOO1:Hard Aggregation,
h001M01TE09,8,Ambiguous Digital Technology(*) Set,Digital Technology,G,HOO1:Hard Aggregation,
h001M01THR05,7,Knowledge Harvesting Workshops Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR06,1,Critical Incident Technique Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR07,5,Mentoring Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR08,1,Storytelling Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR09,3,After-Action Reviews Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR10,1,Communities of Practice Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR11,8,Instructor-Led Training and Briefings Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR12,7,Codified-Material Learning Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR13,4,Experiential and On-the-Job Learning Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR14,5,Collaborative Group Learning Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR15,14,Manual Knowledge Documentation and Codification Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR16,5,Human Expert Review and Validation Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01THR17,27,Ambiguous Traditional Human-central Practice Set,Traditional Human-central Practice,G,HOO1:Hard Aggregation,
h001M01TK02,7,Knowledge Conveyed Through Examples or Demonstration Set,Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TK04,3,Unrecognized or Unarticulated Personal Know-how Set,Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TK05,4,Practised Motor and Tool-Operation Skill Set,Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TK06,12,Trained Sensory and Perceptual Recognition Set,Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TK07,4,"Embodied Posture, Balance, and Spatial Control Set",Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TK08,2,Immediate Embodied Response to Changing Conditions Set,Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TK09,2,Shared Professional Language and Contextual Meaning Set,Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TK10,28,Shared Professional Norms and Standards of Judgment Set,Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TK11,4,"Informal Coordination, Communication, and Escalation Know-how Set",Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TK12,4,Organizational Culture and Unwritten Working Practices Set,Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TK13,27,AmbiguousTacit Knowledge(*) Set,Tacit Knowledge,G,HOO1:Hard Aggregation,
h001M01TP01,9,Model-based Knowledge Representation and Simulation Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP02,3,Spatial Knowledge Capture and Geospatial Reconstruction Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP03,29,Situated Experiential Learning through Extended Reality Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP04,9,Interactive Consequence Learning and Digital Feedback Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP05,6,Real-time Condition Intelligence through IoT Monitoring Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP06,6,Worker Activity and State Capture through Wearable Sensors and Cameras Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP07,16,Algorithmic Pattern Discovery and Prediction Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP08,5,Generative Knowledge Synthesis and Content Production Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP09,6,Semantic Knowledge Structuring and Retrieval Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP10,15,Database-supported Project Knowledge Archiving Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP11,6,Collaborative Knowledge Co-creation through Digital Platforms Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP12,1,Multimedia and Blended Knowledge Internalization Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP13,13,Criteria-based Performance Evaluation and Ranking Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
h001M01TP14,12,Ambiguous Technology-enable Practice Set,Technology-enable Practice,G,HOO1:Hard Aggregation,
